Date,Open,High,Low,Close,Volume
08/30/2021,"2.2400","2.2400","2.1700","2.2000","159,015"
08/27/2021,"2.1900","2.2500","2.1400","2.2200","148,638"
08/26/2021,"2.1800","2.2500","2.1000","2.1800","274,111"
08/25/2021,"2.0600","2.1800","2.0200","2.1600","398,069"
08/24/2021,"2.0100","2.0900","1.9300","2.0400","279,878"
08/23/2021,"1.9000","2.0110","1.8700","2.0100","284,199"
08/20/2021,"1.8900","1.9200","1.8200","1.8900","140,047"
08/19/2021,"1.9300","1.9400","1.8200","1.8600","263,202"
08/18/2021,"1.8900","1.9900","1.8100","1.9500","200,716"
08/17/2021,"1.7700","1.9300","1.7700","1.9000","362,238"
08/16/2021,"1.9100","1.9163","1.7400","1.7900","640,488"
08/13/2021,"2.0500","2.0500","1.8800","1.9100","379,154"
08/12/2021,"2.0600","2.0810","1.9100","2.0200","559,249"
08/11/2021,"2.1600","2.1646","2.0500","2.0900","323,733"
08/10/2021,"2.1200","2.2300","2.0600","2.2000","363,185"
08/09/2021,"2.1600","2.1800","2.1000","2.1500","320,092"
08/06/2021,"2.2100","2.2800","2.1000","2.1600","885,678"
08/05/2021,"2.1900","2.4500","2.1200","2.3000","1,667,384"
08/04/2021,"2.2300","2.2690","2.0700","2.1600","484,665"
08/03/2021,"2.3700","2.4000","2.1400","2.2000","1,031,888"
08/02/2021,"2.2200","2.3500","2.2001","2.3300","326,412"
07/30/2021,"2.3400","2.4000","2.1900","2.2700","402,749"
07/29/2021,"2.2500","2.4310","2.2000","2.3700","859,395"
07/28/2021,"2.2000","2.5000","2.1200","2.2800","1,311,649"
07/27/2021,"2.4000","2.4000","2.0300","2.1800","1,759,245"
07/26/2021,"2.7300","2.7300","2.1400","2.4000","8,720,812"
07/23/2021,"2.4800","2.5200","2.3500","2.4400","158,889"
07/22/2021,"2.5400","2.5700","2.4200","2.4800","173,569"
07/21/2021,"2.4300","2.5800","2.3800","2.5800","345,770"
07/20/2021,"2.2800","2.4400","2.2601","2.4000","288,640"
07/19/2021,"2.4000","2.4000","2.2000","2.2500","732,973"
07/16/2021,"2.5900","2.5900","2.3900","2.4200","378,304"
07/15/2021,"2.5100","2.6800","2.4500","2.5300","1,129,120"
07/14/2021,"2.6600","2.6900","2.3810","2.4400","544,460"
07/13/2021,"2.7300","2.7400","2.6200","2.6300","243,739"
07/12/2021,"2.7300","2.7700","2.6735","2.7000","143,203"
07/09/2021,"2.6200","2.7700","2.5700","2.7200","451,598"
07/08/2021,"2.6600","2.6700","2.5800","2.6200","502,352"
07/07/2021,"2.8100","2.8300","2.6600","2.7200","695,515"
07/06/2021,"2.8000","2.8500","2.7100","2.8000","942,598"
07/02/2021,"2.7900","2.9400","2.7700","2.8000","830,678"
07/01/2021,"2.8600","2.8600","2.7700","2.8100","456,185"
06/30/2021,"2.8100","2.8300","2.7100","2.8000","1,112,084"
06/29/2021,"2.8500","2.9000","2.8300","2.8400","657,052"
06/28/2021,"2.9020","2.9300","2.8300","2.8900","914,237"
06/25/2021,"3.0500","3.0500","2.8800","2.9200","1,058,447"
06/24/2021,"2.9100","3.0800","2.8601","3.0500","1,742,220"
06/23/2021,"2.8600","2.9000","2.8200","2.9000","1,042,835"
06/22/2021,"2.9240","2.9300","2.8140","2.8700","1,476,257"
