Date,Open,High,Low,Close,Volume
08/20/2021,"19.78","21.77","19.78","20.38","88,657"
08/19/2021,"19.60","20.00","19.58","19.93","60,727"
08/18/2021,"19.50","20.50","19.01","19.89","79,715"
08/17/2021,"19.80","20.49","18.69","19.70","63,893"
08/16/2021,"20.34","20.75","18.87","19.65","49,621"
08/13/2021,"20.41","22.06","20.21","20.70","98,521"
08/12/2021,"22.38","22.70","20.17","20.80","82,353"
08/11/2021,"22.85","23.00","21.92","22.71","48,036"
08/10/2021,"23.44","23.44","22.62","23.00","105,550"
08/09/2021,"23.96","23.96","21.85","22.99","114,018"
08/06/2021,"24.30","24.78","20.05","24.49","200,605"
08/05/2021,"24.00","25.64","23.33","24.59","94,380"
08/04/2021,"22.42","24.42","21.73","23.98","82,371"
08/03/2021,"21.58","26.67","21.58","22.42","116,123"
08/02/2021,"18.60","22.24","17.99","21.26","167,659"
07/30/2021,"16.98","19.95","16.33","18.32","78,086"
07/29/2021,"16.17","17.00","16.01","16.90","77,419"
07/28/2021,"16.51","16.84","15.87","16.20","23,209"
07/27/2021,"15.75","16.57","15.25","16.00","41,926"
07/26/2021,"16.44","16.78","14.99","16.00","51,163"
07/23/2021,"16.50","16.89","16.12","16.58","67,804"
07/22/2021,"16.17","16.92","16.05","16.49","83,429"
07/21/2021,"16.15","16.49","16.05","16.29","59,014"
07/20/2021,"16.10","16.28","16.00","16.09","161,187"
07/19/2021,"16.00","16.33","16.00","16.11","208,261"
07/16/2021,"17.50","17.95","16.00","16.29","3,092,941"
