Date,Open,High,Low,Close,Volume
08/12/2021,"14.04","14.40","13.60","14.23","92,408"
08/11/2021,"14.75","15.25","13.60","14.03","177,587"
08/10/2021,"14.90","15.28","14.53","14.80","101,787"
08/09/2021,"16.15","16.19","14.48","15.28","135,407"
08/06/2021,"16.59","16.66","15.63","15.95","92,925"
08/05/2021,"15.40","16.93","15.15","16.51","140,824"
08/04/2021,"15.42","15.77","14.81","15.20","88,104"
08/03/2021,"15.96","15.97","14.87","15.35","56,760"
08/02/2021,"16.41","16.55","15.35","15.77","77,211"
07/30/2021,"16.10","17.18","15.86","16.22","111,334"
07/29/2021,"16.34","16.80","15.74","16.28","82,677"
07/28/2021,"15.47","16.24","14.88","16.08","69,344"
07/27/2021,"16.13","16.31","14.25","15.25","293,942"
07/26/2021,"17.06","17.15","16.00","16.26","163,441"
07/23/2021,"16.07","17.42","15.50","17.02","197,675"
07/22/2021,"17.00","17.45","16.02","16.06","170,942"
07/21/2021,"16.72","17.55","15.43","17.48","885,475"
07/20/2021,"24.25","24.96","17.90","18.14","21,212,660"
07/19/2021,"15.05","16.98","14.62","16.64","61,266"
07/16/2021,"15.67","15.90","15.18","15.52","10,845"
07/15/2021,"15.90","16.13","15.07","15.58","43,188"
07/14/2021,"16.39","16.80","15.27","16.16","30,355"
07/13/2021,"16.83","17.16","15.92","16.21","48,918"
07/12/2021,"17.28","17.39","16.75","16.93","23,477"
07/09/2021,"16.18","17.65","15.67","17.30","42,173"
07/08/2021,"16.40","16.65","15.90","16.09","11,893"
07/07/2021,"16.44","16.75","15.41","16.73","41,709"
07/06/2021,"16.63","16.74","15.74","16.34","53,858"
07/02/2021,"17.09","17.43","16.42","16.76","37,700"
07/01/2021,"17.33","17.44","16.79","17.10","38,615"
06/30/2021,"17.57","17.57","16.90","17.30","35,510"
06/29/2021,"18.25","18.29","17.18","17.61","24,405"
06/28/2021,"18.17","18.66","18.02","18.24","65,112"
06/25/2021,"17.13","18.20","16.85","17.81","329,474"
06/24/2021,"17.31","17.42","16.35","16.78","52,827"
06/23/2021,"16.80","17.59","16.47","17.14","75,561"
06/22/2021,"16.92","17.28","16.10","16.82","114,826"
06/21/2021,"16.53","17.96","16.35","16.76","47,385"
06/18/2021,"16.80","17.01","16.23","16.52","127,789"
06/17/2021,"16.91","17.34","16.54","16.80","76,646"
06/16/2021,"17.13","17.50","16.51","16.96","89,665"
06/15/2021,"17.18","17.29","17.00","17.15","61,473"
06/14/2021,"17.22","17.94","17.03","17.17","86,284"
06/11/2021,"17.60","17.98","17.26","17.76","74,186"
06/10/2021,"17.81","18.45","17.38","17.57","57,413"
06/09/2021,"18.29","19.05","17.58","17.92","56,571"
06/08/2021,"18.93","19.06","17.90","18.22","89,977"
06/07/2021,"19.50","20.40","18.24","18.54","184,658"
06/04/2021,"19.65","20.99","19.20","20.49","65,190"
06/03/2021,"19.76","20.00","18.93","19.40","92,721"
06/02/2021,"20.63","20.66","19.25","19.76","95,112"
06/01/2021,"20.99","21.79","20.19","20.58","67,456"
05/28/2021,"23.57","23.57","20.78","20.92","84,085"
05/27/2021,"20.75","23.20","20.66","23.09","246,285"
05/26/2021,"18.45","19.95","18.44","19.63","96,880"
05/25/2021,"18.29","18.60","18.01","18.48","101,168"
05/24/2021,"18.01","18.58","17.61","18.30","114,987"
05/21/2021,"18.00","18.53","17.49","17.99","38,302"
05/20/2021,"18.50","19.40","17.26","18.00","95,913"
05/19/2021,"17.39","18.37","16.89","18.10","86,807"
05/18/2021,"17.78","18.29","17.08","17.34","134,410"
05/17/2021,"17.76","18.37","17.25","17.74","93,238"
05/14/2021,"16.51","18.25","16.51","18.14","77,713"
05/13/2021,"17.12","18.00","16.30","16.33","76,264"
05/12/2021,"18.00","18.01","16.31","16.56","136,682"
05/11/2021,"18.84","19.47","18.10","18.29","54,638"
05/10/2021,"21.90","21.90","19.32","19.59","90,969"
05/07/2021,"22.67","23.00","21.50","21.98","45,818"
05/06/2021,"24.00","24.00","21.72","22.50","100,307"
05/05/2021,"24.50","24.50","24.00","24.28","50,206"
05/04/2021,"24.90","25.89","24.06","24.42","69,921"
05/03/2021,"26.30","26.30","24.97","25.06","117,283"
04/30/2021,"27.00","27.00","26.02","26.56","106,393"
04/29/2021,"28.92","29.10","26.62","27.03","114,463"
04/28/2021,"28.53","29.35","27.58","28.70","106,555"
