Date,Open,High,Low,Close,Volume
08/20/2021,"14.30","16.94","12.18","12.80","808,991"
08/19/2021,"16.82","23.71","13.06","13.22","1,725,693"
08/18/2021,"13.18","16.31","13.18","16.00","163,146"
08/17/2021,"12.55","13.36","12.55","13.16","88,906"
08/16/2021,"13.74","13.75","12.07","12.55","153,480"
08/13/2021,"17.16","17.36","14.23","14.25","71,867"
08/12/2021,"18.29","18.70","17.00","17.37","76,517"
08/11/2021,"19.75","20.76","18.30","18.58","83,971"
08/10/2021,"26.60","27.13","18.33","19.37","209,490"
08/09/2021,"22.89","28.00","22.89","26.13","151,576"
08/06/2021,"20.37","22.75","20.15","22.40","84,493"
08/05/2021,"18.19","20.10","17.65","20.10","143,056"
08/04/2021,"15.30","18.00","15.00","18.00","118,080"
08/03/2021,"15.15","15.25","14.67","14.98","27,059"
08/02/2021,"14.32","15.50","13.50","14.87","59,905"
07/30/2021,"13.56","14.20","13.30","14.06","67,695"
07/29/2021,"12.89","14.55","12.63","13.95","92,620"
07/28/2021,"12.84","13.04","12.20","12.73","35,806"
07/27/2021,"12.87","13.05","12.31","12.63","14,917"
07/26/2021,"13.49","13.60","12.30","12.80","74,753"
07/23/2021,"11.63","15.25","11.39","13.46","266,173"
07/22/2021,"12.19","12.19","11.50","11.56","16,107"
07/21/2021,"11.97","12.10","10.89","12.09","33,024"
07/20/2021,"10.42","12.18","10.27","12.16","65,041"
07/19/2021,"10.41","10.45","9.68","10.40","45,223"
07/16/2021,"10.10","10.48","9.90","10.41","31,717"
07/15/2021,"9.76","10.03","9.59","10.02","34,578"
07/14/2021,"11.02","11.02","9.86","9.96","68,647"
07/13/2021,"9.99","11.13","9.60","10.90","79,639"
07/12/2021,"9.51","9.98","9.51","9.96","26,439"
07/09/2021,"8.51","9.55","8.43","9.51","24,711"
07/08/2021,"8.75","8.80","8.25","8.38","32,803"
07/07/2021,"9.05","9.17","8.82","8.86","28,031"
07/06/2021,"9.40","9.40","8.75","8.87","62,406"
07/02/2021,"9.14","9.65","8.93","9.24","130,316"
07/01/2021,"8.83","9.25","8.65","9.10","56,481"
06/30/2021,"8.02","9.12","8.01","8.85","119,005"
06/29/2021,"8.53","8.74","7.85","7.91","93,629"
06/28/2021,"8.22","8.78","8.01","8.78","225,846"
06/25/2021,"7.50","8.45","7.41","7.83","672,527"
06/24/2021,"7.60","7.68","6.90","7.33","311,634"
06/23/2021,"8.38","8.40","7.35","7.35","124,069"
06/22/2021,"9.17","9.34","8.18","8.18","74,038"
06/21/2021,"9.53","10.06","9.01","9.05","58,268"
06/18/2021,"10.05","10.48","9.50","9.51","149,009"
06/17/2021,"9.95","10.16","9.90","10.01","62,278"
06/16/2021,"10.13","10.38","9.89","9.94","58,349"
06/15/2021,"10.47","10.51","10.11","10.23","41,228"
06/14/2021,"10.25","10.57","10.20","10.32","32,448"
06/11/2021,"10.04","10.32","9.80","10.32","21,964"
06/10/2021,"10.34","10.36","9.89","9.99","31,960"
06/09/2021,"10.22","10.45","10.21","10.36","14,434"
06/08/2021,"10.84","11.28","10.17","10.23","50,635"
06/07/2021,"9.96","10.66","9.83","10.58","55,657"
06/04/2021,"9.36","9.83","9.35","9.83","22,962"
06/03/2021,"10.45","10.55","9.08","9.10","82,573"
06/02/2021,"10.21","10.53","10.01","10.40","58,638"
06/01/2021,"11.44","11.44","9.86","10.00","69,015"
05/28/2021,"11.55","11.73","11.03","11.17","26,721"
05/27/2021,"11.77","11.79","11.39","11.44","12,200"
05/26/2021,"12.81","12.82","11.30","11.60","46,225"
05/25/2021,"13.02","13.02","12.48","12.66","45,710"
05/24/2021,"14.00","14.04","12.83","13.05","71,676"
05/21/2021,"14.31","14.32","13.62","13.62","77,220"
05/20/2021,"14.58","14.94","14.00","14.23","104,253"
05/19/2021,"13.95","14.40","13.95","14.25","29,997"
05/18/2021,"14.20","14.88","13.87","13.92","43,801"
05/17/2021,"13.46","13.90","13.46","13.89","17,818"
05/14/2021,"13.95","14.00","13.50","13.62","65,339"
05/13/2021,"14.51","14.51","13.76","13.95","110,377"
05/12/2021,"14.72","14.72","14.26","14.29","113,039"
05/11/2021,"14.90","14.90","14.20","14.70","282,874"
05/10/2021,"14.95","14.99","14.60","14.87","280,910"
05/07/2021,"15.08","15.08","15.00","15.03","20,776"
05/06/2021,"15.00","15.13","15.00","15.07","22,382"
05/05/2021,"15.00","15.19","14.93","15.09","42,335"
05/04/2021,"15.07","15.09","14.90","15.00","97,871"
05/03/2021,"15.20","15.45","15.01","15.09","39,630"
04/30/2021,"15.25","15.25","15.05","15.20","163,190"
04/29/2021,"15.01","15.18","14.96","15.04","69,772"
04/28/2021,"15.07","15.20","14.85","15.09","176,114"
04/27/2021,"15.15","15.19","14.90","15.05","87,071"
04/26/2021,"14.30","15.35","13.88","15.16","214,517"
04/23/2021,"15.31","15.89","14.50","15.00","2,998,638"
