Date,Open,High,Low,Close,Volume
08/20/2021,"7.27","8.05","6.60","7.71","52,458"
08/19/2021,"7.69","8.48","7.69","7.88","27,235"
08/18/2021,"9.13","9.22","7.80","7.96","37,730"
08/17/2021,"9.25","9.49","8.99","9.10","47,716"
08/16/2021,"9.04","9.49","8.77","9.32","123,634"
08/13/2021,"9.60","9.70","9.26","9.35","18,816"
08/12/2021,"9.94","9.94","9.47","9.56","12,436"
08/11/2021,"10.32","10.32","9.50","9.86","29,400"
08/10/2021,"9.76","9.89","9.71","9.79","3,116"
08/09/2021,"9.70","9.95","9.67","9.94","38,567"
08/06/2021,"9.99","9.99","9.48","9.74","28,443"
08/05/2021,"9.82","9.88","9.78","9.88","81,164"
08/04/2021,"9.96","9.98","9.85","9.87","27,339"
08/03/2021,"9.99","10.02","9.84","9.96","285,288"
08/02/2021,"10.22","10.25","9.90","10.00","105,835"
07/30/2021,"10.00","10.25","9.50","10.00","1,514,703"
