Date,Open,High,Low,Close,Volume
08/30/2021,"15.15","15.31","15.06","15.12","164,964"
08/27/2021,"14.68","15.28","14.67","15.25","84,184"
08/26/2021,"15.41","15.46","14.62","14.68","53,106"
08/25/2021,"14.90","15.46","14.59","15.41","217,008"
08/24/2021,"15.31","15.37","14.76","14.86","119,786"
08/23/2021,"15.38","15.38","14.73","15.30","114,488"
08/20/2021,"14.46","15.00","14.29","14.88","157,495"
08/19/2021,"14.84","15.20","14.50","14.60","90,654"
08/18/2021,"15.47","15.47","14.89","14.93","117,445"
08/17/2021,"15.79","16.01","15.33","15.49","348,820"
08/16/2021,"15.95","16.20","15.68","15.95","233,360"
08/13/2021,"15.80","16.15","15.28","16.00","128,689"
08/12/2021,"16.44","16.44","15.69","15.91","163,006"
08/11/2021,"16.19","16.19","15.52","16.02","130,977"
08/10/2021,"16.96","17.06","16.03","16.16","492,857"
08/09/2021,"17.21","17.27","16.75","16.97","137,609"
08/06/2021,"17.09","17.28","16.65","17.22","233,644"
08/05/2021,"17.00","17.33","16.61","16.98","182,563"
08/04/2021,"16.52","17.05","16.29","16.71","107,378"
08/03/2021,"16.85","17.02","16.30","16.61","181,693"
08/02/2021,"16.93","16.97","16.29","16.83","503,874"
07/30/2021,"17.02","17.05","16.56","16.86","87,437"
07/29/2021,"17.00","17.22","16.71","17.03","117,736"
07/28/2021,"16.87","17.21","16.29","16.94","507,044"
07/27/2021,"16.36","16.72","15.92","16.61","184,642"
07/26/2021,"17.14","17.34","16.50","16.57","194,485"
07/23/2021,"17.00","17.39","16.80","17.14","256,503"
07/22/2021,"17.23","17.53","16.71","16.81","194,056"
07/21/2021,"17.46","17.80","17.14","17.25","106,060"
07/20/2021,"17.39","17.57","16.98","17.37","567,740"
07/19/2021,"17.43","17.55","16.76","17.28","312,658"
07/16/2021,"18.40","19.58","17.57","17.66","306,505"
07/15/2021,"19.64","19.64","17.82","18.26","262,081"
07/14/2021,"20.39","20.53","19.49","19.66","354,701"
07/13/2021,"20.84","20.84","20.22","20.27","216,334"
07/12/2021,"20.45","20.75","20.11","20.72","127,381"
07/09/2021,"20.73","21.02","20.36","20.50","136,449"
07/08/2021,"20.08","20.77","20.08","20.60","88,458"
07/07/2021,"21.54","21.54","20.47","20.90","114,089"
07/06/2021,"21.50","22.46","20.79","21.08","90,345"
07/02/2021,"22.29","22.36","21.38","21.58","320,605"
07/01/2021,"21.45","22.44","21.36","22.32","185,122"
06/30/2021,"20.84","21.34","20.20","21.31","242,968"
06/29/2021,"21.50","21.52","20.84","20.88","583,190"
06/28/2021,"21.26","21.71","20.85","21.38","397,446"
06/25/2021,"21.74","21.86","20.93","21.06","2,706,411"
06/24/2021,"22.22","22.27","21.43","21.73","184,792"
06/23/2021,"22.61","22.71","21.77","22.21","143,411"
06/22/2021,"22.92","23.01","22.17","22.67","204,072"
06/21/2021,"23.01","23.27","22.47","22.76","169,051"
06/18/2021,"22.98","23.46","21.46","23.09","1,055,349"
06/17/2021,"22.47","23.60","22.26","23.27","268,630"
06/16/2021,"22.05","22.61","21.85","22.54","311,814"
06/15/2021,"22.30","22.32","21.40","21.97","788,995"
06/14/2021,"21.61","22.55","21.19","22.26","581,831"
06/11/2021,"21.12","21.26","20.76","21.25","310,811"
06/10/2021,"20.54","21.14","20.30","20.98","333,662"
06/09/2021,"19.76","20.67","19.71","20.49","286,523"
06/08/2021,"19.80","20.18","19.50","19.78","1,023,489"
06/07/2021,"20.96","21.07","19.48","19.56","286,004"
06/04/2021,"20.97","21.14","20.10","20.42","128,818"
06/03/2021,"20.89","21.64","20.81","20.94","153,430"
06/02/2021,"21.72","21.81","20.72","21.02","251,510"
06/01/2021,"22.00","22.14","21.26","21.89","266,532"
05/28/2021,"22.13","22.13","21.17","21.40","76,965"
05/27/2021,"21.28","21.33","20.64","21.00","111,842"
05/26/2021,"20.87","21.72","20.71","21.31","244,858"
05/25/2021,"20.51","20.91","19.79","20.77","493,229"
05/24/2021,"20.76","20.90","20.28","20.30","112,254"
05/21/2021,"19.82","20.90","19.67","20.65","298,869"
05/20/2021,"20.09","20.50","19.76","19.80","214,472"
05/19/2021,"20.32","20.48","19.46","19.70","530,601"
