Date,Open,High,Low,Close,Volume
08/20/2021,"30.16","30.47","25.94","26.30","145,137"
08/19/2021,"30.55","32.22","30.17","30.17","53,885"
08/18/2021,"30.14","31.94","30.00","30.96","168,437"
08/17/2021,"31.04","32.90","29.91","30.06","187,795"
08/16/2021,"32.29","32.29","30.58","31.04","279,004"
08/13/2021,"31.61","32.42","31.25","31.93","213,834"
08/12/2021,"30.68","32.31","30.15","31.40","214,092"
08/11/2021,"30.68","31.70","30.34","31.10","194,693"
08/10/2021,"30.78","31.25","29.54","30.85","363,195"
08/09/2021,"29.92","31.73","28.95","30.90","436,469"
08/06/2021,"30.49","30.85","29.67","30.10","272,626"
08/05/2021,"29.81","30.83","29.55","30.25","507,407"
08/04/2021,"29.54","30.53","28.73","29.45","68,434"
08/03/2021,"28.77","30.84","28.58","29.71","151,617"
08/02/2021,"29.25","29.77","28.47","29.23","116,945"
07/30/2021,"28.37","29.47","28.13","29.15","112,469"
07/29/2021,"28.41","29.60","27.81","28.63","477,684"
07/28/2021,"27.52","28.87","27.49","28.25","832,123"
07/27/2021,"29.01","29.99","27.24","27.81","341,171"
07/26/2021,"28.83","31.19","28.28","29.17","310,061"
07/23/2021,"29.18","31.20","27.89","29.24","310,054"
07/22/2021,"27.71","31.36","27.23","28.78","159,584"
07/21/2021,"26.07","27.62","25.87","27.48","94,188"
07/20/2021,"26.01","27.08","25.73","26.00","118,165"
07/19/2021,"27.05","27.61","25.45","26.18","216,995"
07/16/2021,"27.85","29.74","27.11","27.56","43,977"
07/15/2021,"27.40","28.70","25.52","27.40","59,138"
07/14/2021,"28.63","28.63","25.20","27.35","244,627"
07/13/2021,"27.49","28.77","27.27","28.19","226,371"
07/12/2021,"27.32","28.27","26.21","27.25","70,867"
07/09/2021,"26.71","28.50","26.21","27.61","60,714"
07/08/2021,"27.00","27.64","25.08","26.48","130,502"
07/07/2021,"27.38","27.67","25.59","26.60","251,896"
07/06/2021,"29.11","29.35","25.00","27.32","516,786"
07/02/2021,"29.01","29.53","27.62","29.26","82,050"
07/01/2021,"29.79","30.03","27.97","29.06","182,987"
06/30/2021,"27.22","30.01","26.40","29.34","752,768"
06/29/2021,"24.00","27.63","22.76","27.63","494,326"
06/28/2021,"23.00","27.26","23.00","24.36","312,523"
06/25/2021,"25.50","25.99","22.17","22.45","215,295"
06/24/2021,"25.00","26.44","24.18","25.21","201,737"
06/23/2021,"26.84","27.99","25.50","25.54","244,174"
06/22/2021,"24.87","27.78","24.87","25.88","141,576"
06/21/2021,"23.09","25.87","21.50","25.13","483,266"
06/18/2021,"19.50","22.83","18.93","22.83","2,500,165"
