Date,Open,High,Low,Close,Volume
08/20/2021,"4.4400","4.7700","4.4000","4.7600","50,994"
08/19/2021,"4.3800","4.4900","4.2000","4.4500","35,585"
08/18/2021,"4.5000","4.5200","4.4521","4.4700","42,525"
08/17/2021,"4.7400","4.7400","4.2000","4.4800","266,568"
08/16/2021,"4.9200","4.9500","4.7500","4.7750","141,855"
08/13/2021,"5.0800","5.0800","4.9001","4.9700","56,158"
08/12/2021,"5.1200","5.1700","5.0201","5.0500","135,914"
08/11/2021,"5.1800","5.1800","5.0300","5.1200","40,834"
08/10/2021,"5.1000","5.2510","4.9530","5.2300","68,616"
08/09/2021,"5.1000","5.2750","4.9500","5.1100","83,495"
08/06/2021,"5.1000","5.3100","4.9900","5.1200","170,026"
08/05/2021,"4.7900","5.4688","4.7800","5.1000","594,047"
08/04/2021,"4.9600","4.9899","4.7300","4.8000","82,561"
08/03/2021,"5.1100","5.2000","4.9200","4.9900","124,066"
08/02/2021,"4.9800","5.4400","4.8600","5.0700","466,523"
07/30/2021,"4.9400","5.0762","4.8400","4.9000","91,948"
07/29/2021,"5.0600","5.2899","4.9600","5.0100","302,021"
07/28/2021,"4.8500","5.1200","4.5700","5.0200","310,367"
07/27/2021,"4.8700","4.9900","4.4000","4.8300","213,924"
07/26/2021,"5.0900","5.2278","4.8000","4.8900","215,290"
07/23/2021,"5.1000","5.1800","4.9543","5.0100","66,147"
07/22/2021,"5.0600","5.2823","4.9310","5.1300","123,027"
07/21/2021,"5.3100","5.5799","4.9300","4.9700","440,405"
07/20/2021,"5.0700","5.4500","4.9400","5.2500","647,417"
07/19/2021,"5.7000","5.7900","4.5300","5.1700","815,772"
07/16/2021,"5.8200","6.9300","5.6000","5.6300","2,158,291"
07/15/2021,"5.9748","5.9748","5.5300","5.7700","304,429"
07/14/2021,"6.5300","6.8699","5.8900","5.8900","278,129"
07/13/2021,"6.7300","7.0100","6.4000","6.4500","224,848"
07/12/2021,"7.2900","7.4400","6.7200","6.7400","349,527"
07/09/2021,"8.0100","8.7799","7.4500","7.6000","3,769,259"
07/08/2021,"6.5500","8.6500","6.4200","8.1800","3,482,507"
07/07/2021,"5.7700","8.0500","5.5350","7.7200","13,127,420"
07/06/2021,"6.1300","6.3799","5.7300","5.8400","169,406"
07/02/2021,"6.2500","6.4500","6.0300","6.2900","190,631"
07/01/2021,"6.8840","6.9900","6.1500","6.3600","416,696"
06/30/2021,"7.4800","10.7299","6.8400","7.1000","8,527,577"
06/29/2021,"7.1000","7.5000","6.5300","7.4600","258,418"
06/28/2021,"7.2300","7.5000","7.0500","7.1800","54,845"
06/25/2021,"7.4000","7.5300","6.9100","7.1600","110,998"
06/24/2021,"7.0500","7.2673","6.8200","6.9100","77,526"
06/23/2021,"7.2000","7.2900","7.0000","7.1100","54,126"
06/22/2021,"7.5800","7.7499","7.0000","7.3000","54,869"
06/21/2021,"7.6300","7.6999","7.3000","7.4500","56,721"
06/18/2021,"7.7200","7.7400","7.2600","7.3500","112,344"
06/17/2021,"7.5000","7.9000","7.5000","7.7400","63,285"
06/16/2021,"7.4900","7.8200","7.4600","7.5700","39,553"
06/15/2021,"8.1800","8.1800","7.3600","7.4400","92,297"
06/14/2021,"8.4400","8.4800","8.1000","8.1000","64,910"
06/11/2021,"8.1300","8.5328","7.7900","8.2500","104,315"
06/10/2021,"8.0800","8.3699","7.7500","8.0500","156,593"
06/09/2021,"8.3500","8.7999","7.8000","7.8000","449,253"
06/08/2021,"6.9300","9.1499","6.7100","8.3500","2,537,054"
06/07/2021,"7.3900","7.4350","6.7321","6.8500","128,319"
06/04/2021,"7.2700","7.3699","6.8627","7.1900","95,501"
06/03/2021,"6.2300","7.3900","6.1000","7.2500","159,838"
06/02/2021,"6.0400","6.3500","5.9600","6.3100","100,090"
06/01/2021,"6.7000","6.7500","5.8500","6.1500","203,810"
05/28/2021,"6.1300","6.9800","5.7600","6.5800","661,866"
05/27/2021,"5.3500","6.4000","5.2030","6.0200","543,178"
05/26/2021,"4.8600","5.4300","4.8300","5.3050","241,260"
05/25/2021,"5.1400","5.1400","4.8000","4.8300","132,699"
05/24/2021,"5.3600","5.3600","5.0100","5.0800","128,503"
05/21/2021,"5.4600","5.4900","5.1200","5.1900","108,987"
05/20/2021,"5.2100","5.5000","5.1817","5.2900","106,538"
05/19/2021,"5.8800","5.8800","4.8300","5.0900","359,488"
05/18/2021,"6.0000","6.2800","5.5700","6.0900","193,142"
05/17/2021,"5.5400","6.3800","5.5000","6.0900","447,460"
05/14/2021,"5.0600","6.2000","5.0557","5.8200","1,002,542"
05/13/2021,"5.7600","5.9000","5.0000","5.0300","857,155"
05/12/2021,"5.6600","7.6700","5.4108","5.7400","3,848,400"
