Date,Open,High,Low,Close,Volume
08/11/2021,"6.36","6.48","6.25","6.43","110,945"
08/10/2021,"6.26","6.44","5.95","6.34","164,614"
08/09/2021,"5.98","6.50","5.98","6.44","207,684"
08/06/2021,"5.90","6.14","5.83","6.04","41,869"
08/05/2021,"5.68","5.91","5.66","5.86","61,377"
08/04/2021,"6.04","6.22","5.69","5.70","115,047"
08/03/2021,"6.18","6.23","6.04","6.15","53,256"
08/02/2021,"6.25","6.46","6.14","6.25","59,185"
07/30/2021,"6.12","6.47","6.12","6.28","84,603"
07/29/2021,"5.92","6.72","5.77","6.22","695,563"
07/28/2021,"5.26","5.90","5.26","5.76","127,569"
07/27/2021,"5.32","5.43","5.15","5.33","77,348"
07/26/2021,"5.22","5.48","5.20","5.43","112,392"
07/23/2021,"5.66","5.71","5.11","5.21","117,620"
07/22/2021,"5.77","5.87","5.58","5.67","71,410"
07/21/2021,"5.28","6.14","5.22","5.71","564,007"
07/20/2021,"5.31","5.66","5.20","5.30","118,582"
07/19/2021,"5.38","5.84","5.10","5.24","149,487"
07/16/2021,"5.95","5.95","5.37","5.37","162,023"
07/15/2021,"6.36","6.50","5.56","5.90","394,621"
07/14/2021,"6.66","6.79","6.22","6.37","253,334"
07/13/2021,"6.34","6.74","6.34","6.61","239,538"
07/12/2021,"6.45","6.78","6.35","6.45","238,342"
07/09/2021,"6.34","6.64","6.30","6.47","115,551"
07/08/2021,"6.35","6.69","6.30","6.34","211,971"
07/07/2021,"6.37","7.13","6.06","6.70","1,373,643"
07/06/2021,"6.60","6.66","6.05","6.20","312,905"
07/02/2021,"6.90","7.09","6.20","6.59","329,482"
07/01/2021,"7.19","7.39","6.50","7.08","839,997"
06/30/2021,"8.64","10.00","7.21","7.22","7,544,616"
06/29/2021,"7.94","8.80","7.42","8.32","3,739,709"
06/28/2021,"6.55","8.20","6.30","8.08","2,249,342"
06/25/2021,"6.24","6.50","6.01","6.43","271,348"
06/24/2021,"6.50","6.51","5.67","6.31","515,501"
06/23/2021,"7.22","7.22","6.34","6.59","197,819"
06/22/2021,"7.06","7.18","6.46","7.14","308,219"
06/21/2021,"7.26","7.67","7.11","7.24","318,334"
06/18/2021,"7.30","8.00","7.02","7.49","649,899"
06/17/2021,"6.27","7.45","6.20","7.15","1,912,336"
