Date,Open,High,Low,Close,Volume
08/11/2021,"31.56","32.33","30.53","31.37","97,615"
08/10/2021,"31.70","32.68","31.22","32.11","106,047"
08/09/2021,"30.75","32.59","30.68","31.70","255,477"
08/06/2021,"35.00","35.80","30.02","30.47","201,157"
08/05/2021,"34.34","35.93","33.02","34.69","110,812"
08/04/2021,"32.99","34.19","32.77","33.91","89,954"
08/03/2021,"33.72","34.07","32.49","32.99","156,091"
08/02/2021,"32.73","34.15","31.61","34.02","61,033"
07/30/2021,"31.50","32.43","30.49","32.43","96,685"
07/29/2021,"28.42","31.50","28.42","31.27","162,447"
07/28/2021,"27.87","29.25","27.42","28.33","190,982"
07/27/2021,"28.18","29.14","26.78","27.60","483,416"
07/26/2021,"30.21","30.84","28.41","28.41","497,220"
07/23/2021,"30.26","30.65","29.52","30.51","300,782"
07/22/2021,"28.74","30.51","28.74","30.37","380,022"
07/21/2021,"27.40","29.45","27.40","28.68","460,954"
07/20/2021,"26.57","28.24","26.46","27.86","319,753"
07/19/2021,"26.32","26.92","25.53","26.65","306,809"
07/16/2021,"26.70","27.00","26.17","26.75","227,702"
07/15/2021,"26.40","26.89","25.99","26.79","374,005"
07/14/2021,"27.27","27.37","26.10","26.61","107,049"
07/13/2021,"27.01","27.99","26.07","27.35","297,232"
07/12/2021,"27.61","28.48","26.36","26.67","501,641"
07/09/2021,"26.63","27.91","26.40","27.79","355,247"
07/08/2021,"26.51","27.47","25.84","26.85","406,229"
07/07/2021,"26.00","27.38","25.00","27.30","177,273"
07/06/2021,"25.50","27.67","25.19","26.09","481,762"
07/02/2021,"25.30","25.99","22.77","25.40","257,130"
07/01/2021,"24.96","25.59","24.60","25.34","357,048"
06/30/2021,"25.16","25.50","24.64","24.95","74,430"
06/29/2021,"24.62","25.52","23.06","25.37","133,743"
06/28/2021,"24.55","25.63","24.33","24.62","150,024"
06/25/2021,"25.03","25.03","24.00","24.79","210,768"
06/24/2021,"23.28","25.99","22.21","24.82","220,238"
06/23/2021,"22.30","23.40","21.44","23.21","153,391"
06/22/2021,"21.24","22.10","19.83","22.04","67,339"
06/21/2021,"18.61","21.93","18.61","20.87","134,854"
06/18/2021,"17.06","19.70","17.06","19.68","133,828"
06/17/2021,"18.39","20.00","18.02","18.66","368,370"
06/16/2021,"17.26","19.48","16.76","18.88","288,311"
06/15/2021,"20.92","20.92","16.32","18.58","338,426"
06/14/2021,"26.47","26.47","19.88","20.16","894,960"
06/11/2021,"34.00","37.99","23.45","25.15","2,386,515"
