Date,Open,High,Low,Close,Volume
08/20/2021,"13.05","13.62","12.97","13.51","254,098"
08/19/2021,"13.20","13.44","12.90","13.05","564,783"
08/18/2021,"13.48","13.66","13.15","13.41","377,288"
08/17/2021,"14.24","14.46","13.54","13.65","508,991"
08/16/2021,"14.70","14.77","14.41","14.51","191,545"
08/13/2021,"15.19","15.25","14.65","14.78","243,316"
08/12/2021,"15.14","15.41","14.91","15.23","202,072"
08/11/2021,"15.20","15.48","14.95","15.19","308,754"
08/10/2021,"14.66","15.03","14.20","14.93","435,758"
08/09/2021,"15.26","15.30","14.60","14.66","310,010"
08/06/2021,"15.43","15.71","15.20","15.29","181,802"
08/05/2021,"15.46","15.48","14.85","15.39","357,245"
08/04/2021,"15.99","16.13","15.21","15.43","300,923"
08/03/2021,"16.01","16.32","15.66","16.03","449,269"
08/02/2021,"15.46","16.24","15.45","15.90","356,573"
07/30/2021,"15.44","15.80","15.30","15.46","139,466"
07/29/2021,"15.84","16.05","15.54","15.61","189,962"
07/28/2021,"15.79","15.90","15.30","15.72","226,510"
07/27/2021,"15.20","15.64","15.07","15.59","285,799"
07/26/2021,"15.29","15.58","15.17","15.36","199,061"
07/23/2021,"15.69","15.69","15.20","15.40","195,616"
07/22/2021,"16.15","16.15","15.37","15.56","232,032"
07/21/2021,"15.89","16.47","15.61","16.06","306,631"
07/20/2021,"15.18","16.14","14.94","15.89","578,809"
07/19/2021,"14.85","15.47","14.50","15.18","628,261"
07/16/2021,"15.68","16.00","15.05","15.20","446,479"
07/15/2021,"16.20","16.21","15.18","15.64","912,550"
07/14/2021,"15.43","16.65","15.39","16.18","1,383,508"
07/13/2021,"15.21","15.54","15.00","15.37","294,002"
07/12/2021,"14.99","15.42","14.91","15.36","277,166"
07/09/2021,"14.75","15.50","14.75","15.17","436,229"
07/08/2021,"14.50","14.71","14.01","14.59","814,648"
07/07/2021,"14.95","14.99","14.28","14.84","378,510"
07/06/2021,"14.70","15.05","14.41","14.89","763,848"
07/02/2021,"15.36","15.36","14.56","14.56","399,270"
07/01/2021,"15.76","15.79","15.11","15.20","375,462"
06/30/2021,"15.70","16.13","15.42","15.75","447,885"
06/29/2021,"15.08","15.74","14.97","15.61","351,582"
06/28/2021,"14.80","15.39","14.48","15.08","344,395"
06/25/2021,"14.55","14.95","14.55","14.65","1,762,589"
06/24/2021,"14.98","15.03","14.44","14.50","381,762"
06/23/2021,"15.09","15.15","14.72","14.90","291,554"
06/22/2021,"15.43","15.58","14.88","14.89","366,998"
06/21/2021,"14.74","15.70","14.70","15.50","502,924"
06/18/2021,"14.71","15.10","14.33","14.45","933,711"
06/17/2021,"15.59","15.73","14.71","14.74","430,680"
06/16/2021,"15.48","15.84","15.36","15.63","368,061"
06/15/2021,"15.70","15.90","15.10","15.48","328,104"
06/14/2021,"16.39","16.50","15.36","15.75","401,639"
06/11/2021,"16.00","16.34","15.92","16.18","263,342"
06/10/2021,"16.29","16.65","15.83","15.87","221,855"
06/09/2021,"16.95","17.06","16.22","16.47","301,775"
06/08/2021,"16.01","16.86","15.81","16.77","483,429"
06/07/2021,"17.34","17.50","15.62","15.93","682,545"
06/04/2021,"15.15","17.01","14.99","16.92","1,795,007"
06/03/2021,"13.54","14.45","13.34","14.22","496,537"
06/02/2021,"13.73","13.80","13.40","13.68","304,773"
06/01/2021,"14.30","14.40","13.50","13.69","332,732"
05/28/2021,"14.80","14.88","14.03","14.13","311,303"
05/27/2021,"14.66","14.75","14.13","14.70","262,793"
05/26/2021,"14.11","14.98","14.05","14.59","441,249"
05/25/2021,"14.11","14.20","13.61","14.04","223,712"
05/24/2021,"14.29","14.40","13.75","13.87","239,207"
05/21/2021,"13.48","14.25","13.41","14.24","355,854"
05/20/2021,"13.29","13.59","12.98","13.18","167,787"
05/19/2021,"12.77","13.37","12.51","13.18","182,066"
05/18/2021,"12.74","13.30","12.70","12.99","185,166"
05/17/2021,"12.58","12.83","12.43","12.74","181,072"
05/14/2021,"12.15","12.77","12.05","12.70","233,845"
05/13/2021,"11.74","12.25","11.60","11.94","506,725"
05/12/2021,"12.94","12.95","11.64","11.68","424,849"
05/11/2021,"12.85","13.00","12.28","12.67","473,691"
05/10/2021,"13.52","13.98","13.05","13.10","270,686"
05/07/2021,"14.07","14.12","13.31","13.45","298,273"
05/06/2021,"13.73","14.30","13.24","13.98","461,373"
05/05/2021,"13.40","13.89","13.28","13.77","215,682"
05/04/2021,"13.48","13.55","13.11","13.44","225,875"
05/03/2021,"13.85","13.90","13.51","13.67","324,779"
04/30/2021,"13.91","13.97","13.65","13.73","161,675"
04/29/2021,"13.88","13.96","13.61","13.90","260,231"
04/28/2021,"13.62","13.62","13.15","13.53","195,131"
04/27/2021,"13.40","13.95","13.20","13.40","287,525"
04/26/2021,"12.87","13.48","12.87","13.44","397,994"
04/23/2021,"12.53","13.09","12.40","12.83","481,775"
04/22/2021,"12.01","12.44","11.86","12.39","407,058"
04/21/2021,"11.30","12.03","11.30","11.93","301,178"
04/20/2021,"11.37","11.56","10.96","11.39","416,338"
04/19/2021,"11.28","11.88","11.00","11.49","567,522"
04/16/2021,"11.45","11.70","10.86","11.38","495,972"
04/15/2021,"11.80","11.80","11.26","11.56","516,933"
04/14/2021,"11.93","12.08","11.22","11.63","672,849"
04/13/2021,"12.35","12.35","11.61","11.97","868,116"
04/12/2021,"11.99","12.31","11.55","12.24","600,637"
04/09/2021,"12.78","12.82","11.56","11.87","1,265,608"
04/08/2021,"13.00","13.70","12.36","12.62","1,447,218"
04/07/2021,"12.96","13.54","12.55","13.00","2,104,132"
04/06/2021,"11.78","12.19","11.16","12.15","2,323,070"
04/05/2021,"10.75","11.06","10.54","10.99","620,842"
04/01/2021,"10.70","10.90","10.29","10.54","672,637"
03/31/2021,"9.95","10.35","9.82","10.15","170,878"
03/30/2021,"10.25","10.25","9.75","9.93","352,576"
03/29/2021,"10.30","10.30","9.98","10.07","246,081"
03/26/2021,"10.43","10.64","10.25","10.40","238,238"
03/25/2021,"10.88","10.89","9.96","10.28","315,873"
03/24/2021,"11.35","11.35","10.90","10.90","283,366"
03/23/2021,"11.67","11.67","11.19","11.34","347,354"
03/22/2021,"11.87","11.93","11.27","11.65","380,252"
03/19/2021,"11.60","11.75","11.50","11.55","518,331"
03/18/2021,"11.77","11.89","11.00","11.45","479,295"
03/17/2021,"12.00","12.05","11.61","11.85","206,586"
03/16/2021,"12.05","12.25","11.49","12.01","636,519"
03/15/2021,"12.50","12.51","12.01","12.01","603,256"
03/12/2021,"11.75","12.80","11.49","12.25","5,436,460"
