Date,Open,High,Low,Close,Volume
08/20/2021,"4.6200","4.7300","4.6074","4.7200","22,933"
08/19/2021,"4.9535","4.9800","4.5816","4.8400","101,160"
08/18/2021,"4.3000","4.9700","4.2201","4.9200","82,993"
08/17/2021,"4.8900","4.8900","4.3000","4.3000","32,425"
08/16/2021,"4.9000","4.9000","4.5700","4.7200","21,849"
08/13/2021,"4.8900","4.9000","4.6300","4.9000","21,586"
08/12/2021,"4.8500","5.0199","4.6900","4.9800","32,069"
08/11/2021,"4.8466","5.1410","4.7700","4.8500","30,990"
08/10/2021,"4.8500","4.9500","4.7500","4.8331","16,927"
08/09/2021,"4.9800","5.0500","4.8400","4.9500","26,649"
08/06/2021,"5.0600","5.1450","5.0000","5.0300","82,065"
08/05/2021,"4.9000","5.2800","4.9000","5.2400","248,780"
08/04/2021,"4.9609","5.0050","4.9000","4.9499","31,285"
08/03/2021,"5.0050","5.0050","4.7500","4.9300","13,341"
08/02/2021,"5.0100","5.0700","4.8500","4.9800","18,710"
07/30/2021,"5.2900","5.2900","5.0050","5.1200","12,829"
07/29/2021,"5.1500","5.3500","5.1000","5.2200","25,318"
07/28/2021,"5.2000","5.2000","5.0600","5.1900","10,091"
07/27/2021,"5.1000","5.1000","4.9500","5.0502","17,536"
07/26/2021,"5.1300","5.2500","5.0000","5.2100","23,486"
07/23/2021,"4.9930","5.1000","4.8600","5.1000","17,801"
07/22/2021,"5.0500","5.1000","4.9001","5.0800","30,247"
07/21/2021,"4.9900","5.1600","4.7600","5.0350","50,347"
07/20/2021,"4.7800","5.1000","4.7800","4.9200","33,556"
07/19/2021,"4.8200","5.0599","4.5700","4.8600","31,002"
07/16/2021,"5.2350","5.8000","4.7400","4.8196","368,369"
07/15/2021,"5.4300","5.4500","5.0600","5.2000","57,717"
07/14/2021,"5.6000","5.7199","5.3301","5.4200","54,126"
07/13/2021,"5.7999","5.7999","5.4000","5.4602","49,262"
07/12/2021,"5.8500","5.8500","5.6100","5.7309","32,467"
07/09/2021,"6.0390","6.1500","5.6600","5.7600","89,779"
07/08/2021,"5.6790","6.1800","5.3400","6.0900","623,031"
