Date,Open,High,Low,Close,Volume
08/20/2021,"33.00","33.98","33.00","33.98","967"
08/19/2021,"33.04","33.42","33.04","33.09","2,324"
08/18/2021,"33.03","35.55","33.03","34.53","1,784"
08/17/2021,"33.75","34.26","33.51","34.00","2,907"
08/16/2021,"34.73","35.05","33.50","33.76","18,559"
08/13/2021,"35.28","35.28","34.01","34.39","6,793"
08/12/2021,"35.07","36.79","35.07","35.34","2,628"
08/11/2021,"36.00","36.00","35.00","35.08","4,597"
08/10/2021,"35.86","37.74","35.86","36.12","1,394"
08/09/2021,"36.14","36.14","36.14","36.14","576"
08/06/2021,"36.93","36.93","36.40","36.40","1,277"
08/05/2021,"36.88","37.52","36.50","36.50","3,324"
08/04/2021,"36.74","38.07","36.48","36.78","4,352"
08/03/2021,"37.69","37.69","36.13","36.45","1,696"
08/02/2021,"38.07","38.07","38.07","38.07","580"
07/30/2021,"35.93","38.55","35.93","37.96","10,979"
07/29/2021,"37.15","38.57","37.15","38.00","24,042"
07/28/2021,"38.88","38.88","37.42","37.47","4,233"
07/27/2021,"37.57","38.66","37.40","37.96","3,069"
07/26/2021,"37.15","38.26","37.15","38.07","1,301"
07/23/2021,"36.50","37.20","36.49","37.00","5,880"
07/22/2021,"36.14","36.75","36.14","36.35","18,010"
07/21/2021,"35.95","37.00","35.95","36.25","9,269"
07/20/2021,"35.87","36.23","35.00","36.00","26,015"
07/19/2021,"36.10","36.10","35.13","35.13","5,005"
07/16/2021,"36.06","36.99","35.70","36.99","1,711"
07/15/2021,"37.15","37.45","36.00","36.15","14,554"
07/14/2021,"36.87","37.94","36.21","36.25","10,680"
07/13/2021,"37.14","38.05","36.55","37.27","14,253"
07/12/2021,"37.25","37.25","36.55","36.78","7,361"
07/09/2021,"36.25","36.25","35.60","35.78","3,277"
07/08/2021,"35.12","36.60","35.12","36.60","8,850"
07/07/2021,"36.69","36.69","35.51","35.76","7,372"
07/06/2021,"36.98","37.48","36.17","36.24","29,205"
07/02/2021,"36.12","37.55","36.12","36.65","12,910"
07/01/2021,"37.00","37.18","35.76","36.03","104,956"
06/30/2021,"35.51","37.55","35.51","36.75","14,662"
06/29/2021,"37.55","37.55","35.75","35.80","18,906"
06/28/2021,"36.44","37.01","35.70","36.48","31,940"
06/25/2021,"37.00","37.00","36.18","36.99","3,685"
06/24/2021,"36.83","37.15","36.00","36.00","9,525"
06/23/2021,"36.97","37.90","36.15","36.34","6,143"
06/22/2021,"37.92","37.92","36.00","36.97","5,425"
06/21/2021,"36.56","36.65","32.84","35.70","41,033"
06/18/2021,"37.00","38.50","35.57","35.57","12,172"
06/17/2021,"36.98","37.50","35.55","36.13","22,472"
06/16/2021,"37.47","38.13","35.56","37.24","12,415"
06/15/2021,"38.25","38.39","37.00","37.85","17,056"
06/14/2021,"38.15","38.34","36.98","37.99","17,468"
06/11/2021,"38.90","39.04","38.00","38.00","11,996"
06/10/2021,"38.60","39.86","38.00","38.49","14,918"
06/09/2021,"37.50","41.20","37.50","38.62","76,557"
06/08/2021,"37.94","38.10","36.99","37.50","9,327"
06/07/2021,"37.99","38.04","36.95","37.99","4,492"
06/04/2021,"37.00","38.24","37.00","37.99","8,483"
06/03/2021,"36.90","38.14","36.25","37.70","13,834"
06/02/2021,"38.86","38.86","36.09","37.35","22,821"
06/01/2021,"36.69","37.87","35.61","37.23","18,769"
05/28/2021,"37.00","37.00","35.66","36.96","4,831"
05/27/2021,"37.10","37.31","35.95","37.01","6,859"
05/26/2021,"36.75","37.28","36.75","37.28","3,995"
05/25/2021,"37.89","37.89","34.69","37.21","7,519"
05/24/2021,"36.99","37.00","34.04","36.71","30,422"
05/21/2021,"36.10","37.51","35.15","36.05","24,725"
05/20/2021,"34.85","37.00","33.83","36.69","22,342"
05/19/2021,"35.70","36.70","33.50","34.15","33,504"
05/18/2021,"36.47","37.01","35.71","37.00","21,347"
05/17/2021,"37.60","37.62","36.26","37.03","10,549"
05/14/2021,"36.00","37.81","35.18","36.67","17,069"
05/13/2021,"37.79","38.68","35.37","35.72","20,109"
05/12/2021,"39.48","39.72","37.53","38.48","20,510"
05/11/2021,"39.57","40.21","37.91","38.25","21,790"
05/10/2021,"40.98","40.98","38.24","39.30","6,498"
05/07/2021,"40.22","40.74","37.87","39.05","19,748"
05/06/2021,"41.60","41.60","37.21","39.47","99,196"
05/05/2021,"38.60","41.00","37.86","38.13","39,592"
05/04/2021,"38.00","39.23","37.00","38.56","31,296"
05/03/2021,"40.13","41.05","37.66","38.00","39,718"
04/30/2021,"40.63","40.94","38.50","38.91","28,208"
04/29/2021,"42.00","42.50","38.15","40.25","39,454"
04/28/2021,"39.76","42.45","38.85","41.17","61,187"
04/27/2021,"37.82","39.92","37.82","38.98","38,785"
04/26/2021,"38.90","42.15","36.05","37.00","60,776"
04/23/2021,"34.84","38.29","33.43","38.29","54,571"
04/22/2021,"33.81","34.70","32.16","34.03","42,448"
04/21/2021,"30.61","33.08","30.38","32.10","50,628"
04/20/2021,"33.86","33.86","29.33","32.15","50,222"
04/19/2021,"33.10","34.50","31.40","32.50","43,730"
04/16/2021,"31.34","33.99","31.34","32.99","18,184"
04/15/2021,"33.50","33.94","31.15","33.85","29,049"
04/14/2021,"32.00","34.68","31.98","32.14","51,515"
04/13/2021,"29.01","33.00","28.60","32.39","64,216"
04/12/2021,"31.00","32.85","29.00","29.01","66,728"
04/09/2021,"33.91","35.89","30.71","30.87","71,243"
04/08/2021,"37.50","37.50","34.78","35.50","38,958"
04/07/2021,"35.15","38.00","32.46","36.39","125,126"
04/06/2021,"35.00","36.90","32.49","35.26","153,586"
04/05/2021,"37.35","37.35","30.16","33.70","187,557"
04/01/2021,"29.00","39.00","28.35","33.99","755,138"
