Date,Open,High,Low,Close,Volume
08/11/2021,"12.24","12.48","11.85","12.14","188,848"
08/10/2021,"12.60","12.98","11.99","12.30","239,517"
08/09/2021,"13.91","14.00","12.18","12.35","386,357"
08/06/2021,"12.15","13.98","12.12","13.61","209,716"
08/05/2021,"11.80","12.52","11.79","12.11","230,622"
08/04/2021,"12.51","12.96","11.78","12.05","240,473"
08/03/2021,"12.43","13.83","12.01","12.66","248,622"
08/02/2021,"11.91","13.19","11.63","12.69","244,531"
07/30/2021,"11.43","11.94","11.21","11.91","79,440"
07/29/2021,"11.22","11.65","11.01","11.58","181,632"
07/28/2021,"11.46","11.47","11.01","11.29","147,236"
07/27/2021,"11.30","11.86","11.22","11.27","522,295"
07/26/2021,"11.68","11.94","11.21","11.50","673,815"
07/23/2021,"11.69","12.00","11.50","11.76","358,060"
07/22/2021,"11.90","12.01","11.50","11.65","1,293,503"
07/21/2021,"11.50","12.04","10.19","12.00","6,542,925"
