Date,Open,High,Low,Close,Volume
08/11/2021,"21.22","21.43","20.49","21.03","650,687"
08/10/2021,"20.15","22.82","20.13","21.48","557,966"
08/09/2021,"20.15","21.32","19.87","21.20","166,837"
08/06/2021,"21.00","21.00","19.72","20.06","382,777"
08/05/2021,"21.19","21.37","20.13","21.31","393,537"
08/04/2021,"21.69","21.92","20.55","20.88","269,418"
08/03/2021,"22.50","23.20","21.09","21.62","955,875"
08/02/2021,"21.20","23.91","19.50","22.18","2,095,421"
07/30/2021,"21.50","22.72","21.21","21.21","548,835"
07/29/2021,"22.50","23.49","21.19","21.52","445,415"
07/28/2021,"23.00","24.36","22.35","22.58","424,114"
07/27/2021,"25.40","25.63","22.57","22.86","571,916"
07/26/2021,"27.04","28.00","24.52","24.68","514,145"
07/23/2021,"28.60","28.60","26.70","26.91","173,774"
07/22/2021,"28.71","28.71","27.39","28.27","120,288"
07/21/2021,"27.54","29.05","27.41","28.53","263,097"
07/20/2021,"26.77","27.37","25.29","26.96","269,291"
07/19/2021,"24.48","28.30","24.09","26.59","767,693"
07/16/2021,"26.33","27.00","24.70","24.82","395,991"
07/15/2021,"28.27","28.50","26.00","26.32","856,338"
07/14/2021,"31.00","31.99","28.69","29.08","513,655"
07/13/2021,"30.04","31.68","28.30","30.19","491,269"
07/12/2021,"33.17","33.32","29.90","30.21","915,888"
07/09/2021,"31.10","33.60","30.99","33.25","477,895"
07/08/2021,"31.00","31.31","29.09","30.44","408,244"
07/07/2021,"29.42","33.64","28.58","32.28","907,728"
07/06/2021,"27.50","29.96","26.99","29.55","320,046"
07/02/2021,"28.76","29.63","27.23","27.43","229,620"
07/01/2021,"30.54","31.15","28.38","28.94","378,804"
06/30/2021,"33.27","34.36","30.66","31.27","524,751"
06/29/2021,"33.47","34.42","32.78","33.27","270,608"
06/28/2021,"32.93","33.72","32.57","33.37","279,818"
06/25/2021,"36.00","36.60","32.16","33.26","702,057"
06/24/2021,"34.67","35.90","34.51","35.82","407,616"
06/23/2021,"35.00","36.67","34.67","35.16","501,509"
06/22/2021,"34.77","35.68","33.21","35.04","558,321"
06/21/2021,"32.41","35.40","32.30","35.07","1,103,461"
06/18/2021,"28.95","34.36","28.71","33.66","4,312,041"
06/17/2021,"24.20","30.64","23.97","29.80","1,345,414"
06/16/2021,"22.75","24.00","22.75","23.90","304,647"
06/15/2021,"21.79","22.93","21.75","22.44","228,417"
06/14/2021,"19.96","22.50","19.86","21.79","311,576"
06/11/2021,"19.81","20.11","19.19","19.80","96,153"
06/10/2021,"18.68","19.80","18.55","19.72","146,603"
06/09/2021,"18.86","19.00","18.51","18.52","49,389"
06/08/2021,"18.57","19.00","18.45","18.68","124,043"
06/07/2021,"19.48","19.48","18.45","18.50","97,528"
06/04/2021,"19.79","19.82","18.90","19.35","114,089"
06/03/2021,"19.76","20.07","19.52","19.77","88,243"
06/02/2021,"18.62","19.88","18.49","19.76","133,451"
06/01/2021,"18.88","18.94","18.47","18.62","72,604"
05/28/2021,"18.49","18.96","18.45","18.65","117,218"
05/27/2021,"18.18","18.60","17.98","18.42","185,223"
05/26/2021,"18.19","18.50","17.91","18.07","116,432"
05/25/2021,"17.76","18.01","17.65","17.85","91,371"
05/24/2021,"17.94","17.96","17.36","17.64","105,221"
05/21/2021,"17.85","18.29","17.54","17.77","248,535"
05/20/2021,"20.00","21.00","16.77","17.65","771,380"
05/19/2021,"19.18","20.33","18.60","19.48","279,421"
05/18/2021,"19.49","19.64","18.83","19.35","114,972"
05/17/2021,"19.14","19.62","18.83","19.10","167,083"
05/14/2021,"18.10","19.47","18.00","18.69","210,475"
05/13/2021,"17.63","18.37","17.10","17.55","287,707"
05/12/2021,"18.05","18.44","17.10","17.55","315,182"
05/11/2021,"18.07","18.63","17.77","17.78","692,532"
05/10/2021,"18.75","19.13","18.41","18.60","248,881"
05/07/2021,"19.03","19.76","18.85","19.29","146,813"
05/06/2021,"20.00","20.10","18.40","18.75","490,023"
05/05/2021,"22.60","22.99","19.41","19.90","355,999"
05/04/2021,"22.79","22.89","21.20","22.16","197,941"
05/03/2021,"22.93","23.84","22.80","23.13","87,186"
04/30/2021,"23.80","24.35","22.98","22.98","114,327"
04/29/2021,"25.82","25.95","23.44","23.78","292,220"
04/28/2021,"24.23","25.10","23.00","24.75","931,313"
04/27/2021,"23.58","26.98","23.27","24.34","753,525"
04/26/2021,"23.06","23.59","22.01","23.03","290,782"
04/23/2021,"24.92","25.07","22.03","23.06","890,761"
04/22/2021,"19.95","25.94","19.51","24.14","6,202,673"
