Date,Open,High,Low,Close,Volume
08/30/2021,"20.97","21.71","20.67","20.76","133,713"
08/27/2021,"19.93","21.44","19.70","20.86","350,930"
08/26/2021,"20.04","20.65","19.82","19.97","156,833"
08/25/2021,"20.20","20.68","20.00","20.23","265,301"
08/24/2021,"20.22","20.48","19.53","20.01","112,094"
08/23/2021,"19.84","20.88","19.78","20.44","244,310"
08/20/2021,"18.02","20.20","18.02","19.73","224,945"
08/19/2021,"19.16","19.66","18.06","18.17","111,043"
08/18/2021,"19.44","20.21","19.27","19.42","109,109"
08/17/2021,"20.14","20.14","18.95","19.53","125,555"
08/16/2021,"19.99","20.57","19.43","19.91","177,992"
08/13/2021,"19.14","20.29","19.01","20.10","164,852"
08/12/2021,"19.67","19.94","18.81","19.47","85,290"
08/11/2021,"20.21","20.69","19.22","19.62","72,275"
08/10/2021,"20.43","20.97","19.81","20.25","98,680"
08/09/2021,"20.61","21.07","20.20","20.30","134,457"
08/06/2021,"20.56","21.43","20.13","20.50","97,888"
08/05/2021,"20.20","20.79","20.12","20.43","125,243"
08/04/2021,"20.08","20.54","19.80","20.26","99,780"
08/03/2021,"20.47","20.47","19.80","20.29","76,556"
08/02/2021,"20.62","21.10","20.23","20.36","131,899"
07/30/2021,"20.78","21.00","19.98","20.45","111,525"
07/29/2021,"21.76","22.19","20.59","20.70","82,109"
07/28/2021,"20.85","21.93","20.68","21.55","86,359"
07/27/2021,"21.28","21.28","20.18","20.75","67,333"
07/26/2021,"21.85","22.10","20.68","21.01","149,845"
07/23/2021,"21.95","22.30","21.16","21.77","80,436"
07/22/2021,"22.36","22.82","21.45","21.93","119,642"
07/21/2021,"21.13","22.45","20.85","22.45","227,168"
07/20/2021,"19.93","21.51","19.93","20.98","878,460"
07/19/2021,"20.16","20.75","19.84","20.26","168,786"
07/16/2021,"20.57","20.79","20.01","20.55","119,380"
07/15/2021,"21.01","21.44","19.92","20.42","146,066"
07/14/2021,"21.42","21.63","20.43","21.13","212,120"
07/13/2021,"22.21","22.21","21.13","21.32","151,370"
07/12/2021,"22.53","22.79","22.02","22.19","178,792"
07/09/2021,"22.27","22.95","21.87","22.60","231,338"
07/08/2021,"22.00","23.31","21.77","22.17","324,426"
07/07/2021,"22.47","22.97","22.22","22.48","321,924"
07/06/2021,"23.97","24.26","22.68","22.76","229,084"
07/02/2021,"24.32","24.40","23.39","23.84","173,839"
07/01/2021,"23.40","24.80","23.40","24.33","210,048"
06/30/2021,"24.02","24.69","23.65","23.95","174,694"
06/29/2021,"25.71","25.76","23.79","24.14","249,581"
06/28/2021,"24.93","25.65","24.55","25.65","250,440"
06/25/2021,"24.39","25.43","24.20","24.96","3,338,744"
06/24/2021,"25.00","25.51","23.98","24.47","335,028"
06/23/2021,"24.47","24.50","23.23","23.85","187,950"
06/22/2021,"25.06","25.50","23.81","24.18","396,724"
06/21/2021,"24.43","25.45","24.02","25.14","537,834"
06/18/2021,"24.81","25.17","23.77","24.29","494,666"
06/17/2021,"25.16","25.82","24.58","25.10","609,188"
06/16/2021,"25.64","26.56","24.88","25.29","569,288"
06/15/2021,"26.14","26.30","25.08","25.69","254,993"
06/14/2021,"26.05","27.15","25.82","26.15","354,554"
06/11/2021,"27.43","27.63","25.85","26.49","355,724"
06/10/2021,"27.02","27.42","26.00","27.06","447,634"
06/09/2021,"27.31","28.09","26.78","26.86","278,600"
06/08/2021,"27.13","28.42","25.90","27.53","737,146"
06/07/2021,"26.81","28.26","26.50","27.02","349,130"
06/04/2021,"26.77","27.20","26.26","26.65","249,082"
06/03/2021,"26.96","27.28","25.82","26.85","335,459"
06/02/2021,"24.45","27.44","24.45","27.29","264,782"
06/01/2021,"24.56","25.67","23.80","24.26","223,997"
05/28/2021,"25.37","26.67","24.09","24.41","178,251"
05/27/2021,"25.20","26.16","25.13","25.49","345,361"
05/26/2021,"25.46","25.64","24.78","25.00","274,954"
05/25/2021,"26.20","26.48","25.23","25.26","157,774"
05/24/2021,"26.88","27.00","25.62","25.95","229,236"
05/21/2021,"26.95","27.19","26.02","27.03","227,418"
05/20/2021,"24.65","26.61","24.65","26.61","215,984"
05/19/2021,"25.53","25.73","24.10","24.66","131,597"
05/18/2021,"25.92","27.03","25.55","25.72","124,012"
05/17/2021,"24.68","26.50","24.68","25.73","174,069"
05/14/2021,"25.52","26.87","24.53","24.80","214,657"
05/13/2021,"25.00","26.66","24.31","25.37","221,439"
05/12/2021,"24.12","26.11","24.12","25.43","196,834"
05/11/2021,"24.42","25.16","24.01","24.48","115,485"
05/10/2021,"25.68","26.14","24.75","25.06","132,206"
05/07/2021,"24.92","26.61","24.92","25.69","107,860"
05/06/2021,"26.87","26.88","25.02","25.49","121,589"
05/05/2021,"26.71","28.00","26.62","26.86","115,409"
05/04/2021,"27.19","27.46","25.67","26.50","124,101"
05/03/2021,"27.01","27.68","26.88","27.36","108,647"
04/30/2021,"25.37","27.47","25.37","27.07","132,135"
04/29/2021,"25.43","25.78","24.56","25.45","108,672"
04/28/2021,"24.89","26.18","24.69","25.43","115,424"
04/27/2021,"26.26","26.32","24.04","24.96","139,562"
04/26/2021,"23.33","26.83","23.08","26.32","154,491"
04/23/2021,"23.08","23.33","22.35","23.19","185,912"
04/22/2021,"21.86","23.27","21.67","22.94","216,041"
04/21/2021,"20.09","21.96","19.91","21.92","225,071"
04/20/2021,"20.00","20.68","19.60","20.08","186,532"
04/19/2021,"21.57","22.49","19.87","20.11","156,847"
04/16/2021,"21.93","21.93","20.20","21.56","254,607"
04/15/2021,"21.77","22.16","21.50","21.71","278,061"
04/14/2021,"23.01","23.38","21.83","22.01","299,033"
04/13/2021,"25.46","25.88","22.74","22.89","347,374"
04/12/2021,"27.21","27.21","25.30","25.41","459,980"
04/09/2021,"27.82","27.82","26.83","27.28","261,909"
04/08/2021,"28.00","28.49","26.30","27.21","663,415"
04/07/2021,"27.25","28.07","26.03","28.00","695,529"
04/06/2021,"29.00","29.23","27.72","28.06","202,598"
04/05/2021,"28.65","29.94","28.59","29.02","321,465"
04/01/2021,"29.32","30.85","28.17","28.51","152,379"
03/31/2021,"28.18","30.00","28.17","29.27","152,674"
03/30/2021,"29.10","29.10","27.41","27.85","169,312"
03/29/2021,"29.00","29.21","27.74","28.88","117,617"
03/26/2021,"28.59","29.01","27.74","28.99","191,444"
03/25/2021,"28.21","28.87","25.94","28.58","323,270"
03/24/2021,"29.27","32.18","27.66","28.57","570,109"
03/23/2021,"28.74","29.44","27.57","28.77","359,915"
03/22/2021,"29.31","29.78","28.50","29.08","250,622"
03/19/2021,"28.33","29.64","28.00","29.51","368,907"
03/18/2021,"28.22","28.41","27.60","28.13","225,536"
03/17/2021,"27.79","28.56","27.59","28.34","197,188"
03/16/2021,"28.41","28.67","27.12","28.18","430,534"
03/15/2021,"28.45","29.29","27.68","28.55","236,445"
03/12/2021,"28.07","28.77","27.21","28.67","236,169"
03/11/2021,"28.86","28.91","27.18","28.37","308,627"
03/10/2021,"29.00","29.37","28.21","28.85","251,765"
03/09/2021,"28.19","29.30","27.89","29.00","168,984"
03/08/2021,"28.60","29.23","27.85","28.18","259,526"
03/05/2021,"29.61","29.61","26.80","27.87","227,655"
03/04/2021,"28.53","29.93","27.10","29.32","199,838"
03/03/2021,"29.80","29.99","28.24","28.46","285,898"
03/02/2021,"29.53","29.95","28.40","29.35","79,654"
03/01/2021,"29.49","30.41","28.68","29.51","61,357"
02/26/2021,"29.20","29.85","28.53","29.07","56,496"
02/25/2021,"29.00","29.54","27.27","29.15","60,341"
02/24/2021,"28.32","29.90","28.16","29.23","65,521"
02/23/2021,"27.51","28.84","26.61","28.70","61,822"
02/22/2021,"27.95","28.29","27.52","27.72","57,437"
02/19/2021,"27.89","28.69","27.64","28.31","37,422"
02/18/2021,"28.77","29.07","27.51","27.65","60,627"
02/17/2021,"28.53","29.70","27.74","28.98","55,957"
02/16/2021,"29.91","29.91","28.54","28.82","62,509"
02/12/2021,"30.02","30.58","29.34","29.83","55,112"
02/11/2021,"28.86","30.60","28.47","30.10","104,354"
02/10/2021,"29.18","29.78","28.17","28.98","254,477"
02/09/2021,"29.66","30.33","28.62","29.22","51,726"
02/08/2021,"28.96","30.07","28.38","29.89","245,649"
02/05/2021,"29.00","29.24","28.13","28.93","51,254"
02/04/2021,"28.28","29.18","27.87","28.54","36,032"
02/03/2021,"28.56","29.40","27.08","28.46","104,113"
02/02/2021,"27.75","29.58","27.29","28.52","80,076"
02/01/2021,"28.32","28.32","26.92","27.59","121,070"
01/29/2021,"27.83","28.80","26.67","27.49","124,729"
01/28/2021,"27.76","28.06","26.12","27.33","107,552"
01/27/2021,"28.41","28.77","26.88","27.00","148,906"
01/26/2021,"31.98","31.98","28.78","28.93","73,983"
01/25/2021,"32.82","33.39","31.44","31.70","65,231"
01/22/2021,"31.35","32.78","31.10","32.48","94,160"
01/21/2021,"31.02","32.25","30.01","31.72","96,967"
01/20/2021,"31.39","32.26","30.60","31.00","116,083"
01/19/2021,"32.94","32.94","30.10","31.18","111,361"
01/15/2021,"30.84","32.49","30.54","31.57","149,584"
01/14/2021,"32.33","32.61","31.15","31.96","93,343"
01/13/2021,"31.19","32.52","30.05","32.15","106,333"
01/12/2021,"31.65","33.39","30.54","31.13","143,583"
01/11/2021,"31.46","32.48","30.57","32.14","64,340"
01/08/2021,"31.37","32.87","30.65","31.73","147,710"
01/07/2021,"31.51","31.80","30.28","31.45","124,973"
01/06/2021,"28.59","31.34","28.30","31.17","219,382"
01/05/2021,"28.18","29.04","27.51","28.48","211,381"
01/04/2021,"30.23","30.23","28.12","28.33","131,549"
12/31/2020,"31.96","32.52","28.71","29.87","238,541"
12/30/2020,"30.97","32.75","30.46","32.14","220,028"
12/29/2020,"32.53","32.59","30.01","30.89","278,982"
12/28/2020,"35.61","35.61","32.66","32.76","208,889"
12/24/2020,"35.27","36.19","34.65","35.57","65,107"
12/23/2020,"37.26","37.78","33.27","34.85","322,662"
12/22/2020,"34.76","38.98","34.26","37.92","368,468"
12/21/2020,"34.85","36.24","33.50","35.13","376,807"
12/18/2020,"33.48","37.83","32.75","35.21","2,534,511"
12/17/2020,"32.61","34.17","31.59","33.46","244,554"
12/16/2020,"31.31","32.47","30.54","32.16","184,704"
12/15/2020,"29.94","31.15","28.38","31.11","149,452"
12/14/2020,"33.00","34.89","29.56","29.56","176,171"
12/11/2020,"30.77","33.03","30.77","32.36","152,486"
12/10/2020,"30.62","32.11","30.01","30.78","124,194"
12/09/2020,"31.67","32.03","29.95","30.94","98,142"
12/08/2020,"31.16","32.50","30.22","31.29","134,127"
12/07/2020,"30.26","31.60","29.67","31.57","162,599"
12/04/2020,"28.50","29.98","28.50","29.98","108,844"
12/03/2020,"29.28","29.89","28.21","28.36","170,656"
12/02/2020,"31.21","31.21","29.10","29.28","137,412"
12/01/2020,"32.08","33.26","31.34","31.50","115,665"
11/30/2020,"34.38","34.89","31.00","32.07","178,850"
11/27/2020,"33.87","34.94","33.84","34.68","95,497"
11/25/2020,"37.95","38.23","33.75","33.84","221,122"
11/24/2020,"38.83","39.61","36.88","38.23","135,764"
11/23/2020,"35.77","39.00","34.75","38.09","121,544"
11/20/2020,"33.11","36.54","31.99","35.23","148,580"
11/19/2020,"30.50","33.55","30.02","33.27","251,318"
11/18/2020,"32.26","32.75","30.29","30.50","200,867"
11/17/2020,"30.64","33.15","30.01","32.84","240,101"
11/16/2020,"28.24","30.98","28.00","30.53","250,635"
11/13/2020,"28.87","29.49","27.86","27.89","204,211"
11/12/2020,"28.76","29.77","27.97","28.70","227,725"
11/11/2020,"29.63","30.00","28.54","28.98","116,892"
11/10/2020,"29.62","29.62","27.11","29.18","135,845"
11/09/2020,"30.85","31.93","29.33","29.37","182,910"
11/06/2020,"27.74","31.18","27.55","30.40","196,766"
11/05/2020,"27.62","28.46","26.98","27.76","196,934"
11/04/2020,"26.73","28.85","26.73","27.54","180,468"
11/03/2020,"27.11","27.63","26.14","26.68","260,590"
11/02/2020,"28.08","28.39","25.57","26.93","270,729"
10/30/2020,"28.22","28.65","27.75","28.09","86,516"
10/29/2020,"30.37","30.37","28.49","28.69","154,490"
10/28/2020,"29.56","31.35","28.70","30.13","88,948"
10/27/2020,"28.82","30.79","26.55","30.00","276,813"
10/26/2020,"32.00","32.20","28.71","29.03","237,983"
10/23/2020,"33.16","33.65","32.11","32.42","132,223"
10/22/2020,"31.91","33.45","30.87","33.17","136,613"
10/21/2020,"32.29","33.25","31.80","32.28","190,726"
10/20/2020,"32.68","33.50","30.11","32.59","243,864"
10/19/2020,"32.41","33.62","32.08","33.10","209,436"
10/16/2020,"32.24","33.22","31.10","32.06","212,639"
10/15/2020,"30.83","34.90","30.00","31.79","1,844,548"
10/14/2020,"28.96","32.85","28.66","31.57","1,160,470"
10/13/2020,"29.63","30.50","28.50","29.29","586,261"
10/12/2020,"28.29","32.00","27.51","29.00","841,193"
10/09/2020,"28.50","29.95","25.50","27.07","3,751,586"
