Date,Open,High,Low,Close,Volume
08/11/2021,"24.39","24.78","23.37","24.51","16,429"
08/10/2021,"23.90","25.26","23.53","24.38","46,145"
08/09/2021,"23.29","24.10","23.29","23.96","42,742"
08/06/2021,"24.01","24.49","23.10","23.35","22,819"
08/05/2021,"23.75","24.13","23.57","23.76","15,124"
08/04/2021,"23.55","24.00","23.41","23.51","24,374"
08/03/2021,"23.37","24.30","23.21","23.69","21,139"
08/02/2021,"22.36","23.92","22.05","23.37","34,036"
07/30/2021,"23.42","23.42","22.00","22.25","19,382"
07/29/2021,"22.98","24.17","22.98","23.55","22,850"
07/28/2021,"23.52","23.93","23.25","23.65","8,279"
07/27/2021,"25.43","25.43","22.91","23.38","57,643"
07/26/2021,"23.72","25.91","23.23","25.37","156,071"
07/23/2021,"21.32","24.00","21.01","23.78","91,679"
07/22/2021,"21.69","22.00","20.98","21.32","34,572"
07/21/2021,"21.60","21.99","21.50","21.69","35,049"
07/20/2021,"20.87","21.87","20.87","21.51","44,748"
07/19/2021,"20.31","21.49","19.42","20.77","31,387"
07/16/2021,"21.44","21.44","20.65","20.67","15,372"
07/15/2021,"21.51","21.59","20.80","21.13","38,056"
07/14/2021,"22.00","22.00","21.26","21.34","31,904"
07/13/2021,"20.36","22.44","20.36","21.93","86,511"
07/12/2021,"20.36","20.69","19.83","20.57","25,367"
07/09/2021,"20.30","20.76","20.11","20.35","66,620"
07/08/2021,"20.15","20.67","19.56","20.30","37,356"
07/07/2021,"20.31","20.66","20.12","20.27","20,595"
07/06/2021,"20.49","20.89","20.25","20.43","39,567"
07/02/2021,"20.65","20.72","20.29","20.39","37,032"
07/01/2021,"20.47","20.84","20.08","20.65","127,507"
06/30/2021,"19.77","20.48","19.69","20.37","57,911"
06/29/2021,"19.84","20.11","19.69","19.69","115,025"
06/28/2021,"19.96","20.02","19.45","19.57","41,113"
06/25/2021,"20.80","20.90","19.68","19.87","533,621"
06/24/2021,"20.77","20.87","20.52","20.79","111,053"
06/23/2021,"20.90","20.90","20.45","20.77","34,298"
06/22/2021,"20.81","20.85","20.31","20.84","79,001"
06/21/2021,"20.34","20.89","20.03","20.85","77,852"
06/18/2021,"20.52","20.88","19.87","20.01","169,007"
06/17/2021,"20.52","20.97","20.28","20.81","92,573"
06/16/2021,"20.20","20.95","20.15","20.69","69,904"
06/15/2021,"20.18","20.48","19.62","20.29","66,198"
06/14/2021,"20.53","20.99","20.00","20.07","37,296"
06/11/2021,"20.19","20.84","19.56","20.40","34,192"
06/10/2021,"20.19","20.51","20.00","20.26","40,276"
06/09/2021,"20.40","20.96","19.79","20.12","30,576"
06/08/2021,"20.74","20.97","20.04","20.17","57,521"
06/07/2021,"20.80","21.23","20.09","20.36","68,213"
06/04/2021,"20.54","20.90","19.91","20.60","90,931"
06/03/2021,"19.36","20.39","18.95","20.39","72,178"
06/02/2021,"20.06","20.06","19.04","19.41","40,422"
06/01/2021,"19.23","20.22","18.80","19.86","92,942"
05/28/2021,"18.36","19.49","18.11","19.00","37,117"
05/27/2021,"18.29","18.97","18.08","18.71","54,701"
05/26/2021,"18.18","18.50","18.18","18.36","32,894"
05/25/2021,"18.00","18.25","17.81","18.07","16,153"
05/24/2021,"17.77","18.49","17.77","18.07","16,954"
05/21/2021,"17.65","18.05","17.45","17.80","13,359"
05/20/2021,"17.62","18.15","17.56","17.57","36,545"
05/19/2021,"17.77","18.15","17.36","17.68","13,177"
05/18/2021,"17.23","18.00","17.23","17.90","26,955"
05/17/2021,"17.29","17.37","17.02","17.37","6,710"
05/14/2021,"16.32","17.35","16.32","17.20","30,298"
05/13/2021,"17.99","18.00","15.56","16.21","74,407"
05/12/2021,"18.23","18.23","17.97","18.15","29,570"
05/11/2021,"18.03","18.77","18.00","18.29","21,235"
05/10/2021,"18.79","19.30","17.68","18.08","45,813"
05/07/2021,"17.66","18.36","17.65","18.32","9,629"
05/06/2021,"17.65","17.98","16.68","17.54","74,465"
05/05/2021,"17.94","18.50","17.50","17.68","22,790"
05/04/2021,"18.45","18.85","17.69","17.91","85,493"
05/03/2021,"18.70","18.91","18.28","18.91","15,468"
04/30/2021,"19.01","19.73","18.42","18.45","52,332"
04/29/2021,"19.24","19.54","18.81","19.02","111,255"
04/28/2021,"18.24","19.74","18.14","19.34","209,373"
04/27/2021,"18.25","18.60","17.97","18.48","45,203"
04/26/2021,"18.50","18.51","17.97","17.97","21,999"
04/23/2021,"18.10","18.43","18.00","18.35","15,212"
04/22/2021,"17.88","18.35","17.86","18.10","27,943"
04/21/2021,"18.49","18.49","17.90","18.00","48,494"
04/20/2021,"18.48","18.50","18.00","18.26","46,921"
04/19/2021,"18.08","18.49","17.60","18.49","139,482"
04/16/2021,"18.00","19.23","17.83","18.12","171,199"
04/15/2021,"18.60","20.00","17.10","18.56","1,963,168"
