Date,Open,High,Low,Close,Volume
08/12/2021,"6.30","6.50","6.10","6.38","112,402"
08/11/2021,"6.20","6.34","6.14","6.29","20,028"
08/10/2021,"5.95","6.20","5.83","6.10","49,957"
08/09/2021,"6.84","6.84","5.94","5.97","69,587"
08/06/2021,"6.83","7.15","6.38","6.94","176,446"
08/05/2021,"6.98","6.98","6.86","6.94","49,220"
08/04/2021,"6.98","7.00","6.62","6.94","67,812"
08/03/2021,"6.65","6.89","6.56","6.80","71,913"
08/02/2021,"6.60","6.66","6.58","6.64","19,312"
07/30/2021,"6.30","6.67","6.27","6.67","66,756"
07/29/2021,"5.84","6.36","5.81","6.28","62,482"
07/28/2021,"5.49","5.85","5.49","5.85","32,182"
07/27/2021,"5.46","5.80","5.40","5.42","72,768"
07/26/2021,"5.31","5.68","5.31","5.59","28,799"
07/23/2021,"5.33","5.44","5.28","5.37","36,690"
07/22/2021,"5.61","5.61","5.25","5.25","134,508"
07/21/2021,"5.30","5.50","5.30","5.48","11,513"
07/20/2021,"5.40","5.64","5.30","5.39","71,020"
07/19/2021,"5.38","5.59","5.27","5.44","98,990"
07/16/2021,"5.22","5.40","5.22","5.33","9,534"
07/15/2021,"5.09","5.40","5.09","5.29","99,318"
07/14/2021,"5.45","5.50","5.10","5.18","104,448"
07/13/2021,"5.22","5.57","5.20","5.35","62,490"
07/12/2021,"5.26","5.40","5.22","5.35","63,564"
07/09/2021,"5.15","5.50","5.15","5.37","69,282"
07/08/2021,"5.15","5.37","5.15","5.23","73,552"
07/07/2021,"5.00","5.17","5.00","5.17","8,474"
07/06/2021,"5.20","5.20","4.97","5.10","28,660"
07/02/2021,"5.28","5.28","4.88","5.14","71,319"
07/01/2021,"5.47","5.79","5.11","5.15","193,124"
06/30/2021,"5.10","5.44","5.10","5.34","57,264"
06/29/2021,"5.41","5.41","5.11","5.12","23,669"
06/28/2021,"5.30","5.30","5.11","5.13","38,675"
06/25/2021,"5.32","5.32","5.00","5.16","59,603"
06/24/2021,"5.25","5.53","5.10","5.10","43,837"
06/23/2021,"5.15","5.16","4.85","5.01","49,012"
06/22/2021,"5.51","5.51","5.13","5.15","63,100"
06/21/2021,"5.67","5.72","5.03","5.18","75,242"
06/18/2021,"5.88","5.96","5.60","5.77","40,904"
06/17/2021,"6.08","6.08","5.81","5.92","18,020"
06/16/2021,"5.98","6.39","5.78","5.99","65,941"
06/15/2021,"6.11","6.36","5.92","6.09","33,615"
06/14/2021,"6.28","6.28","5.91","6.18","45,949"
06/11/2021,"5.84","6.28","5.70","6.28","52,977"
06/10/2021,"6.20","6.20","5.60","5.79","50,083"
06/09/2021,"6.19","6.19","5.81","5.90","51,806"
06/08/2021,"6.52","6.53","6.12","6.16","51,952"
06/07/2021,"6.42","6.47","6.20","6.42","20,159"
06/04/2021,"6.45","6.58","6.20","6.21","39,753"
06/03/2021,"6.21","6.37","6.03","6.32","49,889"
06/02/2021,"6.40","6.55","6.10","6.36","66,242"
06/01/2021,"6.53","6.66","6.16","6.46","111,613"
05/28/2021,"6.13","6.80","6.01","6.66","125,512"
05/27/2021,"6.83","6.83","6.06","6.25","108,867"
05/26/2021,"6.06","6.79","5.75","6.66","139,565"
05/25/2021,"6.40","6.40","5.62","5.94","91,022"
05/24/2021,"6.30","6.45","6.14","6.29","104,447"
05/21/2021,"5.37","6.20","5.37","6.20","106,980"
05/20/2021,"5.21","6.03","5.21","5.32","117,088"
05/19/2021,"4.97","5.30","4.84","5.21","104,821"
05/18/2021,"4.82","5.20","4.65","5.07","139,857"
05/17/2021,"4.94","4.94","4.71","4.92","15,075"
05/14/2021,"4.80","5.10","4.65","4.65","59,689"
05/13/2021,"4.94","5.15","4.68","4.80","33,725"
05/12/2021,"4.60","5.08","4.60","4.89","43,461"
05/11/2021,"4.79","4.88","4.67","4.75","28,368"
05/10/2021,"5.03","5.13","4.68","4.80","46,319"
05/07/2021,"4.55","5.21","4.55","4.98","136,663"
05/06/2021,"4.70","4.88","4.57","4.57","28,781"
05/05/2021,"4.83","4.90","4.70","4.72","52,742"
05/04/2021,"4.90","4.97","4.70","4.70","66,238"
05/03/2021,"5.27","5.29","4.92","4.92","76,828"
04/30/2021,"5.22","5.39","5.20","5.27","60,332"
04/29/2021,"5.88","5.88","5.21","5.21","88,344"
04/28/2021,"5.78","5.89","5.70","5.79","52,476"
04/27/2021,"5.84","5.90","5.71","5.71","28,667"
04/26/2021,"6.14","6.14","5.81","5.90","59,943"
04/23/2021,"6.05","6.25","5.82","6.13","64,063"
04/22/2021,"6.11","6.31","5.70","5.90","73,797"
04/21/2021,"6.28","6.51","6.08","6.24","47,280"
04/20/2021,"6.67","6.69","6.07","6.15","31,580"
04/19/2021,"6.82","7.00","6.38","6.82","49,620"
04/16/2021,"6.36","6.80","6.16","6.80","38,443"
04/15/2021,"6.66","6.78","6.31","6.75","53,714"
04/14/2021,"6.60","7.10","6.30","6.49","124,216"
04/13/2021,"6.81","6.92","6.60","6.66","86,523"
04/12/2021,"6.82","6.87","6.72","6.80","95,118"
04/09/2021,"6.99","7.13","6.80","6.93","10,988"
04/08/2021,"6.97","7.10","6.72","7.09","30,504"
04/07/2021,"6.70","7.03","6.70","6.90","28,276"
04/06/2021,"6.82","6.92","6.52","6.65","39,577"
04/05/2021,"7.17","7.17","6.78","6.94","26,610"
04/01/2021,"7.00","7.27","6.81","7.03","37,717"
03/31/2021,"6.70","6.97","6.70","6.85","80,317"
03/30/2021,"6.52","7.01","6.52","6.67","57,225"
03/29/2021,"6.40","6.99","6.40","6.70","67,423"
03/26/2021,"6.99","7.32","6.28","6.32","78,333"
03/25/2021,"6.59","6.99","6.35","6.77","242,999"
03/24/2021,"9.29","9.34","7.52","7.62","273,789"
03/23/2021,"9.38","11.37","8.41","8.98","1,527,864"
03/22/2021,"7.55","10.17","7.20","8.55","2,372,590"
03/19/2021,"7.65","7.95","7.50","7.65","56,763"
03/18/2021,"8.77","10.44","7.42","8.00","868,613"
03/17/2021,"7.09","10.70","6.68","9.29","1,524,569"
03/16/2021,"6.90","7.18","6.60","7.00","75,669"
03/15/2021,"6.98","6.98","6.73","6.81","11,913"
03/12/2021,"6.64","6.85","6.60","6.81","6,814"
03/11/2021,"6.98","6.98","6.70","6.70","5,925"
03/10/2021,"6.66","6.90","6.66","6.70","12,087"
03/09/2021,"6.05","6.53","5.97","6.49","34,456"
03/08/2021,"5.99","6.19","5.99","6.01","12,325"
03/05/2021,"6.60","6.70","5.69","5.91","36,366"
03/04/2021,"6.94","6.94","5.57","5.65","30,015"
03/03/2021,"7.12","7.12","6.88","6.90","8,631"
03/02/2021,"7.05","7.07","6.96","7.02","5,991"
03/01/2021,"6.95","7.08","6.94","7.07","15,074"
02/26/2021,"7.24","7.24","6.89","6.95","44,345"
02/25/2021,"7.70","7.70","7.19","7.25","45,262"
02/24/2021,"7.81","7.97","7.80","7.81","10,633"
02/23/2021,"8.35","8.35","7.68","7.81","59,522"
02/22/2021,"8.80","8.87","8.59","8.63","36,526"
02/19/2021,"8.70","8.72","8.50","8.57","28,100"
02/18/2021,"8.68","8.73","8.59","8.67","24,628"
02/17/2021,"8.93","8.94","8.69","8.73","34,269"
02/16/2021,"9.13","9.13","8.81","8.94","42,430"
02/12/2021,"8.63","9.08","8.60","9.07","35,155"
02/11/2021,"8.84","8.88","8.58","8.70","58,553"
02/10/2021,"8.99","9.09","8.80","8.92","49,156"
02/09/2021,"8.98","9.02","8.95","8.98","33,784"
02/08/2021,"9.05","9.12","8.91","8.95","130,854"
02/05/2021,"9.20","9.39","8.99","9.16","30,802"
02/04/2021,"9.38","9.43","9.07","9.07","46,497"
02/03/2021,"9.92","9.92","9.38","9.41","26,751"
02/02/2021,"9.34","9.80","9.11","9.80","84,080"
02/01/2021,"9.10","9.49","8.93","8.93","121,561"
01/29/2021,"9.19","9.72","9.13","9.36","47,425"
01/28/2021,"9.00","9.35","9.00","9.35","54,756"
01/27/2021,"8.88","9.08","8.48","9.08","157,186"
01/26/2021,"9.00","9.17","9.00","9.02","95,719"
01/25/2021,"9.35","9.39","8.90","9.13","116,756"
01/22/2021,"9.04","9.50","9.04","9.43","87,552"
01/21/2021,"9.36","9.48","9.18","9.36","82,568"
01/20/2021,"9.71","9.71","9.32","9.50","203,330"
01/19/2021,"9.70","9.89","9.50","9.70","379,047"
01/15/2021,"9.00","10.50","8.88","10.10","996,460"
01/14/2021,"10.15","10.25","8.89","9.19","690,500"
01/13/2021,"11.11","11.72","10.13","10.15","772,994"
01/12/2021,"10.50","15.06","10.06","10.10","2,954,574"
