Date,Open,High,Low,Close,Volume
08/12/2021,"9.92","9.92","9.89","9.89","122,508"
08/11/2021,"9.88","9.90","9.88","9.89","18,182"
08/10/2021,"9.90","9.90","9.87","9.89","15,650"
08/09/2021,"9.85","9.89","9.85","9.88","103,551"
08/06/2021,"9.86","9.87","9.85","9.86","12,082"
08/05/2021,"9.87","9.87","9.85","9.85","11,923"
08/04/2021,"9.86","9.87","9.85","9.86","91,550"
08/03/2021,"9.85","9.87","9.85","9.86","11,549"
08/02/2021,"9.85","9.88","9.85","9.85","114,791"
07/30/2021,"9.88","9.88","9.85","9.87","808,119"
07/29/2021,"9.90","9.90","9.87","9.88","93,637"
07/28/2021,"9.90","9.91","9.87","9.88","769,240"
07/27/2021,"9.94","9.94","9.88","9.88","505,505"
07/26/2021,"9.93","9.93","9.86","9.92","285,688"
07/23/2021,"9.92","9.95","9.92","9.95","9,925"
07/22/2021,"9.90","9.95","9.90","9.92","18,191"
07/21/2021,"9.87","9.93","9.86","9.93","36,394"
07/20/2021,"9.88","9.88","9.86","9.87","954,435"
07/19/2021,"9.87","9.89","9.87","9.88","122,355"
07/16/2021,"9.88","9.90","9.87","9.89","63,594"
07/15/2021,"9.90","9.90","9.88","9.90","159,914"
07/14/2021,"9.92","9.95","9.89","9.91","16,823"
07/13/2021,"9.95","9.95","9.90","9.92","19,611"
07/12/2021,"9.97","9.97","9.90","9.94","215,316"
07/09/2021,"9.94","9.97","9.90","9.94","130,615"
07/08/2021,"9.90","9.95","9.87","9.93","2,774,083"
07/07/2021,"9.90","9.95","9.89","9.89","233,989"
07/06/2021,"9.92","9.93","9.88","9.90","379,019"
07/02/2021,"9.89","9.90","9.87","9.89","420,938"
07/01/2021,"9.90","9.90","9.87","9.88","156,888"
06/30/2021,"9.92","9.92","9.88","9.89","365,270"
06/29/2021,"9.90","9.91","9.88","9.90","748,916"
06/28/2021,"9.90","9.91","9.88","9.89","107,236"
06/25/2021,"9.92","9.92","9.88","9.89","231,347"
06/24/2021,"9.90","9.91","9.88","9.89","228,208"
06/23/2021,"9.90","9.92","9.88","9.88","112,140"
06/22/2021,"9.90","9.92","9.89","9.92","37,975"
06/21/2021,"9.94","9.94","9.87","9.90","125,873"
06/18/2021,"9.88","9.94","9.87","9.94","301,298"
06/17/2021,"9.90","9.91","9.88","9.89","121,853"
06/16/2021,"9.91","9.93","9.87","9.91","140,919"
06/15/2021,"9.90","9.90","9.87","9.90","153,262"
06/14/2021,"9.93","9.94","9.86","9.89","656,834"
06/11/2021,"9.91","9.94","9.89","9.89","2,003,110"
06/10/2021,"9.92","9.99","9.90","9.90","954,096"
06/09/2021,"10.25","10.27","9.89","9.91","6,634,363"
06/08/2021,"10.16","10.24","10.16","10.22","78,489"
06/07/2021,"10.22","10.22","10.19","10.20","88,408"
06/04/2021,"10.19","10.23","10.15","10.23","72,716"
06/03/2021,"10.20","10.20","10.14","10.19","17,255"
06/02/2021,"10.20","10.20","10.09","10.19","31,469"
06/01/2021,"10.12","10.20","10.11","10.20","79,006"
05/28/2021,"10.09","10.16","10.06","10.06","24,711"
05/27/2021,"10.09","10.10","10.05","10.08","65,826"
05/26/2021,"10.02","10.10","10.02","10.02","5,914"
05/25/2021,"10.05","10.05","10.01","10.01","4,539"
05/24/2021,"10.05","10.08","10.01","10.05","73,140"
05/21/2021,"10.11","10.11","10.02","10.02","5,757"
05/20/2021,"10.00","10.10","10.00","10.05","4,018"
05/19/2021,"10.04","10.08","10.01","10.03","31,086"
05/18/2021,"9.98","10.10","9.98","10.01","28,562"
05/17/2021,"10.01","10.05","9.99","10.00","164,508"
05/14/2021,"10.03","10.06","10.00","10.03","453,606"
05/13/2021,"10.05","10.10","10.00","10.05","31,726"
05/12/2021,"10.03","10.15","10.00","10.05","64,428"
05/11/2021,"10.04","10.14","10.04","10.10","270,845"
05/10/2021,"10.20","10.23","10.15","10.17","249,153"
05/07/2021,"10.25","10.25","10.16","10.20","276,023"
05/06/2021,"10.32","10.32","10.20","10.25","73,877"
05/05/2021,"10.36","10.37","10.26","10.30","24,183"
05/04/2021,"10.31","10.34","10.22","10.25","86,664"
05/03/2021,"10.39","10.45","10.31","10.31","43,820"
04/30/2021,"10.36","10.50","10.33","10.50","55,973"
04/29/2021,"10.42","10.54","10.30","10.43","513,129"
04/28/2021,"10.36","10.51","10.26","10.42","147,493"
04/27/2021,"10.48","10.48","10.35","10.35","12,694"
04/26/2021,"10.37","10.48","10.35","10.46","100,064"
04/23/2021,"10.36","10.40","10.34","10.36","9,250"
04/22/2021,"10.31","10.49","10.31","10.39","46,156"
04/21/2021,"10.36","10.46","10.30","10.37","80,344"
04/20/2021,"10.53","10.53","10.35","10.40","319,676"
04/19/2021,"10.50","10.55","10.35","10.52","69,414"
04/16/2021,"10.53","10.53","10.34","10.50","142,772"
04/15/2021,"10.52","10.59","10.31","10.50","367,445"
04/14/2021,"10.51","10.58","10.42","10.57","117,417"
04/13/2021,"10.50","10.55","10.40","10.55","280,332"
04/12/2021,"10.49","10.59","10.38","10.47","870,250"
04/09/2021,"10.35","10.45","10.30","10.45","334,393"
04/08/2021,"10.25","10.37","10.25","10.35","218,544"
04/07/2021,"10.30","10.32","10.24","10.27","96,854"
04/06/2021,"10.22","10.28","10.16","10.28","24,262"
04/05/2021,"10.20","10.30","10.17","10.28","100,480"
04/01/2021,"10.14","10.21","10.11","10.20","100,968"
03/31/2021,"10.07","10.13","10.03","10.10","154,027"
03/30/2021,"10.15","10.17","10.04","10.04","438,791"
03/29/2021,"10.13","10.20","10.11","10.17","219,204"
03/26/2021,"10.07","10.18","10.00","10.11","477,030"
03/25/2021,"9.95","10.10","9.95","10.04","738,743"
03/24/2021,"10.25","10.38","9.95","9.98","643,796"
03/23/2021,"10.40","10.45","10.15","10.23","611,925"
03/22/2021,"10.40","10.44","10.32","10.40","278,785"
03/19/2021,"10.28","10.41","10.23","10.30","512,773"
03/18/2021,"10.30","10.31","10.24","10.25","287,783"
03/17/2021,"10.39","10.39","10.24","10.26","546,620"
03/16/2021,"10.42","10.51","10.25","10.40","313,190"
03/15/2021,"10.56","10.69","10.31","10.40","552,759"
03/12/2021,"10.59","10.59","10.36","10.43","367,941"
03/11/2021,"10.42","10.69","10.25","10.45","530,929"
03/10/2021,"10.40","10.55","10.33","10.40","463,332"
03/09/2021,"10.60","10.69","10.30","10.33","884,163"
03/08/2021,"10.76","10.97","10.45","10.50","533,479"
03/05/2021,"10.45","10.70","10.33","10.70","1,163,783"
03/04/2021,"10.14","10.60","10.10","10.25","8,416,081"
