Date,Open,High,Low,Close,Volume
08/20/2021,"10.00","10.05","10.00","10.01","250,840"
08/19/2021,"10.06","10.11","10.01","10.03","191,765"
08/18/2021,"10.08","10.12","10.08","10.11","92,955"
08/17/2021,"10.16","10.17","10.06","10.12","219,994"
08/16/2021,"10.26","10.31","10.12","10.17","198,084"
08/13/2021,"10.20","10.28","10.15","10.20","419,087"
08/12/2021,"10.24","10.24","10.14","10.20","143,299"
08/11/2021,"10.19","10.25","10.16","10.21","102,311"
08/10/2021,"10.39","10.39","10.11","10.14","299,511"
08/09/2021,"10.48","10.59","10.16","10.20","293,452"
08/06/2021,"10.22","10.27","10.09","10.16","320,865"
08/05/2021,"10.30","10.35","10.20","10.24","257,609"
08/04/2021,"10.30","10.40","10.26","10.29","191,147"
08/03/2021,"10.56","10.56","10.27","10.30","397,400"
08/02/2021,"10.60","10.60","10.45","10.50","326,359"
07/30/2021,"10.58","10.61","10.52","10.56","904,921"
07/29/2021,"10.63","10.63","10.50","10.59","504,368"
07/28/2021,"10.55","10.63","10.53","10.58","323,955"
07/27/2021,"10.55","10.59","10.50","10.53","828,914"
07/26/2021,"10.90","10.90","10.55","10.59","372,721"
07/23/2021,"10.60","10.80","10.52","10.78","1,726,555"
07/22/2021,"10.58","10.60","10.47","10.52","495,634"
07/21/2021,"10.60","10.65","10.51","10.53","240,428"
07/20/2021,"10.55","10.65","10.31","10.53","880,204"
07/19/2021,"10.65","10.69","10.35","10.47","1,131,067"
07/16/2021,"10.63","10.70","10.50","10.60","624,895"
07/15/2021,"10.58","10.62","10.49","10.53","1,364,118"
07/14/2021,"10.60","10.60","10.47","10.58","1,332,755"
07/13/2021,"10.64","10.65","10.50","10.52","984,807"
07/12/2021,"10.73","10.74","10.50","10.51","731,565"
07/09/2021,"10.82","10.82","10.41","10.65","2,861,836"
07/08/2021,"10.78","10.89","10.47","10.65","2,051,794"
07/07/2021,"11.15","11.15","10.58","10.89","4,308,685"
07/06/2021,"10.34","11.57","10.30","11.50","21,950,439"
07/02/2021,"9.91","9.91","9.89","9.91","7,446"
07/01/2021,"9.95","9.97","9.85","9.86","129,885"
06/30/2021,"9.92","9.94","9.91","9.94","1,613"
06/29/2021,"9.91","9.93","9.90","9.93","3,732"
06/28/2021,"10.04","10.04","9.92","9.92","13,281"
06/25/2021,"9.98","10.00","9.92","9.97","18,927"
06/24/2021,"10.00","10.02","9.95","10.00","173,409"
06/23/2021,"10.03","10.03","9.99","10.00","30,394"
06/22/2021,"9.99","10.03","9.96","10.03","96,724"
06/21/2021,"10.02","10.02","9.94","9.95","1,860"
06/18/2021,"9.95","10.00","9.91","10.00","15,192"
06/17/2021,"9.91","10.00","9.90","9.94","272,123"
06/16/2021,"9.92","9.95","9.90","9.93","6,274"
06/15/2021,"9.97","10.00","9.92","9.92","42,696"
06/14/2021,"9.99","10.03","9.95","9.98","41,151"
06/11/2021,"9.99","9.99","9.96","9.96","14,769"
06/10/2021,"10.01","10.02","9.97","9.97","757,060"
06/09/2021,"10.10","10.12","9.98","9.98","44,732"
06/08/2021,"10.05","10.10","10.05","10.06","16,202"
06/07/2021,"10.15","10.15","10.04","10.05","301,792"
06/04/2021,"10.14","10.21","10.10","10.13","365,784"
06/03/2021,"10.12","10.21","10.10","10.14","22,704"
06/02/2021,"10.13","10.15","10.05","10.10","42,004"
06/01/2021,"10.10","10.20","10.04","10.13","347,202"
05/28/2021,"10.29","10.29","10.05","10.06","92,628"
