Date,Open,High,Low,Close,Volume
08/12/2021,"9.77","9.83","9.77","9.79","36,502"
08/11/2021,"9.77","9.85","9.77","9.80","40,786"
08/10/2021,"9.76","9.86","9.76","9.80","9,925"
08/09/2021,"9.86","9.86","9.77","9.81","27,715"
08/06/2021,"9.78","9.86","9.76","9.86","21,745"
08/05/2021,"9.85","9.86","9.74","9.80","75,284"
08/04/2021,"9.82","9.86","9.78","9.83","28,758"
08/03/2021,"9.88","9.89","9.84","9.85","11,803"
08/02/2021,"9.89","9.90","9.87","9.89","29,946"
07/30/2021,"9.89","9.92","9.83","9.92","54,091"
07/29/2021,"9.87","9.91","9.81","9.84","49,252"
07/28/2021,"9.92","9.92","9.84","9.87","20,241"
07/27/2021,"9.82","9.91","9.82","9.91","40,968"
07/26/2021,"9.95","9.95","9.82","9.85","105,396"
07/23/2021,"9.95","9.99","9.93","9.95","43,151"
07/22/2021,"9.94","9.95","9.90","9.94","6,858"
07/21/2021,"9.96","9.97","9.90","9.94","16,731"
07/20/2021,"10.07","10.07","9.94","9.94","23,201"
07/19/2021,"9.96","9.98","9.92","9.97","245,730"
07/16/2021,"9.96","10.00","9.93","9.97","7,719"
07/15/2021,"9.98","10.00","9.98","10.00","259,719"
07/14/2021,"9.96","10.00","9.91","9.99","24,505"
07/13/2021,"10.04","10.05","9.96","9.97","19,215"
07/12/2021,"10.02","10.09","10.00","10.08","1,104,440"
07/09/2021,"10.02","10.03","9.99","10.03","128,475"
07/08/2021,"9.98","10.03","9.95","10.01","500,591"
07/07/2021,"10.00","10.00","9.97","10.00","92,240"
07/06/2021,"9.88","10.00","9.87","10.00","177,581"
07/02/2021,"9.87","9.87","9.80","9.83","42,244"
07/01/2021,"9.85","9.87","9.79","9.85","115,404"
06/30/2021,"9.87","9.89","9.87","9.87","4,332"
06/29/2021,"9.90","9.93","9.87","9.90","22,103"
06/28/2021,"9.91","9.96","9.87","9.87","85,307"
06/25/2021,"9.94","9.96","9.90","9.95","26,315"
06/24/2021,"9.94","9.97","9.93","9.95","29,418"
06/23/2021,"9.95","9.96","9.92","9.92","1,763"
06/22/2021,"9.94","10.00","9.94","10.00","32,095"
06/21/2021,"9.96","9.96","9.92","9.96","14,844"
06/18/2021,"9.92","9.95","9.91","9.95","5,680"
06/17/2021,"9.91","9.92","9.90","9.91","7,190"
06/16/2021,"9.92","9.94","9.91","9.91","2,104"
06/15/2021,"9.94","9.97","9.91","9.92","30,651"
06/14/2021,"9.98","10.00","9.92","9.92","761,776"
