Date,Open,High,Low,Close,Volume
08/20/2021,"51.48","54.00","51.43","53.68","231,576"
08/19/2021,"49.38","52.60","49.08","52.01","276,232"
08/18/2021,"51.81","52.19","49.16","49.81","204,988"
08/17/2021,"50.00","52.29","48.34","52.15","469,219"
08/16/2021,"53.79","53.79","50.04","50.90","234,537"
08/13/2021,"54.81","54.81","52.01","53.94","301,978"
08/12/2021,"56.91","57.83","54.86","54.97","258,594"
08/11/2021,"62.88","62.88","55.42","56.71","596,470"
08/10/2021,"60.94","63.43","59.80","62.98","241,888"
08/09/2021,"59.06","61.79","58.20","60.24","251,093"
08/06/2021,"62.64","62.64","57.27","59.51","382,823"
08/05/2021,"61.04","62.43","60.03","62.27","357,228"
08/04/2021,"60.00","61.00","59.24","60.85","268,175"
08/03/2021,"60.78","60.78","58.75","60.00","294,667"
08/02/2021,"60.86","62.30","58.82","59.61","555,019"
07/30/2021,"57.39","60.41","57.26","60.18","240,709"
07/29/2021,"59.72","60.31","56.68","57.40","247,512"
07/28/2021,"58.70","60.85","58.10","59.57","296,592"
07/27/2021,"58.78","59.56","54.69","58.14","359,845"
07/26/2021,"58.16","60.70","57.91","59.04","404,632"
07/23/2021,"57.72","58.32","55.58","58.15","246,430"
07/22/2021,"57.04","58.28","55.90","57.38","295,626"
07/21/2021,"55.10","57.37","50.88","57.20","241,188"
07/20/2021,"55.01","55.68","53.10","55.30","358,332"
07/19/2021,"49.60","54.92","49.60","54.87","400,083"
07/16/2021,"48.50","50.46","46.75","50.21","1,209,628"
07/15/2021,"47.27","48.61","46.24","48.12","259,560"
07/14/2021,"49.04","49.18","46.70","47.80","336,860"
07/13/2021,"49.54","50.54","48.23","48.74","287,807"
07/12/2021,"52.68","52.68","48.50","49.74","352,886"
07/09/2021,"49.78","52.92","49.04","52.77","342,614"
07/08/2021,"50.63","51.78","48.39","49.66","601,198"
07/07/2021,"56.42","56.51","52.14","52.28","598,834"
07/06/2021,"57.70","58.15","52.73","54.35","946,834"
07/02/2021,"56.10","57.32","54.40","56.43","1,251,228"
07/01/2021,"50.85","57.36","50.85","56.07","2,899,519"
06/30/2021,"43.37","49.12","42.34","48.50","639,052"
06/29/2021,"45.62","47.98","42.42","42.64","898,963"
06/28/2021,"45.70","47.28","45.05","47.18","678,887"
06/25/2021,"44.35","45.41","42.50","44.38","2,866,731"
