Date,Open,High,Low,Close,Volume
08/30/2021,"14.06","14.39","13.90","14.03","22,286"
08/27/2021,"13.99","14.33","13.99","14.18","13,895"
08/26/2021,"13.77","14.67","13.77","13.84","45,632"
08/25/2021,"13.45","14.44","13.45","13.87","38,344"
08/24/2021,"13.49","13.49","13.36","13.48","36,948"
08/23/2021,"13.28","13.74","12.88","13.57","40,705"
08/20/2021,"13.66","13.86","13.30","13.71","23,629"
08/19/2021,"13.32","13.81","13.26","13.79","26,503"
08/18/2021,"13.09","13.90","13.09","13.41","58,360"
08/17/2021,"13.00","13.42","12.31","13.15","19,084"
08/16/2021,"13.25","13.40","13.02","13.25","12,896"
08/13/2021,"13.42","13.50","13.20","13.47","10,946"
08/12/2021,"13.27","13.44","12.59","13.44","12,151"
08/11/2021,"12.93","13.37","12.66","13.36","18,954"
08/10/2021,"13.22","13.22","12.90","12.98","31,199"
08/09/2021,"13.08","13.45","12.99","13.31","37,369"
08/06/2021,"13.39","13.46","12.52","13.08","23,519"
08/05/2021,"12.32","13.60","12.19","13.47","119,985"
08/04/2021,"11.43","12.70","11.26","12.37","179,173"
08/03/2021,"11.47","11.69","10.94","11.46","84,065"
08/02/2021,"11.15","11.70","10.82","11.35","44,358"
07/30/2021,"11.75","11.89","10.72","10.98","51,656"
07/29/2021,"11.06","11.64","11.05","11.28","65,784"
07/28/2021,"10.96","11.84","10.74","11.56","100,335"
07/27/2021,"10.83","11.28","10.78","10.90","44,915"
07/26/2021,"10.59","11.01","10.42","10.80","38,095"
07/23/2021,"10.87","11.10","10.52","11.04","35,401"
07/22/2021,"10.83","11.28","10.45","10.90","26,466"
07/21/2021,"11.06","11.20","10.63","10.99","34,937"
07/20/2021,"11.06","11.30","10.86","11.10","37,887"
07/19/2021,"9.75","11.37","9.60","11.15","103,995"
07/16/2021,"9.99","10.30","9.80","9.95","18,897"
07/15/2021,"9.82","10.13","9.50","9.77","30,143"
07/14/2021,"10.28","10.28","9.80","9.96","25,396"
07/13/2021,"10.49","10.73","10.10","10.15","39,320"
07/12/2021,"10.78","10.90","10.41","10.49","22,056"
07/09/2021,"11.03","11.20","10.73","10.99","9,179"
07/08/2021,"10.55","10.99","10.35","10.95","13,892"
07/07/2021,"11.17","11.19","10.68","10.76","26,171"
07/06/2021,"11.11","11.39","10.99","11.19","14,823"
07/02/2021,"11.55","11.55","11.10","11.12","22,473"
07/01/2021,"11.55","11.62","11.35","11.58","10,588"
06/30/2021,"11.64","11.90","11.34","11.55","18,547"
06/29/2021,"11.67","11.68","11.34","11.68","20,877"
06/28/2021,"11.87","12.01","10.93","11.53","58,642"
06/25/2021,"10.93","12.22","10.93","12.00","167,987"
06/24/2021,"11.29","11.29","10.90","11.00","60,600"
06/23/2021,"11.18","11.57","10.92","11.17","50,759"
06/22/2021,"11.62","11.62","10.84","11.27","76,339"
06/21/2021,"11.64","12.01","11.54","11.69","64,725"
06/18/2021,"11.95","12.31","11.75","11.88","66,239"
06/17/2021,"11.90","12.21","11.82","12.04","50,428"
06/16/2021,"11.83","12.37","11.68","12.00","56,458"
06/15/2021,"12.37","12.37","11.76","12.00","39,732"
06/14/2021,"12.08","12.83","11.63","12.35","61,141"
06/11/2021,"12.13","12.42","11.79","12.09","27,632"
06/10/2021,"12.21","12.32","11.61","12.16","12,052"
06/09/2021,"12.46","12.73","12.01","12.02","31,292"
06/08/2021,"12.32","12.45","12.06","12.37","19,721"
06/07/2021,"11.90","12.60","11.78","12.20","67,039"
06/04/2021,"11.80","11.94","11.28","11.78","32,931"
06/03/2021,"11.23","11.95","10.87","11.63","57,184"
06/02/2021,"10.68","11.46","10.68","11.32","66,645"
06/01/2021,"11.00","11.24","10.58","11.09","34,543"
05/28/2021,"10.52","11.23","10.52","10.98","39,035"
05/27/2021,"10.77","10.84","10.35","10.48","30,771"
05/26/2021,"10.57","10.75","10.06","10.59","49,443"
05/25/2021,"10.76","11.08","10.31","10.42","40,549"
05/24/2021,"11.84","11.84","10.59","10.62","59,892"
05/21/2021,"12.62","12.63","11.58","12.06","50,546"
05/20/2021,"12.16","12.55","11.63","12.53","69,153"
05/19/2021,"11.62","12.23","11.13","12.16","47,090"
05/18/2021,"11.74","12.43","11.64","11.82","58,570"
05/17/2021,"11.40","11.75","11.15","11.67","29,955"
05/14/2021,"10.41","12.19","10.08","11.65","220,057"
05/13/2021,"10.20","10.43","10.11","10.20","30,783"
05/12/2021,"10.42","10.53","10.08","10.11","27,333"
05/11/2021,"10.20","10.72","10.02","10.58","41,530"
05/10/2021,"10.90","10.90","10.28","10.57","82,260"
05/07/2021,"10.98","10.98","10.35","10.46","31,862"
05/06/2021,"10.78","11.07","10.39","10.83","67,487"
05/05/2021,"10.50","10.82","10.50","10.67","20,168"
05/04/2021,"10.85","10.87","10.36","10.60","49,213"
05/03/2021,"11.22","11.26","10.68","11.01","29,716"
04/30/2021,"11.44","11.53","10.75","11.02","47,211"
04/29/2021,"11.76","11.88","11.11","11.45","28,074"
04/28/2021,"12.07","12.13","11.60","11.76","59,026"
04/27/2021,"11.90","12.06","11.40","11.78","146,038"
04/26/2021,"10.06","11.87","10.06","11.83","157,017"
04/23/2021,"10.48","10.48","10.10","10.18","25,671"
04/22/2021,"10.93","11.12","10.21","10.40","52,000"
04/21/2021,"10.10","11.21","10.10","10.91","15,520"
04/20/2021,"10.87","10.87","10.05","10.06","20,745"
04/19/2021,"11.50","11.50","10.45","10.85","47,388"
