Date,Open,High,Low,Close,Volume
08/20/2021,"54.26","55.44","53.52","53.87","172,713"
08/19/2021,"50.34","54.88","50.03","54.16","141,965"
08/18/2021,"50.06","52.91","49.96","50.54","112,038"
08/17/2021,"55.53","56.78","49.02","50.33","128,829"
08/16/2021,"52.38","58.29","52.38","56.32","231,931"
08/13/2021,"48.70","52.31","48.70","51.99","131,988"
08/12/2021,"47.60","50.70","46.76","48.55","255,991"
08/11/2021,"46.87","48.30","46.50","47.86","220,279"
08/10/2021,"45.50","48.41","45.26","46.95","193,099"
08/09/2021,"42.01","47.43","41.90","45.87","459,645"
08/06/2021,"45.96","47.13","40.51","41.57","318,053"
08/05/2021,"43.21","47.09","43.01","45.75","289,553"
08/04/2021,"42.78","43.42","41.86","43.22","153,819"
08/03/2021,"42.30","43.32","41.57","43.16","263,095"
08/02/2021,"41.44","42.21","41.32","42.18","70,665"
07/30/2021,"42.10","43.25","41.00","41.33","231,426"
07/29/2021,"40.50","43.09","40.22","42.69","120,035"
07/28/2021,"41.34","41.49","39.55","40.50","257,983"
07/27/2021,"41.00","41.59","39.99","40.87","583,647"
07/26/2021,"44.50","44.50","40.30","41.26","353,874"
07/23/2021,"43.33","45.18","42.88","44.81","454,531"
07/22/2021,"40.50","44.78","39.95","43.33","675,264"
07/21/2021,"45.26","45.55","40.15","41.00","4,937,560"
