Date,Open,High,Low,Close,Volume
08/30/2021,"8.36","8.39","8.12","8.30","184,662"
08/27/2021,"8.31","8.50","8.22","8.34","266,183"
08/26/2021,"8.37","8.39","8.21","8.33","163,604"
08/25/2021,"8.50","8.50","8.29","8.32","175,631"
08/24/2021,"8.48","8.73","8.42","8.48","283,235"
08/23/2021,"8.15","8.72","8.15","8.48","286,342"
08/20/2021,"8.28","8.35","8.10","8.19","253,290"
08/19/2021,"8.29","8.42","7.95","8.34","283,360"
08/18/2021,"8.10","8.40","7.90","8.36","440,225"
08/17/2021,"8.34","8.34","8.01","8.07","394,747"
08/16/2021,"8.84","8.86","8.37","8.43","445,590"
08/13/2021,"9.23","9.35","8.80","8.95","576,504"
08/12/2021,"9.75","9.86","9.03","9.21","664,672"
08/11/2021,"9.86","10.36","9.62","10.21","266,435"
08/10/2021,"10.03","10.18","9.67","9.96","179,773"
08/09/2021,"9.51","10.10","9.36","9.87","315,934"
08/06/2021,"9.31","9.55","9.23","9.45","200,016"
08/05/2021,"9.33","9.56","9.11","9.31","282,804"
08/04/2021,"9.50","9.69","9.00","9.34","441,795"
08/03/2021,"9.65","9.82","8.62","9.59","1,521,470"
08/02/2021,"10.44","10.81","10.37","10.59","223,551"
07/30/2021,"10.70","10.82","10.30","10.37","238,148"
07/29/2021,"10.90","10.96","10.61","10.67","256,877"
07/28/2021,"10.69","11.04","10.69","10.90","157,614"
07/27/2021,"11.02","11.02","10.45","10.70","190,180"
07/26/2021,"11.14","11.39","10.94","11.00","110,169"
07/23/2021,"11.17","11.29","10.96","11.12","292,851"
07/22/2021,"11.47","11.47","11.13","11.22","170,508"
07/21/2021,"11.42","11.70","11.30","11.47","446,077"
07/20/2021,"11.73","11.77","11.60","11.64","89,289"
07/19/2021,"11.51","11.76","11.35","11.61","130,060"
07/16/2021,"11.97","12.21","11.68","11.75","124,346"
07/15/2021,"12.15","12.15","11.81","12.07","163,883"
07/14/2021,"12.18","12.30","12.00","12.10","194,008"
07/13/2021,"12.47","12.56","11.97","12.07","241,562"
07/12/2021,"12.82","12.82","12.29","12.45","230,107"
07/09/2021,"12.78","12.90","12.51","12.82","150,751"
07/08/2021,"12.32","12.85","12.20","12.78","177,893"
07/07/2021,"12.32","12.72","12.25","12.66","164,980"
07/06/2021,"12.40","12.43","12.12","12.34","288,055"
07/02/2021,"12.81","12.81","12.31","12.32","327,606"
07/01/2021,"13.03","13.03","12.55","12.69","194,339"
06/30/2021,"13.00","13.10","12.79","12.85","250,873"
06/29/2021,"12.98","13.10","12.86","12.97","139,920"
06/28/2021,"13.15","13.20","12.96","12.97","122,953"
