Date,Open,High,Low,Close,Volume
08/12/2021,"24.85","25.06","24.18","24.33","736,590"
08/11/2021,"24.47","25.22","24.26","24.91","687,695"
08/10/2021,"25.18","25.22","24.48","24.53","1,521,283"
08/09/2021,"23.42","25.09","23.39","25.05","2,115,093"
08/06/2021,"23.36","23.87","22.91","23.50","2,570,327"
08/05/2021,"24.08","24.17","22.34","22.65","4,682,004"
08/04/2021,"24.24","24.37","23.87","24.35","1,257,890"
08/03/2021,"24.36","24.78","24.18","24.28","1,037,319"
08/02/2021,"24.40","24.83","24.14","24.33","782,726"
07/30/2021,"24.35","24.69","24.00","24.35","2,507,490"
07/29/2021,"24.90","25.23","24.52","24.58","995,735"
07/28/2021,"24.92","25.07","24.54","24.74","636,398"
07/27/2021,"25.19","25.19","24.19","24.73","941,527"
07/26/2021,"24.78","25.41","24.57","25.39","761,234"
07/23/2021,"25.06","25.14","24.18","24.65","999,799"
07/22/2021,"25.84","25.87","24.73","24.98","1,242,506"
07/21/2021,"25.69","26.21","25.14","25.85","1,566,696"
07/20/2021,"24.51","25.42","24.24","25.33","1,367,712"
07/19/2021,"24.50","24.55","23.84","24.54","1,652,792"
07/16/2021,"25.61","25.83","24.79","24.80","1,193,787"
07/15/2021,"25.22","25.45","24.79","25.13","1,014,525"
07/14/2021,"25.53","25.65","25.11","25.23","524,975"
07/13/2021,"26.25","26.29","25.32","25.43","665,875"
07/12/2021,"26.69","26.79","26.02","26.25","810,449"
07/09/2021,"25.63","27.18","25.63","26.90","1,773,973"
07/08/2021,"24.97","26.07","24.61","25.52","3,346,758"
07/07/2021,"25.86","26.17","25.08","25.23","2,062,129"
07/06/2021,"27.25","27.26","25.96","26.13","1,716,490"
07/02/2021,"27.66","27.67","27.04","27.26","1,936,035"
07/01/2021,"27.44","27.71","26.96","27.67","1,427,147"
06/30/2021,"27.29","27.76","27.12","27.49","1,209,414"
06/29/2021,"27.24","27.42","27.00","27.32","855,485"
06/28/2021,"27.66","27.66","26.89","27.10","1,711,777"
06/25/2021,"28.02","28.02","27.25","27.62","4,610,916"
06/24/2021,"27.39","28.37","27.20","27.66","3,209,206"
06/23/2021,"26.87","27.34","26.79","27.05","980,910"
06/22/2021,"25.90","27.08","25.81","26.89","2,432,319"
06/21/2021,"25.73","26.53","25.37","26.11","2,097,693"
06/18/2021,"25.01","25.70","24.92","25.57","3,118,457"
06/17/2021,"26.36","26.54","25.02","25.12","4,070,982"
06/16/2021,"27.50","28.05","26.10","26.41","5,310,696"
06/15/2021,"27.32","27.58","26.79","27.08","3,807,281"
06/14/2021,"27.04","27.57","26.66","27.26","3,448,517"
06/11/2021,"27.20","27.54","26.57","27.08","4,113,236"
06/10/2021,"26.91","28.57","26.78","27.17","16,211,330"
06/09/2021,"29.87","30.00","27.62","27.74","4,473,634"
06/08/2021,"29.49","30.05","28.80","30.02","3,127,680"
06/07/2021,"30.01","31.55","29.89","31.25","2,364,807"
06/04/2021,"30.50","30.60","29.24","29.76","1,388,116"
06/03/2021,"29.52","31.05","28.85","30.11","3,156,489"
06/02/2021,"29.01","29.64","28.22","29.26","1,455,976"
06/01/2021,"29.26","29.44","28.55","29.10","868,938"
05/28/2021,"28.97","29.79","28.96","29.16","721,845"
05/27/2021,"29.35","29.60","28.78","28.99","1,855,248"
05/26/2021,"29.20","29.93","28.68","29.51","950,031"
05/25/2021,"28.43","29.23","28.28","29.04","1,082,735"
05/24/2021,"28.34","28.82","28.05","28.33","602,900"
05/21/2021,"28.42","28.65","27.81","28.22","779,322"
05/20/2021,"26.98","28.41","26.98","28.20","1,319,702"
05/19/2021,"27.05","27.54","26.40","27.28","993,755"
05/18/2021,"26.94","27.77","26.94","27.46","712,347"
05/17/2021,"27.25","27.63","26.58","26.87","807,160"
05/14/2021,"27.07","27.80","26.85","27.43","861,469"
05/13/2021,"26.16","27.44","26.16","26.96","1,335,289"
05/12/2021,"26.74","26.80","25.41","26.11","1,490,506"
05/11/2021,"26.19","27.87","26.02","26.96","1,489,345"
05/10/2021,"28.08","29.67","27.63","27.69","2,763,370"
05/07/2021,"26.90","28.16","26.90","28.00","1,367,332"
05/06/2021,"29.22","29.22","25.58","27.25","3,997,690"
05/05/2021,"29.73","30.30","28.92","29.97","2,420,072"
05/04/2021,"29.49","29.61","28.47","29.02","1,021,974"
05/03/2021,"28.76","29.82","28.56","29.52","1,670,207"
04/30/2021,"29.38","29.70","28.33","28.42","916,789"
04/29/2021,"29.57","30.21","28.81","29.75","1,217,482"
04/28/2021,"29.75","29.81","28.72","29.18","1,722,711"
04/27/2021,"27.97","30.85","27.67","29.15","6,780,956"
04/26/2021,"27.33","28.34","27.19","27.98","715,261"
04/23/2021,"26.86","27.45","26.30","27.31","687,020"
04/22/2021,"26.55","27.89","26.22","26.84","2,435,322"
04/21/2021,"25.38","25.98","25.27","25.68","1,082,890"
04/20/2021,"26.01","26.60","25.23","25.46","1,022,729"
04/19/2021,"26.23","26.37","25.19","25.93","697,882"
04/16/2021,"26.06","27.19","25.72","26.37","1,325,789"
04/15/2021,"25.96","26.70","25.65","26.06","1,190,040"
04/14/2021,"25.73","26.30","25.51","26.08","684,584"
04/13/2021,"25.17","25.77","24.58","25.69","445,946"
04/12/2021,"24.96","25.77","23.74","25.11","1,189,919"
04/09/2021,"24.64","25.02","24.43","24.95","1,056,895"
04/08/2021,"24.69","25.12","24.47","24.78","404,745"
04/07/2021,"25.43","25.45","24.17","24.44","891,813"
04/06/2021,"25.60","26.38","25.05","25.56","1,788,254"
04/05/2021,"25.01","26.00","24.29","25.71","1,146,519"
04/01/2021,"24.69","25.62","24.24","24.87","1,647,500"
03/31/2021,"23.66","24.71","23.34","24.49","1,072,385"
03/30/2021,"21.42","23.69","21.32","23.58","1,121,904"
03/29/2021,"21.87","22.08","21.21","21.59","954,062"
03/26/2021,"22.67","23.09","20.88","21.87","1,476,487"
03/25/2021,"22.79","23.48","22.22","22.72","1,274,362"
03/24/2021,"23.49","23.85","22.94","22.97","1,464,512"
03/23/2021,"23.83","24.95","23.32","23.50","2,235,489"
03/22/2021,"23.79","23.95","23.00","23.78","1,721,280"
03/19/2021,"23.43","24.27","22.79","23.59","2,649,790"
03/18/2021,"22.64","23.40","22.49","22.91","1,819,004"
03/17/2021,"22.95","23.50","22.24","23.05","1,320,459"
03/16/2021,"23.73","23.99","22.76","22.93","1,114,780"
03/15/2021,"23.77","23.94","22.94","23.65","939,761"
03/12/2021,"23.89","24.12","23.10","23.73","1,648,274"
03/11/2021,"24.32","24.71","23.90","24.26","929,888"
03/10/2021,"23.64","24.25","23.25","24.11","718,776"
03/09/2021,"22.83","23.48","22.11","23.34","683,586"
03/08/2021,"21.95","22.55","21.69","21.96","1,193,164"
03/05/2021,"20.95","22.58","20.42","22.51","1,477,171"
03/04/2021,"22.30","22.49","20.83","20.93","2,202,912"
03/03/2021,"24.03","24.03","22.14","22.27","910,502"
03/02/2021,"24.21","24.53","23.78","24.00","769,969"
03/01/2021,"24.43","25.20","23.55","24.29","1,379,030"
02/26/2021,"23.28","24.57","22.46","24.28","2,464,415"
02/25/2021,"23.99","24.19","22.51","23.28","1,617,286"
02/24/2021,"23.85","24.44","23.45","23.89","997,446"
02/23/2021,"24.21","24.75","22.56","24.00","1,412,663"
02/22/2021,"24.95","26.03","24.27","24.54","3,036,210"
02/19/2021,"23.30","24.97","23.16","24.69","3,458,384"
02/18/2021,"23.86","24.00","22.78","23.05","3,065,843"
02/17/2021,"24.38","24.68","23.32","24.04","1,929,620"
02/16/2021,"26.72","26.95","24.20","24.47","4,316,536"
02/12/2021,"25.40","26.65","25.19","26.42","6,386,159"
02/11/2021,"26.00","26.18","24.50","25.92","12,470,640"
02/10/2021,"26.75","26.93","25.75","26.58","1,549,093"
02/09/2021,"26.60","27.40","25.49","26.96","1,331,161"
02/08/2021,"28.08","28.67","27.04","27.74","616,806"
02/05/2021,"29.24","30.30","27.95","28.05","769,734"
