Date,Open,High,Low,Close,Volume
08/12/2021,"15.50","15.88","10.71","11.71","16,474,200"
08/11/2021,"23.43","23.97","21.59","21.87","591,095"
08/10/2021,"24.35","24.49","22.90","23.30","566,309"
08/09/2021,"24.44","24.98","23.85","24.38","461,743"
08/06/2021,"23.85","24.81","23.32","24.38","288,956"
08/05/2021,"23.86","24.12","22.20","23.81","894,638"
08/04/2021,"24.00","24.47","23.74","23.93","269,047"
08/03/2021,"24.43","24.54","23.70","24.16","296,334"
08/02/2021,"23.79","24.59","23.53","24.25","174,184"
07/30/2021,"23.49","23.99","23.35","23.70","230,054"
07/29/2021,"23.22","23.73","23.09","23.46","327,362"
07/28/2021,"23.00","23.35","22.48","23.19","558,508"
07/27/2021,"21.49","22.98","21.49","22.23","785,618"
07/26/2021,"22.28","22.35","20.54","21.48","869,281"
07/23/2021,"23.19","23.23","21.89","22.47","484,725"
07/22/2021,"22.95","23.15","22.26","22.64","363,626"
07/21/2021,"24.17","24.25","22.73","22.99","336,798"
07/20/2021,"24.62","24.99","24.04","24.17","327,746"
07/19/2021,"25.68","25.95","24.21","24.43","408,247"
07/16/2021,"26.14","26.47","25.68","26.03","414,784"
07/15/2021,"26.03","26.50","25.52","25.98","519,062"
07/14/2021,"28.06","28.36","25.35","26.29","832,391"
07/13/2021,"28.24","28.75","27.66","28.01","966,195"
07/12/2021,"29.07","29.50","28.22","28.22","332,750"
07/09/2021,"27.66","29.07","27.53","28.90","381,010"
07/08/2021,"28.21","28.77","27.25","27.65","867,645"
07/07/2021,"28.07","29.81","27.79","28.95","502,039"
07/06/2021,"27.88","28.65","27.53","28.05","781,969"
07/02/2021,"27.23","28.30","27.06","27.60","348,933"
07/01/2021,"28.03","28.59","27.06","27.63","1,295,479"
06/30/2021,"28.90","29.42","27.22","27.86","741,547"
06/29/2021,"28.14","29.67","28.03","28.80","373,966"
06/28/2021,"28.22","28.50","27.61","28.25","538,360"
06/25/2021,"28.72","28.97","28.00","28.10","319,684"
06/24/2021,"27.99","28.64","27.53","28.33","458,620"
06/23/2021,"27.75","28.10","27.52","27.85","741,703"
06/22/2021,"26.53","27.41","25.95","27.04","626,936"
06/21/2021,"26.34","26.46","25.83","25.99","312,044"
06/18/2021,"26.50","26.70","25.52","26.21","541,663"
06/17/2021,"26.03","26.82","25.68","26.00","443,906"
06/16/2021,"25.50","27.40","24.60","26.00","4,869,040"
06/15/2021,"24.86","26.05","24.81","25.34","1,825,069"
06/14/2021,"24.00","25.44","23.46","24.57","2,479,723"
06/11/2021,"21.45","24.59","21.02","24.00","3,157,375"
06/10/2021,"20.00","22.75","19.55","21.90","16,417,080"
