Date,Open,High,Low,Close,Volume
08/20/2021,"3.8000","3.8652","3.5500","3.5700","137,877"
08/19/2021,"3.6000","3.9693","3.5422","3.8000","443,853"
08/18/2021,"3.6000","3.7300","3.5000","3.6300","190,655"
08/17/2021,"3.3800","3.7400","3.3800","3.5700","204,512"
08/16/2021,"3.8500","3.8500","3.3850","3.4800","264,192"
08/13/2021,"5.3820","5.3820","3.6000","3.9000","2,729,331"
08/12/2021,"5.7300","5.7648","5.3900","5.4100","49,348"
08/11/2021,"5.7800","5.8400","5.6001","5.8000","22,579"
08/10/2021,"5.8500","6.0560","5.6500","5.7000","39,518"
08/09/2021,"5.7400","6.0000","5.7400","5.9000","34,168"
08/06/2021,"5.9400","5.9400","5.7600","5.9000","20,042"
08/05/2021,"5.5950","6.0550","5.5600","5.8900","28,039"
08/04/2021,"5.7200","5.8399","5.5814","5.6900","43,904"
08/03/2021,"5.6900","5.8390","5.5100","5.7000","29,417"
08/02/2021,"5.8600","5.8600","5.5600","5.6100","34,048"
07/30/2021,"5.8000","5.9100","5.6600","5.7400","54,065"
07/29/2021,"6.1200","6.1499","5.7210","5.7800","46,358"
07/28/2021,"5.9200","6.2300","5.8500","6.1400","102,561"
07/27/2021,"6.1400","6.1400","5.7500","5.9200","87,616"
07/26/2021,"6.3900","6.5150","6.0500","6.1600","127,112"
07/23/2021,"6.5000","6.5400","6.1500","6.1900","121,508"
07/22/2021,"6.6600","6.7873","6.1250","6.2300","50,884"
07/21/2021,"6.0800","6.8600","6.0800","6.6100","342,312"
07/20/2021,"6.1300","6.5100","6.0300","6.0800","35,791"
07/19/2021,"6.0500","6.3400","6.0500","6.1600","23,889"
07/16/2021,"6.4900","6.7000","6.2000","6.2800","31,045"
07/15/2021,"6.6900","6.6900","6.1200","6.4100","65,401"
07/14/2021,"7.3400","7.3600","6.3500","6.4100","188,637"
07/13/2021,"7.2300","7.6400","7.1700","7.4000","40,237"
07/12/2021,"7.4700","7.5200","7.1700","7.2200","18,881"
07/09/2021,"7.2150","7.6900","7.2150","7.4700","82,845"
07/08/2021,"7.1200","7.3600","7.0001","7.1700","62,461"
07/07/2021,"7.5800","7.8400","7.0701","7.4900","87,517"
07/06/2021,"8.3900","8.3900","7.6100","7.6100","141,092"
07/02/2021,"8.2300","8.3999","8.1100","8.3000","173,574"
07/01/2021,"8.0500","8.3500","8.0500","8.2800","131,903"
06/30/2021,"8.0500","8.1799","7.8113","8.1300","161,031"
06/29/2021,"8.0800","8.0800","7.7000","8.0100","92,404"
06/28/2021,"7.9400","8.0900","7.6150","8.0300","163,544"
06/25/2021,"8.0700","8.0700","7.7500","7.8500","93,877"
06/24/2021,"7.6500","8.0573","7.5801","7.9600","402,142"
06/23/2021,"7.3500","7.5900","7.1732","7.5900","120,249"
06/22/2021,"7.3400","7.4200","7.0550","7.4200","71,188"
