Date,Open,High,Low,Close,Volume
08/11/2021,"9.79","9.79","9.79","9.79","150"
08/10/2021,"9.71","9.71","9.70","9.70","540"
08/09/2021,"9.78","9.80","9.78","9.80","2,402"
08/06/2021,"9.79","9.80","9.74","9.80","2,352"
08/05/2021,"9.85","9.85","9.85","9.85","40"
08/04/2021,"9.80","9.85","9.76","9.85","235,615"
08/03/2021,"9.75","9.75","9.75","9.75","33"
08/02/2021,"9.75","9.75","9.75","9.75","504"
07/29/2021,"9.71","9.71","9.71","9.71","119"
07/28/2021,"9.71","9.71","9.71","9.71","279"
07/27/2021,"9.79","9.79","9.79","9.79","19"
07/26/2021,"9.79","9.79","9.78","9.79","1,801"
07/23/2021,"9.79","9.79","9.79","9.79","561"
07/22/2021,"9.87","9.87","9.79","9.79","612"
07/21/2021,"9.79","9.79","9.71","9.78","875"
07/19/2021,"9.85","9.85","9.85","9.85","148"
07/16/2021,"9.80","9.85","9.80","9.85","4,123"
07/15/2021,"9.75","9.78","9.75","9.78","916"
07/14/2021,"9.78","9.78","9.78","9.78","127"
07/13/2021,"9.76","9.84","9.74","9.84","2,298"
07/12/2021,"9.78","9.78","9.72","9.72","1,006"
07/09/2021,"9.79","9.79","9.79","9.79","3,328"
07/08/2021,"9.75","9.78","9.74","9.75","100,791"
07/07/2021,"9.76","9.78","9.75","9.78","557,905"
07/06/2021,"9.83","9.85","9.74","9.75","15,832"
07/02/2021,"9.85","9.85","9.83","9.83","6,686"
07/01/2021,"9.85","9.85","9.85","9.85","17"
06/30/2021,"9.85","9.86","9.85","9.85","796"
06/29/2021,"9.86","9.90","9.79","9.90","6,968"
06/28/2021,"9.89","9.90","9.89","9.90","609"
06/23/2021,"9.90","9.90","9.90","9.90","14"
06/22/2021,"9.90","9.94","9.90","9.90","26,995"
06/21/2021,"9.90","9.90","9.90","9.90","4"
06/18/2021,"9.90","9.90","9.89","9.90","8,814"
06/17/2021,"9.89","9.89","9.89","9.89","283"
06/16/2021,"9.89","9.89","9.87","9.87","1,333"
06/15/2021,"9.85","9.89","9.85","9.89","3,964"
06/14/2021,"9.78","9.89","9.78","9.89","10,858"
06/11/2021,"9.90","9.90","9.88","9.88","10,520"
06/10/2021,"9.87","9.89","9.84","9.89","1,788"
06/09/2021,"9.87","9.87","9.87","9.87","194"
06/08/2021,"9.87","9.89","9.87","9.87","2,243"
06/07/2021,"9.90","9.90","9.90","9.90","1,419"
06/04/2021,"9.87","9.87","9.87","9.87","107"
06/03/2021,"9.89","9.90","9.89","9.89","2,685"
06/02/2021,"9.95","9.95","9.89","9.90","5,897"
06/01/2021,"9.90","9.90","9.89","9.90","1,136"
05/28/2021,"9.90","9.90","9.90","9.90","2,441"
05/27/2021,"9.90","9.90","9.90","9.90","773"
05/26/2021,"10.00","10.00","9.88","9.90","15,273"
05/21/2021,"9.90","9.90","9.90","9.90","1"
05/20/2021,"9.90","9.90","9.90","9.90","1,897"
05/19/2021,"9.90","9.90","9.90","9.90","55"
05/18/2021,"9.90","9.90","9.90","9.90","223"
05/17/2021,"9.90","9.90","9.87","9.87","6,942"
05/14/2021,"9.90","9.95","9.90","9.90","65,268"
05/13/2021,"9.91","10.00","9.89","9.90","39,347"
05/12/2021,"9.84","9.90","9.84","9.90","12,720"
05/11/2021,"9.94","9.95","9.85","9.85","8,568"
05/10/2021,"10.00","10.00","9.90","9.90","34,753"
05/07/2021,"9.95","10.00","9.90","9.99","26,126"
05/06/2021,"9.90","10.03","9.90","9.93","33,183"
05/05/2021,"9.90","9.90","9.86","9.86","2,397"
05/04/2021,"9.95","9.96","9.85","9.85","255,634"
05/03/2021,"9.95","10.00","9.95","9.98","101,387"
04/30/2021,"10.00","10.00","10.00","10.00","201"
04/29/2021,"10.00","10.00","9.99","10.00","12,249"
04/28/2021,"9.93","10.00","9.93","10.00","1,765"
04/27/2021,"9.88","10.03","9.88","9.98","12,742"
04/26/2021,"9.87","9.99","9.87","9.87","1,776"
04/22/2021,"10.00","10.00","10.00","10.00","163"
04/21/2021,"10.04","10.05","9.93","10.00","14,858"
04/20/2021,"9.97","10.02","9.93","9.93","104,313"
04/19/2021,"9.97","9.97","9.95","9.95","658"
04/16/2021,"9.96","9.97","9.95","9.95","8,283"
04/15/2021,"9.96","10.05","9.96","9.96","375"
04/14/2021,"9.96","10.00","9.96","9.96","3,035"
04/13/2021,"10.00","10.00","10.00","10.00","263"
04/12/2021,"10.03","10.03","9.90","10.00","15,924"
04/09/2021,"9.90","10.00","9.86","10.00","282,976"
04/08/2021,"9.95","10.05","9.95","10.05","65,939"
04/07/2021,"9.95","9.95","9.70","9.90","124,761"
04/06/2021,"9.91","10.03","9.88","9.97","71,758"
04/05/2021,"9.85","10.05","9.85","9.96","41,718"
04/01/2021,"9.90","9.90","9.80","9.90","75,537"
03/31/2021,"9.91","9.92","9.85","9.90","6,838"
03/30/2021,"9.87","10.08","9.85","9.91","41,135"
03/29/2021,"9.80","9.98","9.75","9.87","19,331"
03/26/2021,"9.90","9.97","9.90","9.94","3,264"
03/25/2021,"9.78","9.93","9.64","9.93","30,496"
03/24/2021,"9.90","9.93","9.90","9.92","97,133"
03/23/2021,"10.00","10.00","9.90","9.90","14,258"
03/22/2021,"9.95","9.98","9.93","9.93","5,875"
03/19/2021,"10.00","10.00","9.99","10.00","720"
03/18/2021,"10.02","10.02","9.93","9.97","2,143"
03/17/2021,"9.91","10.01","9.91","9.97","265,650"
03/16/2021,"10.01","10.01","9.95","9.95","427,387"
03/15/2021,"9.98","10.09","9.93","9.96","105,290"
03/12/2021,"10.11","10.11","9.96","10.00","155,546"
03/11/2021,"10.03","10.03","9.93","9.96","105,792"
03/10/2021,"10.10","10.10","10.00","10.01","57,642"
03/09/2021,"10.03","10.05","10.00","10.01","157,641"
03/08/2021,"10.05","10.15","10.00","10.00","1,469,020"
03/05/2021,"10.00","10.06","9.99","10.02","2,884,739"
