Date,Open,High,Low,Close,Volume
08/30/2021,"9.57","9.63","9.23","9.30","166,128"
08/27/2021,"9.55","9.83","9.54","9.57","201,232"
08/26/2021,"9.51","9.91","9.51","9.56","241,951"
08/25/2021,"10.16","10.25","9.19","9.60","393,234"
08/24/2021,"9.98","10.55","9.92","10.14","469,586"
08/23/2021,"9.85","10.65","9.85","9.99","660,333"
08/20/2021,"9.80","10.01","9.70","9.80","320,504"
08/19/2021,"9.48","9.92","9.15","9.78","314,103"
08/18/2021,"9.50","10.08","9.33","9.53","432,782"
08/17/2021,"9.56","9.72","8.62","9.43","555,765"
08/16/2021,"9.50","9.94","9.26","9.65","377,265"
08/13/2021,"8.50","9.88","8.28","9.62","1,061,346"
08/12/2021,"8.07","8.94","7.60","8.65","1,094,734"
08/11/2021,"8.29","8.39","7.20","8.03","971,990"
08/10/2021,"9.99","10.07","8.07","8.25","1,272,830"
08/09/2021,"9.85","10.08","9.54","9.91","470,919"
08/06/2021,"9.77","10.22","9.65","9.88","359,402"
08/05/2021,"10.41","10.49","9.53","10.05","578,522"
08/04/2021,"9.20","11.00","9.06","10.53","1,254,960"
08/03/2021,"10.70","10.79","9.22","9.43","912,922"
08/02/2021,"9.90","11.10","9.90","10.81","1,611,266"
07/30/2021,"9.13","9.83","8.56","9.81","757,498"
07/29/2021,"9.46","9.70","9.03","9.17","380,916"
07/28/2021,"8.85","9.55","8.30","9.48","861,803"
07/27/2021,"8.77","9.06","8.18","8.83","577,406"
07/26/2021,"8.07","9.28","8.05","8.89","1,379,194"
07/23/2021,"7.10","8.70","7.00","7.98","1,624,125"
07/22/2021,"7.50","7.50","6.96","7.17","377,372"
07/21/2021,"7.12","7.58","7.11","7.44","634,715"
07/20/2021,"7.34","7.35","6.66","7.08","655,464"
07/19/2021,"6.46","7.88","6.08","7.40","1,643,135"
07/16/2021,"6.41","6.83","6.19","6.69","610,632"
07/15/2021,"5.87","6.35","5.70","6.31","695,355"
07/14/2021,"6.43","6.65","6.05","6.05","763,273"
07/13/2021,"7.05","7.20","6.41","6.59","1,108,463"
07/12/2021,"8.65","8.94","7.00","7.28","2,082,344"
07/09/2021,"6.56","10.16","6.53","8.50","11,475,200"
07/08/2021,"6.24","6.58","6.11","6.58","213,967"
07/07/2021,"6.55","6.69","6.02","6.50","301,220"
07/06/2021,"6.69","6.69","6.10","6.65","377,546"
07/02/2021,"6.10","7.05","6.10","6.74","784,151"
07/01/2021,"6.47","6.56","5.95","6.26","537,597"
06/30/2021,"5.89","6.64","5.66","6.64","1,047,223"
06/29/2021,"5.82","5.90","5.50","5.89","342,857"
06/28/2021,"5.22","5.91","5.22","5.75","1,100,329"
06/25/2021,"5.03","5.25","5.00","5.25","1,517,741"
06/24/2021,"5.19","5.19","4.97","5.06","224,899"
06/23/2021,"5.09","5.10","4.96","5.04","314,878"
06/22/2021,"5.04","5.20","4.91","5.02","359,180"
06/21/2021,"4.85","5.09","4.75","5.03","447,373"
06/18/2021,"4.89","4.91","4.75","4.85","381,762"
06/17/2021,"5.10","5.10","4.76","4.81","485,397"
06/16/2021,"5.16","5.29","4.91","5.10","463,711"
06/15/2021,"5.80","5.80","5.13","5.18","427,687"
06/14/2021,"5.82","5.82","5.46","5.73","425,127"
06/11/2021,"5.80","5.88","5.41","5.63","693,982"
06/10/2021,"5.77","5.78","5.10","5.31","562,014"
06/09/2021,"6.07","6.24","5.57","5.64","658,767"
06/08/2021,"5.64","6.37","5.61","6.00","785,394"
06/07/2021,"5.32","5.69","5.16","5.59","390,004"
06/04/2021,"5.37","5.55","5.16","5.17","292,049"
06/03/2021,"4.88","5.61","4.85","5.39","764,100"
06/02/2021,"5.00","5.10","4.84","5.00","468,771"
06/01/2021,"4.92","5.14","4.66","5.08","725,781"
05/28/2021,"5.02","5.16","4.90","4.94","328,185"
05/27/2021,"4.92","5.10","4.84","5.02","406,281"
05/26/2021,"5.03","5.24","4.85","4.99","395,759"
05/25/2021,"5.13","5.15","4.92","4.98","364,251"
05/24/2021,"4.80","5.34","4.79","5.18","911,253"
05/21/2021,"5.03","5.07","4.69","4.70","538,145"
