Date,Open,High,Low,Close,Volume
08/20/2021,"17.64","19.35","17.38","18.17","74,252"
08/19/2021,"19.68","19.88","17.41","17.64","73,422"
08/18/2021,"21.34","21.67","19.42","19.62","55,646"
08/17/2021,"21.50","21.72","20.60","21.51","142,846"
08/16/2021,"21.15","21.78","20.40","21.72","87,627"
08/13/2021,"20.00","21.50","20.00","21.50","123,684"
08/12/2021,"22.19","22.68","18.50","19.93","502,183"
08/11/2021,"24.48","24.96","24.00","24.66","34,453"
08/10/2021,"24.99","25.14","24.30","24.46","16,150"
08/09/2021,"23.96","25.79","23.85","25.06","42,072"
08/06/2021,"24.02","24.39","23.34","23.91","22,187"
08/05/2021,"23.54","24.31","23.54","24.15","43,887"
08/04/2021,"24.65","25.16","22.63","23.81","97,150"
08/03/2021,"26.60","27.49","25.16","25.46","102,938"
08/02/2021,"27.92","28.57","26.53","26.67","45,061"
07/30/2021,"27.35","28.20","27.10","27.90","24,099"
07/29/2021,"28.21","28.48","27.59","27.77","18,444"
07/28/2021,"28.09","28.25","27.46","28.14","13,875"
07/27/2021,"27.78","28.37","26.72","28.35","36,475"
07/26/2021,"27.63","28.27","27.54","27.98","12,883"
07/23/2021,"28.13","29.06","27.77","27.98","22,537"
07/22/2021,"29.51","29.60","28.18","28.21","20,051"
07/21/2021,"28.94","29.73","28.81","29.35","15,969"
07/20/2021,"29.28","29.48","28.39","28.75","26,286"
07/19/2021,"27.93","29.38","27.56","29.36","41,373"
07/16/2021,"28.83","28.96","28.02","28.65","33,655"
07/15/2021,"28.06","29.00","27.51","28.67","32,920"
07/14/2021,"28.73","28.73","27.50","27.76","34,368"
07/13/2021,"29.12","30.13","28.40","28.72","41,373"
07/12/2021,"29.65","29.66","28.59","29.45","26,977"
07/09/2021,"29.85","29.85","28.45","29.60","20,803"
07/08/2021,"28.60","29.98","28.02","29.64","52,933"
07/07/2021,"30.36","30.36","29.01","29.07","55,440"
07/06/2021,"29.91","30.45","28.70","30.45","78,147"
07/02/2021,"29.42","29.87","28.76","29.49","29,135"
07/01/2021,"29.83","30.50","28.61","29.38","38,746"
06/30/2021,"29.01","30.42","28.81","29.87","43,212"
06/29/2021,"29.46","29.74","28.95","29.14","38,960"
06/28/2021,"28.81","29.98","28.67","29.68","53,748"
06/25/2021,"28.51","29.98","27.79","29.04","435,276"
06/24/2021,"28.19","29.27","27.84","28.21","87,313"
06/23/2021,"28.00","28.61","27.62","28.30","53,898"
06/22/2021,"28.83","29.21","27.65","28.20","72,818"
06/21/2021,"29.33","30.32","28.15","28.88","110,275"
06/18/2021,"27.50","29.57","27.50","29.57","83,085"
06/17/2021,"28.33","29.00","27.52","27.87","161,628"
06/16/2021,"30.01","31.16","27.21","27.25","275,846"
06/15/2021,"31.40","32.31","30.10","30.39","76,397"
06/14/2021,"32.00","32.63","31.29","31.32","79,628"
06/11/2021,"32.35","33.00","31.64","31.85","48,909"
06/10/2021,"32.30","32.55","31.13","31.78","41,129"
06/09/2021,"32.11","33.29","32.00","32.35","53,352"
06/08/2021,"32.40","33.50","31.40","31.67","100,582"
06/07/2021,"32.66","33.07","32.10","32.70","44,800"
06/04/2021,"32.98","33.19","31.81","32.48","33,848"
06/03/2021,"32.34","33.15","32.22","32.94","36,205"
06/02/2021,"32.23","33.05","32.06","32.41","56,849"
06/01/2021,"32.95","32.95","31.65","32.29","43,188"
05/28/2021,"33.00","33.23","32.20","32.68","48,615"
05/27/2021,"33.63","33.92","32.54","32.95","59,185"
05/26/2021,"33.21","33.99","32.96","33.46","63,702"
05/25/2021,"33.60","33.76","32.74","33.36","49,025"
05/24/2021,"32.98","33.77","32.98","33.40","50,188"
05/21/2021,"33.35","34.00","32.11","33.19","38,740"
05/20/2021,"31.79","33.08","31.65","32.98","34,668"
05/19/2021,"32.58","33.43","31.18","31.66","44,118"
05/18/2021,"31.81","34.00","31.81","32.94","90,186"
05/17/2021,"31.75","33.70","31.38","32.18","85,870"
05/14/2021,"33.60","33.60","30.50","31.76","119,565"
05/13/2021,"34.14","35.50","33.97","34.06","62,563"
05/12/2021,"35.17","35.79","33.50","34.16","61,663"
05/11/2021,"34.49","36.55","34.08","35.79","103,545"
05/10/2021,"34.95","36.96","34.51","34.95","74,708"
05/07/2021,"34.81","36.25","34.80","35.45","39,149"
05/06/2021,"35.98","36.38","35.29","35.54","54,054"
05/05/2021,"37.38","37.58","35.54","35.63","39,196"
05/04/2021,"37.25","37.96","36.51","37.50","31,410"
05/03/2021,"37.06","37.75","36.59","36.94","19,446"
