Date,Open,High,Low,Close,Volume
08/30/2021,"8.61","8.92","8.43","8.85","17,196,900"
08/27/2021,"8.63","8.83","8.50","8.76","3,055,018"
08/26/2021,"8.78","8.88","8.59","8.73","3,282,981"
08/25/2021,"8.75","9.11","8.64","8.96","6,115,818"
08/24/2021,"8.51","9.08","8.34","9.02","9,546,179"
08/23/2021,"8.50","8.69","7.94","8.29","10,250,090"
08/20/2021,"8.98","8.98","8.29","8.46","9,179,783"
08/19/2021,"8.60","8.83","8.46","8.63","10,244,960"
08/18/2021,"8.50","8.88","8.46","8.80","8,810,839"
08/17/2021,"7.80","8.55","7.69","8.51","6,960,238"
08/16/2021,"7.71","7.96","7.55","7.95","9,302,465"
08/13/2021,"7.99","8.04","7.60","7.76","13,808,380"
08/12/2021,"8.05","8.07","7.85","8.01","7,478,438"
08/11/2021,"8.10","8.22","7.99","8.10","8,540,720"
08/10/2021,"8.63","8.98","7.75","7.96","18,909,820"
08/09/2021,"7.27","7.53","7.15","7.48","6,354,623"
08/06/2021,"7.18","7.20","7.04","7.12","2,243,932"
08/05/2021,"7.05","7.13","6.95","7.08","2,925,527"
08/04/2021,"7.29","7.35","7.04","7.09","3,998,403"
08/03/2021,"7.48","7.48","7.26","7.29","4,842,481"
08/02/2021,"7.39","7.54","7.11","7.52","5,394,477"
07/30/2021,"7.34","7.60","7.22","7.50","4,446,171"
07/29/2021,"8.31","8.39","7.39","7.40","7,718,212"
07/28/2021,"7.96","8.08","7.69","7.98","9,910,479"
07/27/2021,"7.40","7.64","7.20","7.43","8,346,597"
07/26/2021,"7.21","8.06","7.05","7.63","8,647,411"
07/23/2021,"8.11","8.13","7.62","7.69","9,437,805"
07/22/2021,"8.82","8.84","8.34","8.35","5,483,933"
07/21/2021,"8.87","8.88","8.66","8.79","4,835,714"
07/20/2021,"8.79","8.87","8.50","8.81","6,703,168"
07/19/2021,"8.88","8.90","8.61","8.73","6,083,043"
07/16/2021,"9.40","9.41","9.02","9.07","4,047,890"
07/15/2021,"9.27","9.59","9.15","9.30","3,764,039"
07/14/2021,"9.46","9.61","9.22","9.27","3,758,528"
07/13/2021,"9.15","9.70","9.06","9.42","9,635,899"
07/12/2021,"9.58","9.63","8.99","9.01","10,248,290"
07/09/2021,"9.49","9.74","9.12","9.55","17,140,211"
07/08/2021,"9.92","9.92","8.70","9.00","33,949,832"
07/07/2021,"10.58","10.92","10.50","10.57","3,172,639"
07/06/2021,"10.82","11.10","10.62","10.68","6,674,694"
07/02/2021,"11.19","11.22","10.82","10.88","2,975,135"
07/01/2021,"11.30","11.34","11.13","11.18","2,559,201"
06/30/2021,"11.43","11.54","11.30","11.30","4,770,144"
06/29/2021,"11.65","11.68","11.34","11.52","5,345,892"
06/28/2021,"11.79","11.86","11.33","11.66","10,556,090"
06/25/2021,"12.26","12.39","12.19","12.25","2,918,484"
06/24/2021,"12.27","12.39","12.25","12.28","2,862,182"
06/23/2021,"12.20","12.36","12.06","12.25","2,956,995"
06/22/2021,"12.22","12.43","12.03","12.18","2,939,573"
06/21/2021,"12.45","12.50","12.09","12.23","5,194,924"
06/18/2021,"12.42","12.72","12.33","12.52","28,548,350"
06/17/2021,"12.72","12.76","12.40","12.42","5,974,748"
06/16/2021,"12.32","12.86","12.27","12.68","6,863,282"
06/15/2021,"12.31","12.39","12.19","12.30","4,318,028"
06/14/2021,"12.25","12.45","12.08","12.28","5,114,017"
06/11/2021,"12.07","12.21","11.86","12.21","10,530,840"
06/10/2021,"12.25","12.40","12.02","12.05","4,756,751"
06/09/2021,"12.38","12.50","12.15","12.16","5,086,241"
06/08/2021,"12.67","12.82","12.39","12.40","2,982,768"
06/07/2021,"12.54","12.74","12.28","12.62","3,567,788"
06/04/2021,"12.77","12.77","12.53","12.53","2,775,583"
06/03/2021,"12.84","13.04","12.60","12.65","5,916,947"
06/02/2021,"12.39","12.90","12.38","12.76","4,693,719"
06/01/2021,"12.21","12.48","12.06","12.42","7,464,258"
05/28/2021,"12.35","12.38","12.08","12.19","5,909,344"
05/27/2021,"12.50","12.55","12.26","12.36","5,540,967"
05/26/2021,"12.51","12.99","12.40","12.59","4,195,024"
05/25/2021,"12.64","12.79","12.43","12.52","17,310,330"
05/24/2021,"12.51","12.88","12.39","12.61","4,244,742"
05/21/2021,"12.22","12.27","11.97","12.24","2,811,997"
05/20/2021,"11.97","12.20","11.88","12.11","4,386,177"
05/19/2021,"11.74","12.11","11.63","12.09","5,184,893"
05/18/2021,"12.08","12.29","11.83","11.95","5,921,615"
05/17/2021,"11.60","12.18","11.60","11.98","7,545,949"
05/14/2021,"11.08","11.65","11.05","11.60","5,825,569"
05/13/2021,"11.10","11.14","10.75","10.85","4,775,092"
05/12/2021,"10.71","11.13","10.62","10.83","6,444,280"
05/11/2021,"9.98","10.77","9.85","10.76","8,177,707"
05/10/2021,"11.15","11.18","10.25","10.31","8,371,080"
05/07/2021,"11.84","11.90","11.12","11.15","5,327,681"
05/06/2021,"11.43","11.85","11.07","11.85","8,030,641"
05/05/2021,"11.31","11.56","11.20","11.38","5,823,466"
05/04/2021,"11.82","11.89","11.17","11.28","9,850,099"
05/03/2021,"11.92","12.07","11.73","11.90","5,350,550"
04/30/2021,"12.67","12.70","11.86","11.90","7,998,503"
04/29/2021,"12.76","12.85","12.34","12.53","10,801,000"
04/28/2021,"13.30","13.38","12.81","12.95","9,982,669"
04/27/2021,"14.22","14.44","13.21","13.37","10,644,090"
04/26/2021,"14.23","14.26","13.84","14.08","2,684,867"
04/23/2021,"13.99","14.24","13.82","14.21","1,800,422"
04/22/2021,"13.58","14.11","13.56","13.80","4,117,735"
04/21/2021,"13.06","13.53","12.77","13.48","3,622,023"
04/20/2021,"13.82","13.84","12.93","13.17","4,928,859"
04/19/2021,"13.76","13.88","13.52","13.80","2,746,360"
04/16/2021,"13.78","13.80","13.53","13.80","3,612,377"
04/15/2021,"13.80","13.80","13.52","13.70","4,995,607"
04/14/2021,"13.81","13.98","13.53","13.70","2,628,606"
04/13/2021,"13.66","14.05","13.54","13.75","3,913,505"
04/12/2021,"14.36","14.48","13.32","13.87","7,522,071"
04/09/2021,"14.48","14.72","14.21","14.62","2,456,672"
04/08/2021,"14.43","14.78","14.28","14.36","2,489,948"
04/07/2021,"14.49","14.56","14.20","14.43","3,082,939"
04/06/2021,"14.68","14.73","14.15","14.63","3,837,139"
04/05/2021,"14.52","14.83","14.49","14.72","1,177,913"
04/01/2021,"14.75","14.97","14.44","14.57","1,824,564"
03/31/2021,"14.13","14.60","14.02","14.52","2,536,095"
03/30/2021,"13.77","14.18","13.58","14.10","2,214,847"
03/29/2021,"13.69","14.03","13.57","13.90","2,212,110"
03/26/2021,"13.88","13.96","13.32","13.74","3,097,696"
03/25/2021,"13.49","13.95","13.21","13.86","2,640,451"
03/24/2021,"13.95","14.15","13.50","13.56","3,115,881"
03/23/2021,"14.62","14.62","13.83","13.99","2,640,372"
03/22/2021,"14.97","15.09","14.53","14.68","2,107,753"
03/19/2021,"14.70","15.17","14.65","14.97","2,869,264"
03/18/2021,"14.83","14.94","14.63","14.76","2,218,209"
03/17/2021,"14.60","15.04","14.50","14.95","1,777,007"
03/16/2021,"14.86","15.00","14.55","14.67","2,337,697"
03/15/2021,"15.25","15.28","14.62","14.79","2,305,577"
03/12/2021,"15.44","15.60","14.89","15.25","3,075,545"
03/11/2021,"15.63","15.94","15.40","15.80","3,221,616"
03/10/2021,"15.30","15.78","15.18","15.42","5,690,085"
03/09/2021,"15.16","15.44","14.83","15.16","4,100,715"
03/08/2021,"15.11","15.50","14.72","14.86","3,230,827"
03/05/2021,"15.40","15.54","13.88","15.21","6,265,569"
03/04/2021,"15.40","15.68","14.78","15.26","3,063,715"
03/03/2021,"16.06","16.11","15.37","15.60","1,534,072"
03/02/2021,"15.70","15.92","15.39","15.90","2,929,177"
03/01/2021,"15.44","15.84","15.11","15.50","2,894,435"
02/26/2021,"15.25","15.51","14.62","15.02","3,386,685"
02/25/2021,"15.95","16.04","15.24","15.35","3,034,765"
02/24/2021,"15.95","16.09","15.42","15.80","2,530,808"
02/23/2021,"15.50","16.27","14.37","15.96","5,898,388"
02/22/2021,"15.85","16.08","15.35","15.35","4,847,849"
02/19/2021,"16.50","17.00","16.21","16.26","3,405,133"
02/18/2021,"16.56","16.58","15.72","16.30","4,328,497"
02/17/2021,"17.63","17.65","16.60","16.71","3,832,121"
02/16/2021,"17.50","17.93","17.31","17.43","3,054,628"
02/12/2021,"17.23","17.23","16.72","16.97","1,639,236"
02/11/2021,"17.96","17.99","16.92","17.33","2,141,181"
02/10/2021,"17.08","17.50","16.50","17.44","3,329,431"
02/09/2021,"17.02","17.11","16.43","16.76","3,293,872"
02/08/2021,"17.31","17.56","16.78","17.25","4,291,718"
02/05/2021,"17.66","17.75","17.07","17.35","3,831,069"
02/04/2021,"17.00","18.30","16.56","17.20","10,905,630"
02/03/2021,"16.50","16.92","16.16","16.58","4,515,185"
02/02/2021,"16.60","17.30","15.53","15.55","7,283,376"
02/01/2021,"16.00","17.16","15.91","17.03","6,500,618"
01/29/2021,"15.17","16.45","15.01","15.94","6,126,196"
01/28/2021,"15.60","15.65","14.80","14.95","4,014,717"
01/27/2021,"15.89","16.35","15.75","15.93","4,367,299"
01/26/2021,"17.12","17.20","16.10","16.60","5,152,167"
01/25/2021,"16.80","17.47","15.92","16.78","9,783,257"
01/22/2021,"15.58","16.59","15.24","15.45","7,034,490"
01/21/2021,"14.25","16.25","14.23","15.88","11,365,870"
01/20/2021,"14.47","14.73","13.96","14.05","5,057,949"
01/19/2021,"14.43","14.50","14.10","14.37","3,977,316"
01/15/2021,"14.80","14.91","13.90","14.01","4,072,134"
01/14/2021,"14.62","14.88","14.61","14.74","3,703,094"
01/13/2021,"15.00","15.24","14.31","14.32","2,726,555"
01/12/2021,"14.51","15.20","14.51","15.00","4,348,114"
01/11/2021,"14.21","14.75","14.13","14.50","2,815,358"
01/08/2021,"13.91","14.44","13.91","14.32","3,809,029"
01/07/2021,"13.90","14.01","13.69","13.80","2,491,157"
01/06/2021,"14.00","14.05","13.64","13.82","4,826,935"
01/05/2021,"14.15","14.36","13.96","14.00","3,520,944"
01/04/2021,"14.25","14.37","13.85","14.30","3,256,016"
12/31/2020,"14.59","14.85","14.14","14.20","5,111,353"
12/30/2020,"14.15","14.85","14.15","14.54","3,572,621"
12/29/2020,"13.76","14.90","13.76","14.29","4,000,108"
12/28/2020,"13.98","14.15","13.63","13.76","3,653,520"
12/24/2020,"14.08","14.45","14.05","14.17","1,612,979"
