Date,Open,High,Low,Close,Volume
08/12/2021,"14.50","14.90","14.00","14.28","134,439"
08/11/2021,"14.89","14.91","14.41","14.41","175,772"
08/10/2021,"14.91","15.15","14.53","14.82","139,803"
08/09/2021,"15.76","16.35","14.80","15.03","441,948"
08/06/2021,"16.27","16.33","15.50","15.64","393,491"
08/05/2021,"15.74","16.70","15.64","16.29","189,815"
08/04/2021,"15.55","16.23","15.45","15.72","158,966"
08/03/2021,"14.79","15.73","14.43","15.55","97,381"
08/02/2021,"15.77","15.77","14.28","14.72","266,208"
07/30/2021,"13.93","14.73","13.75","14.50","207,726"
07/29/2021,"13.62","14.32","13.46","13.97","290,840"
07/28/2021,"14.46","14.61","13.11","13.51","289,708"
07/27/2021,"14.66","14.98","14.00","14.41","250,846"
07/26/2021,"14.50","15.16","14.11","14.55","297,663"
07/23/2021,"15.57","16.05","14.30","14.43","241,805"
07/22/2021,"15.77","16.10","15.17","15.57","221,159"
07/21/2021,"16.83","16.93","15.36","15.70","331,149"
07/20/2021,"16.53","17.15","16.53","16.70","102,962"
07/19/2021,"16.71","17.25","16.41","16.45","123,503"
07/16/2021,"16.12","17.35","16.00","16.91","760,402"
07/15/2021,"16.64","16.99","15.83","16.07","714,276"
07/14/2021,"16.10","16.75","16.10","16.67","384,975"
07/13/2021,"16.01","16.80","15.86","16.22","439,678"
07/12/2021,"16.00","16.92","15.70","16.27","695,948"
07/09/2021,"15.21","16.29","15.02","15.88","442,635"
07/08/2021,"15.11","16.00","14.98","15.25","521,813"
07/07/2021,"15.46","15.59","15.00","15.38","332,011"
07/06/2021,"16.03","16.03","15.20","15.51","701,593"
07/02/2021,"15.95","16.17","15.12","16.03","330,634"
07/01/2021,"16.10","16.37","15.73","16.01","747,378"
06/30/2021,"16.20","16.40","16.00","16.24","461,936"
06/29/2021,"16.47","16.73","16.01","16.32","643,376"
06/28/2021,"15.91","16.94","15.82","16.56","217,648"
06/25/2021,"15.90","16.15","15.80","15.99","126,360"
06/24/2021,"16.58","16.64","15.50","16.00","383,368"
06/23/2021,"16.36","16.85","16.00","16.55","2,357,975"
06/22/2021,"16.74","16.87","16.00","16.60","486,044"
06/21/2021,"16.10","16.88","15.12","16.66","698,375"
06/18/2021,"16.26","16.85","15.99","16.20","448,015"
06/17/2021,"18.75","18.90","14.99","16.89","4,397,335"
