Date,Open,High,Low,Close,Volume
08/20/2021,"21.63","22.95","21.50","22.46","150,731"
08/19/2021,"22.56","22.56","21.12","21.91","193,101"
08/18/2021,"23.60","23.94","22.45","22.55","143,937"
08/17/2021,"24.00","24.11","22.52","23.28","213,290"
08/16/2021,"26.51","26.51","24.74","24.83","127,816"
08/13/2021,"26.50","28.47","24.07","26.86","211,640"
08/12/2021,"29.11","29.34","27.23","27.24","157,652"
08/11/2021,"29.66","30.23","28.20","28.77","90,822"
08/10/2021,"30.27","30.61","28.58","29.19","121,378"
08/09/2021,"30.07","30.73","29.74","30.02","79,624"
08/06/2021,"30.31","30.50","29.11","30.34","203,569"
08/05/2021,"29.84","30.50","29.08","30.35","189,425"
08/04/2021,"31.06","31.06","29.41","29.82","173,070"
08/03/2021,"32.54","32.54","29.52","31.05","346,915"
08/02/2021,"33.31","33.63","32.19","32.90","139,118"
07/30/2021,"33.08","33.54","32.84","33.40","87,322"
07/29/2021,"34.36","34.36","33.33","33.39","94,412"
07/28/2021,"33.78","34.15","33.01","33.70","63,825"
07/27/2021,"32.88","33.27","32.40","33.15","92,529"
07/26/2021,"33.20","34.18","33.02","33.45","66,478"
07/23/2021,"33.72","33.78","32.33","32.77","87,086"
07/22/2021,"34.30","34.30","33.45","33.52","69,955"
07/21/2021,"33.91","35.34","33.91","34.46","128,939"
07/20/2021,"33.10","34.32","32.84","34.00","134,661"
07/19/2021,"30.49","33.27","30.01","33.06","181,435"
07/16/2021,"33.25","33.25","32.28","32.44","77,923"
07/15/2021,"32.96","32.97","32.00","32.72","190,780"
07/14/2021,"33.18","33.67","32.02","32.49","224,829"
07/13/2021,"34.63","34.63","32.76","32.97","153,639"
07/12/2021,"35.00","35.95","34.00","34.50","365,843"
07/09/2021,"36.76","37.31","34.67","34.86","366,306"
07/08/2021,"36.76","37.88","35.89","37.31","91,553"
07/07/2021,"39.26","39.88","36.59","37.50","284,567"
07/06/2021,"38.60","39.73","38.50","39.11","79,895"
07/02/2021,"41.09","41.84","39.04","39.38","176,136"
07/01/2021,"41.66","42.35","40.45","41.29","193,835"
06/30/2021,"43.31","44.16","42.09","42.10","159,724"
06/29/2021,"46.02","47.00","43.67","43.78","179,342"
06/28/2021,"43.90","46.97","43.54","46.33","221,451"
06/25/2021,"44.17","44.46","42.62","43.74","543,860"
06/24/2021,"43.05","44.91","42.53","44.12","153,113"
06/23/2021,"42.70","44.59","41.86","43.04","258,427"
06/22/2021,"42.51","42.70","41.69","42.57","242,011"
06/21/2021,"41.23","42.71","40.12","42.16","228,495"
06/18/2021,"42.55","42.76","41.31","41.52","503,632"
06/17/2021,"39.92","43.33","39.21","42.63","287,299"
06/16/2021,"40.00","41.65","39.60","41.27","272,564"
06/15/2021,"42.30","42.86","39.46","40.19","148,858"
06/14/2021,"41.90","42.79","41.33","42.34","380,476"
06/11/2021,"42.10","42.10","40.35","41.47","291,155"
06/10/2021,"42.70","44.21","42.09","42.17","172,185"
06/09/2021,"43.35","44.14","42.47","42.73","173,354"
06/08/2021,"42.95","43.97","42.01","43.30","239,363"
06/07/2021,"41.97","42.81","41.21","41.39","175,589"
06/04/2021,"41.40","41.58","40.78","41.48","152,598"
06/03/2021,"43.47","43.54","40.59","40.82","276,990"
06/02/2021,"43.50","45.22","42.95","44.28","716,755"
06/01/2021,"42.15","43.96","41.79","42.99","253,376"
05/28/2021,"40.85","42.46","40.20","42.32","310,937"
05/27/2021,"40.87","40.99","39.53","39.98","390,643"
05/26/2021,"39.10","40.98","39.10","40.71","168,819"
05/25/2021,"37.82","39.85","37.82","39.14","166,386"
05/24/2021,"39.01","40.24","37.05","37.81","158,202"
05/21/2021,"39.22","39.92","38.63","39.04","209,181"
05/20/2021,"37.64","39.37","36.30","39.32","436,066"
05/19/2021,"37.69","38.17","36.39","37.14","153,423"
05/18/2021,"38.12","39.65","37.26","38.34","205,929"
05/17/2021,"34.95","37.21","33.20","37.11","277,362"
05/14/2021,"34.12","37.81","32.04","34.80","426,051"
05/13/2021,"40.84","41.50","37.58","38.47","161,858"
05/12/2021,"39.46","40.76","38.84","40.03","183,781"
05/11/2021,"38.91","41.16","38.83","40.51","170,527"
