Date,Open,High,Low,Close,Volume
08/11/2021,"20.11","20.60","19.78","19.97","332,234"
08/10/2021,"20.16","20.40","19.63","20.26","278,921"
08/09/2021,"20.20","20.44","20.02","20.28","109,706"
08/06/2021,"19.96","20.53","19.77","20.31","135,443"
08/05/2021,"20.44","20.61","19.70","19.91","299,779"
08/04/2021,"20.71","20.91","20.23","20.29","143,256"
08/03/2021,"21.80","21.98","20.67","20.98","236,565"
08/02/2021,"20.79","22.10","20.63","21.61","265,660"
07/30/2021,"21.09","21.24","20.28","20.84","321,653"
07/29/2021,"21.25","21.75","20.81","21.23","259,729"
07/28/2021,"21.09","21.61","20.57","21.07","420,320"
07/27/2021,"22.36","22.85","21.04","21.10","654,550"
07/26/2021,"23.67","24.49","22.68","22.93","303,879"
07/23/2021,"22.95","23.67","22.54","23.53","347,314"
07/22/2021,"21.99","22.80","21.63","22.64","204,024"
07/21/2021,"21.53","22.29","21.32","22.25","546,025"
07/20/2021,"19.98","21.26","19.82","21.16","318,252"
07/19/2021,"20.41","20.77","19.66","20.02","572,066"
07/16/2021,"20.80","21.05","20.50","20.79","569,926"
07/15/2021,"20.84","21.21","20.70","20.77","355,626"
07/14/2021,"21.44","22.11","20.84","21.03","289,263"
07/13/2021,"22.82","23.13","20.70","21.42","851,651"
07/12/2021,"21.75","22.68","21.74","22.59","344,343"
07/09/2021,"22.00","22.10","21.68","21.77","332,188"
07/08/2021,"22.00","22.53","21.50","21.77","690,348"
07/07/2021,"22.83","23.44","22.36","22.39","350,887"
07/06/2021,"22.93","23.10","21.96","22.95","583,255"
07/02/2021,"21.28","23.62","21.22","22.74","619,542"
07/01/2021,"21.85","22.53","20.00","21.98","5,457,627"
06/30/2021,"21.38","22.29","21.06","21.53","1,848,066"
06/29/2021,"22.01","22.46","20.75","20.77","3,024,939"
06/28/2021,"19.98","22.95","19.98","22.40","3,738,174"
06/25/2021,"18.90","22.00","18.49","20.30","17,712,020"
