Date,Open,High,Low,Close,Volume
08/12/2021,"39.20","39.20","36.95","36.95","11,638"
08/11/2021,"40.16","40.63","38.45","38.88","23,346"
08/10/2021,"40.30","40.30","39.44","39.44","6,547"
08/09/2021,"39.03","41.02","38.90","39.99","18,362"
08/06/2021,"39.62","39.62","38.65","38.94","16,796"
08/05/2021,"41.00","41.15","39.11","39.40","29,226"
08/04/2021,"41.08","43.25","39.37","40.32","20,896"
08/03/2021,"42.01","42.80","39.21","41.56","45,416"
08/02/2021,"40.88","42.60","40.02","42.10","17,310"
07/30/2021,"39.25","40.65","38.66","40.13","15,074"
07/29/2021,"38.98","39.40","38.42","38.89","3,153"
07/28/2021,"38.14","38.60","38.05","38.55","4,287"
07/27/2021,"38.45","38.45","37.50","38.40","6,263"
07/26/2021,"38.00","38.60","37.59","38.15","13,865"
07/23/2021,"38.51","38.66","38.16","38.16","4,883"
07/22/2021,"38.68","38.78","38.28","38.41","5,698"
07/21/2021,"37.52","39.03","37.52","38.51","11,027"
07/20/2021,"40.76","40.76","37.89","38.05","9,049"
07/19/2021,"39.50","39.50","38.35","38.50","4,729"
07/16/2021,"40.40","40.40","39.25","39.25","15,929"
07/15/2021,"40.25","41.00","39.55","40.00","12,532"
07/14/2021,"41.04","41.04","39.66","40.25","17,043"
07/13/2021,"39.92","40.70","39.50","39.70","7,867"
07/12/2021,"39.32","39.84","38.81","39.56","4,427"
07/09/2021,"39.80","39.99","39.45","39.97","7,564"
07/08/2021,"38.75","39.80","38.60","39.80","7,237"
07/07/2021,"40.44","40.44","38.96","38.96","10,586"
07/06/2021,"39.50","39.55","39.23","39.40","5,339"
07/02/2021,"38.56","40.76","38.56","39.49","7,656"
07/01/2021,"38.23","39.69","38.17","39.40","19,482"
06/30/2021,"39.51","39.81","39.02","39.21","4,543"
06/29/2021,"38.66","40.84","38.66","39.38","10,822"
06/28/2021,"39.20","40.43","38.65","38.65","6,189"
06/25/2021,"41.06","41.44","37.77","39.01","128,112"
06/24/2021,"38.52","41.51","38.52","41.02","20,904"
06/23/2021,"38.55","39.85","38.55","39.85","7,547"
06/22/2021,"41.98","41.98","39.01","39.58","26,321"
06/21/2021,"41.36","42.13","39.28","40.30","37,664"
06/18/2021,"40.98","43.14","40.13","40.80","17,375"
06/17/2021,"41.25","43.26","40.55","41.25","9,686"
06/16/2021,"40.45","41.23","39.40","41.23","6,913"
06/15/2021,"42.01","42.04","40.07","40.07","9,503"
06/14/2021,"42.26","42.29","41.53","41.55","9,618"
06/11/2021,"42.50","42.68","41.65","42.00","9,196"
06/10/2021,"41.05","42.80","41.05","42.50","2,108"
06/09/2021,"39.62","42.50","39.62","41.70","8,986"
06/08/2021,"39.05","40.47","38.55","39.90","11,445"
06/07/2021,"40.15","43.05","38.24","39.20","13,094"
06/04/2021,"41.51","41.54","40.01","40.01","4,663"
06/03/2021,"39.82","40.50","39.51","40.40","3,496"
06/02/2021,"40.58","41.00","39.50","40.80","5,986"
06/01/2021,"41.79","41.79","40.65","40.65","4,571"
05/28/2021,"41.36","42.72","40.87","41.54","4,111"
05/27/2021,"41.01","41.98","41.01","41.15","2,058"
05/26/2021,"42.17","42.32","41.50","42.30","3,165"
05/25/2021,"41.99","42.77","41.41","41.80","12,554"
05/24/2021,"42.20","42.52","41.55","42.52","2,672"
05/21/2021,"43.13","43.13","41.45","42.30","2,215"
05/20/2021,"43.98","43.98","42.20","42.22","3,458"
05/19/2021,"42.75","43.24","40.96","42.12","10,336"
05/18/2021,"42.76","43.87","42.75","42.75","4,392"
05/17/2021,"42.52","43.91","42.52","43.15","1,413"
05/14/2021,"44.06","45.00","42.70","43.42","5,389"
05/13/2021,"43.55","46.14","42.67","45.60","5,714"
05/12/2021,"45.00","45.00","43.59","43.59","3,837"
05/11/2021,"45.51","45.66","44.70","45.01","9,855"
05/10/2021,"46.86","46.90","44.97","45.54","3,875"
05/07/2021,"45.95","46.43","44.76","45.12","25,064"
05/06/2021,"46.96","46.96","45.05","45.10","2,573"
05/05/2021,"46.79","48.00","45.61","46.30","28,020"
05/04/2021,"47.12","48.34","46.70","46.80","9,181"
05/03/2021,"48.60","48.60","48.06","48.40","2,666"
04/30/2021,"48.23","49.79","48.02","48.02","49,416"
04/29/2021,"49.00","49.00","47.70","47.98","13,464"
04/28/2021,"47.05","49.07","47.05","48.02","9,304"
04/27/2021,"48.40","48.41","47.11","47.76","7,952"
04/26/2021,"47.00","47.20","47.00","47.10","2,229"
04/23/2021,"45.00","47.00","45.00","46.75","10,344"
04/22/2021,"46.41","46.99","45.41","46.14","4,120"
04/21/2021,"45.74","46.81","45.74","46.56","15,262"
04/20/2021,"46.05","46.50","45.11","45.80","16,678"
04/19/2021,"48.35","48.35","46.40","46.56","10,488"
04/16/2021,"48.37","48.80","48.20","48.20","2,347"
04/15/2021,"48.25","49.78","48.25","49.58","7,634"
04/14/2021,"49.00","49.15","48.35","48.96","5,485"
04/13/2021,"48.59","49.47","48.05","49.15","7,603"
04/12/2021,"48.01","49.10","48.01","49.10","1,225"
04/09/2021,"48.55","49.95","47.11","49.15","7,679"
04/08/2021,"48.51","48.95","48.51","48.95","2,653"
04/07/2021,"48.25","49.00","48.10","48.35","10,864"
04/06/2021,"49.75","49.75","48.15","48.34","7,615"
04/05/2021,"50.05","50.10","49.10","49.30","3,520"
04/01/2021,"50.46","50.95","50.05","50.60","5,284"
03/31/2021,"49.14","50.29","49.14","49.99","14,164"
03/30/2021,"49.55","49.55","49.25","49.25","4,691"
03/29/2021,"50.03","52.18","49.41","50.02","4,061"
03/26/2021,"50.05","50.97","50.00","50.69","6,733"
03/25/2021,"49.22","50.63","49.12","49.87","4,087"
03/24/2021,"49.46","51.12","49.46","50.74","3,897"
03/23/2021,"50.00","51.77","49.56","49.56","9,245"
03/22/2021,"51.14","53.39","51.14","51.30","12,174"
03/19/2021,"52.39","53.79","50.00","50.96","126,564"
03/18/2021,"51.75","51.99","50.92","51.04","11,360"
03/17/2021,"50.69","51.95","49.60","51.02","27,682"
