Date,Open,High,Low,Close,Volume
08/11/2021,"4.9700","4.9700","4.8000","4.8900","228,435"
08/10/2021,"5.0000","5.0000","4.7900","4.8400","233,550"
08/09/2021,"5.0300","5.0300","4.8700","4.9200","301,868"
08/06/2021,"5.1900","5.2000","4.8800","4.9400","465,650"
08/05/2021,"5.1500","5.2900","5.0500","5.1200","311,918"
08/04/2021,"5.3000","5.3000","5.0700","5.2000","315,238"
08/03/2021,"5.4900","5.5042","5.0000","5.2000","608,215"
08/02/2021,"5.7500","5.7868","5.2800","5.4600","247,703"
07/30/2021,"5.5500","5.7400","5.5450","5.5900","273,504"
07/29/2021,"6.2500","6.2800","5.6400","5.7300","396,800"
07/28/2021,"5.6000","6.1300","5.5000","6.1000","584,752"
07/27/2021,"5.0200","5.7200","5.0200","5.7000","1,261,299"
07/26/2021,"5.9000","5.9700","5.3827","5.6000","1,876,036"
07/23/2021,"7.0000","7.1291","6.3800","6.6900","1,170,037"
07/22/2021,"8.0900","8.0900","7.4900","7.5300","650,409"
07/21/2021,"7.8500","8.1200","7.8408","7.9900","312,087"
07/20/2021,"7.7100","8.0100","7.6200","8.0100","279,256"
07/19/2021,"8.0000","8.0000","7.4100","7.9200","605,852"
07/16/2021,"7.4800","8.2500","7.3000","8.1000","769,717"
07/15/2021,"7.1500","7.5600","7.1300","7.4900","355,306"
07/14/2021,"7.3000","7.3318","7.1660","7.3000","253,222"
07/13/2021,"7.4100","7.6800","7.2700","7.3000","344,098"
07/12/2021,"7.8300","7.8300","7.3700","7.4500","394,233"
07/09/2021,"7.7700","7.7700","7.3300","7.5700","549,858"
07/08/2021,"7.5000","7.5900","7.3800","7.4900","751,324"
07/07/2021,"8.0100","8.1600","7.7000","7.9800","603,634"
07/06/2021,"8.1800","8.2200","7.7200","8.2200","1,383,035"
07/02/2021,"8.5800","8.7000","8.1800","8.5900","1,135,582"
07/01/2021,"8.7550","8.9600","8.2200","8.8400","1,582,806"
06/30/2021,"8.4500","10.1600","8.3100","8.6500","7,470,329"
06/29/2021,"8.9200","8.9600","8.1500","8.6500","2,939,678"
06/28/2021,"8.8600","9.1700","8.6000","8.8400","3,138,884"
06/25/2021,"10.6500","11.0000","8.1200","9.6600","11,130,650"
