Date,Open,High,Low,Close,Volume
08/12/2021,"12.00","12.00","11.26","11.97","17,923"
08/11/2021,"12.50","12.50","11.80","12.00","19,768"
08/10/2021,"12.84","12.84","11.80","12.45","12,680"
08/09/2021,"12.45","12.45","11.67","12.20","10,134"
08/06/2021,"11.94","12.56","11.17","12.17","12,074"
08/05/2021,"11.47","12.59","11.47","12.16","12,336"
08/04/2021,"13.00","13.00","10.80","11.84","22,820"
08/03/2021,"11.15","12.84","10.92","12.75","51,121"
08/02/2021,"10.76","11.20","10.76","11.05","6,745"
07/30/2021,"10.90","11.30","10.71","11.10","19,892"
07/29/2021,"10.93","10.99","10.12","10.41","6,126"
07/28/2021,"9.37","10.38","9.37","10.12","16,769"
07/27/2021,"10.43","10.68","9.22","10.22","28,397"
07/26/2021,"10.78","10.78","10.05","10.23","19,755"
07/23/2021,"10.40","11.43","10.11","10.80","32,834"
07/22/2021,"9.70","11.11","9.65","10.63","141,062"
07/21/2021,"9.68","9.94","8.74","9.46","98,891"
07/20/2021,"9.37","9.63","8.81","9.60","58,871"
07/19/2021,"8.20","9.24","8.11","9.20","72,822"
07/16/2021,"7.75","8.59","7.75","8.01","64,330"
07/15/2021,"8.16","8.16","7.82","7.89","65,460"
07/14/2021,"8.33","8.67","8.10","8.10","10,489"
07/13/2021,"8.72","9.16","7.80","8.30","170,928"
07/12/2021,"9.09","9.09","8.60","8.85","66,462"
07/09/2021,"9.83","9.83","8.45","8.65","100,183"
07/08/2021,"8.90","9.21","8.70","8.83","59,308"
07/07/2021,"10.00","10.26","8.91","9.34","96,929"
07/06/2021,"10.30","11.09","10.30","10.31","61,425"
07/02/2021,"10.20","10.76","10.01","10.30","30,481"
07/01/2021,"11.65","11.80","10.02","10.40","80,835"
06/30/2021,"12.87","12.87","11.65","11.65","53,413"
06/29/2021,"12.21","12.90","12.02","12.60","107,509"
06/28/2021,"12.75","13.92","12.00","12.13","156,800"
06/25/2021,"14.56","16.00","12.40","12.75","482,361"
06/24/2021,"12.00","16.52","10.96","15.24","3,556,948"
