Date,Open,High,Low,Close,Volume
08/20/2021,"9.86","9.93","9.86","9.92","1,618"
08/19/2021,"9.91","9.93","9.90","9.93","8,632"
08/18/2021,"9.95","9.95","9.89","9.90","23,793"
08/17/2021,"9.86","9.98","9.83","9.96","28,900"
08/16/2021,"9.86","9.86","9.86","9.86","200"
08/13/2021,"9.86","9.86","9.86","9.86","101"
08/12/2021,"9.86","9.86","9.86","9.86","150"
08/11/2021,"9.86","9.86","9.85","9.85","2,035"
08/06/2021,"9.87","9.87","9.85","9.87","6,191"
08/05/2021,"9.88","9.88","9.86","9.88","4,699"
08/04/2021,"9.89","9.89","9.85","9.88","274,562"
08/03/2021,"9.89","9.89","9.83","9.88","3,359"
08/02/2021,"9.86","9.88","9.83","9.87","10,809"
07/30/2021,"9.89","9.89","9.86","9.89","5,040"
07/29/2021,"9.89","9.89","9.86","9.89","14,071"
07/28/2021,"9.91","9.91","9.87","9.89","9,510"
07/27/2021,"9.89","9.90","9.88","9.89","19,230"
07/26/2021,"9.90","9.90","9.87","9.90","109,832"
07/23/2021,"9.90","9.90","9.88","9.88","5,714"
07/22/2021,"9.91","9.91","9.88","9.88","43,984"
07/21/2021,"9.90","9.92","9.88","9.89","48,874"
07/20/2021,"9.93","9.93","9.90","9.91","8,846"
07/19/2021,"9.93","9.93","9.89","9.91","23,151"
07/16/2021,"9.94","9.94","9.90","9.91","48,555"
07/15/2021,"9.94","9.94","9.94","9.94","100"
07/14/2021,"9.94","9.94","9.94","9.94","447,348"
07/13/2021,"9.90","9.94","9.90","9.94","13,028"
07/12/2021,"9.90","9.94","9.90","9.94","1,600"
07/09/2021,"9.92","9.94","9.92","9.94","300"
07/08/2021,"9.92","9.94","9.89","9.89","4,500"
07/07/2021,"9.93","9.94","9.91","9.94","457,627"
07/06/2021,"9.92","9.93","9.88","9.91","107,009"
07/02/2021,"9.82","9.93","9.82","9.93","1,254,964"
07/01/2021,"9.90","9.90","9.88","9.89","12,527"
06/30/2021,"9.89","9.90","9.87","9.88","36,921"
06/29/2021,"9.90","9.92","9.90","9.90","63,091"
06/28/2021,"9.92","9.93","9.86","9.90","220,611"
06/25/2021,"9.89","9.90","9.87","9.88","56,629"
06/24/2021,"9.89","9.90","9.88","9.90","223,876"
06/23/2021,"9.90","9.93","9.87","9.90","2,405,980"
