Date,Open,High,Low,Close,Volume
08/11/2021,"7.05","7.05","6.65","6.74","47,131"
08/10/2021,"7.04","7.04","6.78","7.00","33,711"
08/09/2021,"6.84","7.00","6.80","7.00","33,168"
08/06/2021,"6.90","6.91","6.75","6.78","9,583"
08/05/2021,"6.99","6.99","6.61","6.90","17,415"
08/04/2021,"7.04","7.04","6.74","6.90","20,301"
08/03/2021,"6.69","7.02","6.68","6.92","14,991"
08/02/2021,"6.99","6.99","6.72","6.84","27,943"
07/30/2021,"6.89","7.05","6.63","7.05","10,181"
07/29/2021,"6.53","6.90","6.50","6.90","14,154"
07/28/2021,"6.30","6.50","6.25","6.50","14,623"
07/27/2021,"6.58","6.58","6.31","6.40","23,029"
07/26/2021,"6.68","6.68","6.47","6.59","27,176"
07/23/2021,"6.52","6.81","6.52","6.60","24,709"
07/22/2021,"6.79","6.79","6.26","6.26","16,623"
07/21/2021,"6.74","6.86","6.65","6.80","39,007"
07/20/2021,"6.42","6.60","6.41","6.54","14,470"
07/19/2021,"6.59","6.59","6.30","6.40","71,337"
07/16/2021,"7.20","7.20","6.79","6.90","29,499"
07/15/2021,"7.05","7.12","6.89","7.10","59,432"
07/14/2021,"7.50","7.50","7.25","7.29","46,677"
07/13/2021,"7.40","7.60","7.30","7.40","54,399"
07/12/2021,"7.19","7.24","7.10","7.16","37,537"
07/09/2021,"7.49","7.49","7.11","7.30","45,198"
07/08/2021,"7.03","7.25","6.95","7.15","34,619"
07/07/2021,"7.28","7.28","7.07","7.28","32,728"
07/06/2021,"7.02","7.17","6.92","7.13","60,378"
07/02/2021,"6.89","6.95","6.84","6.84","12,579"
07/01/2021,"6.73","6.87","6.57","6.84","38,476"
06/30/2021,"6.89","6.89","6.70","6.70","33,826"
06/29/2021,"7.17","7.18","6.90","6.90","74,227"
06/28/2021,"7.05","7.29","7.01","7.20","67,524"
06/25/2021,"7.19","7.23","7.01","7.05","40,897"
06/24/2021,"7.11","7.18","7.02","7.10","33,791"
06/23/2021,"7.24","7.27","7.03","7.16","47,807"
06/22/2021,"7.05","7.68","7.05","7.68","20,412"
06/21/2021,"7.23","7.30","7.00","7.13","20,030"
06/18/2021,"7.50","7.50","7.23","7.23","24,745"
06/17/2021,"7.37","7.37","7.17","7.23","27,280"
06/16/2021,"7.55","7.55","7.31","7.37","32,238"
06/15/2021,"7.75","7.97","7.67","7.68","31,740"
06/14/2021,"8.00","8.20","7.91","8.09","48,557"
06/11/2021,"8.04","8.04","7.81","7.97","32,467"
06/10/2021,"7.63","7.90","7.60","7.90","45,607"
06/09/2021,"7.28","7.79","7.22","7.67","79,557"
06/08/2021,"7.19","7.34","7.03","7.04","53,243"
06/07/2021,"6.68","7.13","6.50","7.05","74,833"
06/04/2021,"6.54","6.64","6.37","6.46","26,701"
06/03/2021,"6.60","6.62","6.27","6.52","72,399"
06/02/2021,"6.83","6.89","6.60","6.67","30,512"
06/01/2021,"6.94","6.94","6.60","6.70","53,069"
05/28/2021,"7.09","7.13","7.00","7.00","17,406"
05/27/2021,"6.76","7.10","6.60","6.93","37,332"
05/26/2021,"6.75","6.89","6.60","6.77","60,079"
05/25/2021,"7.08","7.08","6.83","7.02","34,349"
05/24/2021,"7.48","7.48","7.19","7.28","33,062"
05/21/2021,"7.65","7.68","7.55","7.63","11,671"
05/20/2021,"7.61","7.61","7.43","7.45","19,747"
05/19/2021,"7.57","7.65","7.21","7.65","19,138"
05/18/2021,"7.72","7.72","7.60","7.60","18,360"
05/17/2021,"7.47","7.56","7.21","7.56","9,262"
05/14/2021,"7.64","7.64","7.29","7.47","9,649"
05/13/2021,"7.29","7.48","7.12","7.48","33,288"
05/12/2021,"7.57","7.60","7.26","7.33","22,115"
05/11/2021,"7.60","7.75","7.23","7.40","98,677"
05/10/2021,"8.11","8.35","7.66","7.81","49,399"
05/07/2021,"8.15","8.37","8.13","8.24","27,360"
05/06/2021,"7.97","8.17","7.78","7.95","25,095"
05/05/2021,"7.90","8.08","7.72","7.77","34,847"
05/04/2021,"7.86","7.89","7.65","7.80","50,774"
05/03/2021,"8.70","8.70","8.10","8.17","49,814"
04/30/2021,"9.03","9.03","8.50","8.62","23,443"
04/29/2021,"8.60","9.29","8.28","9.29","18,969"
04/28/2021,"8.70","8.72","8.29","8.43","45,023"
04/27/2021,"8.50","8.80","8.43","8.69","29,737"
04/26/2021,"8.11","8.43","7.92","8.31","48,208"
04/23/2021,"7.80","7.80","7.61","7.77","30,354"
04/22/2021,"7.70","8.13","7.63","7.70","64,994"
04/21/2021,"8.08","8.10","7.55","7.88","80,596"
04/20/2021,"8.40","8.62","8.05","8.20","64,273"
04/19/2021,"8.98","8.98","8.30","8.34","46,094"
04/16/2021,"8.50","8.92","8.37","8.87","38,373"
04/15/2021,"8.77","8.83","8.39","8.39","41,047"
04/14/2021,"9.10","9.10","8.40","8.56","78,535"
04/13/2021,"9.33","9.33","8.88","8.90","34,745"
04/12/2021,"9.59","9.59","9.09","9.23","41,605"
04/09/2021,"9.70","9.76","9.51","9.59","26,420"
04/08/2021,"9.63","9.63","9.40","9.51","17,279"
04/07/2021,"9.70","9.72","9.36","9.37","34,957"
04/06/2021,"9.70","9.79","9.50","9.72","31,645"
04/05/2021,"9.90","9.92","9.52","9.65","50,418"
04/01/2021,"9.52","9.62","9.04","9.34","56,406"
03/31/2021,"9.67","9.67","9.30","9.33","60,898"
03/30/2021,"9.99","9.99","9.51","9.62","111,838"
03/29/2021,"9.29","9.92","9.29","9.75","98,055"
03/26/2021,"9.18","9.31","8.88","9.01","96,097"
03/25/2021,"9.50","9.60","9.00","9.12","92,964"
03/24/2021,"10.23","10.62","9.36","9.49","145,262"
03/23/2021,"10.50","10.89","10.19","10.23","107,612"
03/22/2021,"10.85","11.24","10.70","10.80","110,472"
03/19/2021,"10.21","10.85","10.21","10.85","82,170"
03/18/2021,"10.98","10.98","10.30","10.36","136,316"
03/17/2021,"10.60","10.99","10.37","10.99","150,798"
03/16/2021,"11.18","11.32","9.65","10.85","631,794"
03/15/2021,"10.90","11.79","10.40","11.18","2,180,536"
03/12/2021,"9.47","10.49","7.84","10.00","1,108,950"
