Date,Open,High,Low,Close,Volume
08/20/2021,"3.01","3.13","2.95","3.01","220,166"
08/19/2021,"3.15","3.25","2.96","2.98","293,187"
08/18/2021,"3.09","3.28","3.06","3.22","176,187"
08/17/2021,"3.36","3.37","3.10","3.10","228,931"
08/16/2021,"3.33","3.45","3.30","3.36","152,647"
08/13/2021,"3.62","3.63","3.28","3.30","318,853"
08/12/2021,"3.69","3.91","3.51","3.67","678,239"
08/11/2021,"3.73","3.98","3.42","3.65","1,235,968"
08/10/2021,"3.35","3.85","3.28","3.83","1,294,087"
08/09/2021,"3.36","3.37","3.23","3.29","225,492"
08/06/2021,"3.29","3.40","3.28","3.34","197,498"
08/05/2021,"3.31","3.49","3.25","3.28","327,693"
08/04/2021,"3.51","3.55","3.28","3.38","463,628"
08/03/2021,"3.79","3.90","3.56","3.63","421,946"
08/02/2021,"3.89","4.00","3.79","3.87","290,482"
07/30/2021,"3.94","4.05","3.82","3.88","309,500"
07/29/2021,"4.12","4.18","3.95","4.01","235,262"
07/28/2021,"3.96","4.14","3.93","4.07","436,401"
07/27/2021,"4.25","4.42","3.88","4.04","929,559"
07/26/2021,"4.10","5.63","4.05","4.29","12,148,810"
07/23/2021,"4.16","5.28","4.13","4.23","3,123,539"
07/22/2021,"4.47","4.78","4.14","4.16","1,983,596"
07/21/2021,"3.99","4.63","3.85","4.61","2,937,524"
07/20/2021,"4.09","4.53","3.90","4.10","2,663,274"
07/19/2021,"4.93","5.00","3.79","4.17","2,716,285"
07/16/2021,"5.50","5.55","4.80","5.30","1,017,356"
07/15/2021,"5.19","7.31","4.75","5.49","8,100,264"
07/14/2021,"6.13","7.30","4.50","5.01","2,707,209"
07/13/2021,"9.84","10.30","6.70","7.20","2,550,657"
07/12/2021,"15.04","19.80","10.10","10.84","5,954,513"
07/09/2021,"24.42","25.50","15.19","15.95","2,648,750"
07/08/2021,"12.00","27.31","12.00","24.00","2,479,361"
