Date,Open,High,Low,Close,Volume
08/20/2021,"24.92","25.73","24.71","25.49","300,522"
08/19/2021,"24.00","24.58","24.00","24.47","159,632"
08/18/2021,"23.90","24.38","23.40","23.90","213,483"
08/17/2021,"24.90","25.06","23.68","23.80","152,864"
08/16/2021,"25.05","25.13","24.56","25.10","98,958"
08/13/2021,"25.30","25.63","24.85","25.24","94,977"
08/12/2021,"23.55","25.61","23.42","25.11","144,721"
08/11/2021,"23.80","24.46","23.55","23.86","169,126"
08/10/2021,"23.36","23.95","23.17","23.89","118,131"
08/09/2021,"23.48","23.81","23.00","23.53","379,726"
08/06/2021,"24.00","24.05","23.46","23.68","148,104"
08/05/2021,"23.86","24.50","23.45","24.00","341,402"
08/04/2021,"24.40","24.65","23.73","23.97","196,142"
08/03/2021,"24.07","24.92","24.00","24.46","1,443,831"
08/02/2021,"24.19","24.50","23.61","24.31","586,363"
07/30/2021,"25.00","25.43","23.70","23.74","704,986"
07/29/2021,"24.25","24.98","24.25","24.55","425,914"
07/28/2021,"26.50","26.84","24.01","24.60","5,634,849"
