Date,Open,High,Low,Close,Volume
08/20/2021,"13.08","13.43","12.37","12.40","432,804"
08/19/2021,"13.75","14.40","12.74","12.96","1,678,602"
08/18/2021,"13.20","13.48","12.96","13.11","1,521,384"
08/17/2021,"13.01","13.27","12.70","13.03","788,333"
08/16/2021,"13.66","13.71","12.83","13.07","376,005"
08/13/2021,"14.15","14.15","13.60","13.79","221,934"
08/12/2021,"14.56","14.56","13.50","14.10","367,136"
08/11/2021,"15.76","15.80","14.54","14.56","600,531"
08/10/2021,"15.50","16.01","15.39","15.73","647,515"
08/09/2021,"15.78","15.78","14.70","15.36","898,342"
08/06/2021,"15.87","16.05","14.89","15.81","622,180"
08/05/2021,"16.47","16.65","15.94","15.95","225,918"
08/04/2021,"16.48","16.92","16.35","16.45","188,766"
08/03/2021,"16.52","16.82","16.11","16.49","467,583"
08/02/2021,"16.92","17.34","16.81","16.97","332,571"
07/30/2021,"16.85","17.28","16.73","16.89","401,830"
07/29/2021,"17.81","17.88","16.60","16.90","672,036"
07/28/2021,"16.04","17.84","15.75","17.68","1,177,872"
07/27/2021,"16.56","16.75","14.82","15.01","2,368,493"
07/26/2021,"16.51","17.00","15.84","16.93","1,148,690"
07/23/2021,"17.38","17.50","16.11","17.16","1,176,235"
07/22/2021,"18.06","18.23","17.63","17.91","213,337"
07/21/2021,"17.80","18.36","17.49","18.23","321,838"
07/20/2021,"17.37","18.00","17.21","17.81","554,083"
07/19/2021,"17.10","17.54","16.86","17.25","601,965"
07/16/2021,"17.57","17.63","17.18","17.35","745,384"
07/15/2021,"18.36","18.47","17.51","17.56","524,649"
07/14/2021,"18.51","18.58","17.97","18.51","796,167"
07/13/2021,"18.75","19.33","18.70","18.92","541,795"
07/12/2021,"18.07","18.76","17.89","18.74","486,917"
07/09/2021,"17.98","18.17","17.43","18.11","426,175"
07/08/2021,"17.80","17.91","17.31","17.56","886,468"
07/07/2021,"19.52","19.60","18.02","18.19","502,802"
07/06/2021,"19.32","19.66","19.23","19.51","416,057"
07/02/2021,"20.05","20.08","19.36","19.43","268,056"
07/01/2021,"20.77","20.77","20.03","20.04","185,864"
06/30/2021,"20.39","20.92","20.18","20.79","507,262"
06/29/2021,"21.11","21.11","19.99","20.43","928,028"
06/28/2021,"20.97","21.47","20.67","21.08","1,024,995"
06/25/2021,"21.30","21.30","20.46","20.85","2,347,594"
06/24/2021,"21.10","21.41","20.84","21.00","985,986"
06/23/2021,"21.55","21.78","20.91","20.91","643,696"
06/22/2021,"22.16","22.42","21.43","21.49","421,715"
06/21/2021,"22.52","22.77","22.09","22.09","311,156"
06/18/2021,"22.64","24.68","22.36","22.90","4,522,554"
06/17/2021,"22.96","23.43","22.51","22.60","433,928"
06/16/2021,"22.88","23.63","22.52","22.96","537,391"
06/15/2021,"23.62","23.88","22.51","23.19","427,194"
06/14/2021,"23.49","24.05","23.24","23.62","416,857"
06/11/2021,"23.35","23.59","23.11","23.51","493,424"
06/10/2021,"23.37","23.76","23.16","23.31","590,720"
06/09/2021,"22.64","23.80","22.26","23.37","1,212,094"
06/08/2021,"21.74","22.79","21.51","22.64","529,235"
06/07/2021,"21.94","21.94","21.35","21.64","219,750"
06/04/2021,"22.11","22.16","21.52","21.94","338,146"
06/03/2021,"21.95","22.41","21.60","22.11","766,151"
06/02/2021,"22.09","22.48","21.80","22.40","639,674"
06/01/2021,"21.37","22.61","21.20","22.46","3,457,992"
05/28/2021,"21.91","22.00","20.86","21.08","2,947,104"
05/27/2021,"23.50","23.50","21.50","21.86","2,799,469"
05/26/2021,"23.85","24.30","22.99","23.49","573,120"
05/25/2021,"24.61","25.17","23.53","23.74","627,448"
05/24/2021,"23.99","25.39","22.68","24.99","773,753"
05/21/2021,"23.76","24.39","23.29","23.76","379,376"
05/20/2021,"23.67","24.17","23.21","23.72","184,254"
05/19/2021,"22.55","23.93","22.10","23.50","710,969"
05/18/2021,"23.81","23.91","22.80","22.82","338,564"
05/17/2021,"24.03","24.46","23.43","23.52","163,999"
05/14/2021,"22.60","24.31","22.55","24.26","271,074"
05/13/2021,"23.15","23.66","22.20","22.75","283,587"
05/12/2021,"23.53","23.82","22.54","23.00","364,160"
05/11/2021,"22.29","24.30","22.04","24.01","490,011"
05/10/2021,"24.50","24.54","22.72","22.91","2,054,408"
05/07/2021,"25.75","26.32","24.35","24.68","208,261"
05/06/2021,"25.26","25.87","24.75","25.85","662,915"
05/05/2021,"26.42","26.58","25.01","25.26","273,451"
05/04/2021,"27.00","27.03","25.98","26.43","226,377"
05/03/2021,"26.81","27.22","26.59","27.07","166,873"
04/30/2021,"26.44","27.07","25.97","26.90","158,320"
04/29/2021,"27.00","27.10","25.50","26.44","316,672"
04/28/2021,"28.55","28.55","27.30","27.53","919,059"
04/27/2021,"27.15","27.99","27.06","27.84","179,139"
04/26/2021,"27.32","27.66","27.05","27.39","642,570"
04/23/2021,"26.56","27.60","26.52","27.44","176,146"
04/22/2021,"26.20","27.47","25.93","26.80","311,689"
04/21/2021,"24.10","26.34","24.10","26.08","671,629"
04/20/2021,"24.80","25.67","23.85","23.98","558,266"
04/19/2021,"24.83","24.95","24.21","24.57","197,818"
04/16/2021,"26.10","26.42","24.51","24.84","423,815"
04/15/2021,"27.56","27.79","25.86","26.05","532,795"
04/14/2021,"27.27","27.82","26.88","27.21","514,709"
04/13/2021,"25.48","28.17","25.34","27.36","540,628"
04/12/2021,"24.70","25.30","24.64","24.95","500,086"
04/09/2021,"24.80","25.23","24.62","24.69","1,169,775"
04/08/2021,"25.51","25.74","24.81","24.89","672,590"
04/07/2021,"25.00","25.47","24.62","25.43","422,833"
04/06/2021,"24.66","25.10","23.88","24.91","1,263,963"
04/05/2021,"24.18","25.16","23.85","24.90","1,090,531"
04/01/2021,"24.29","24.47","23.97","24.07","506,393"
03/31/2021,"22.55","24.35","22.49","24.02","952,367"
03/30/2021,"22.50","23.01","21.15","22.54","1,099,640"
03/29/2021,"21.51","23.86","21.36","22.48","1,413,306"
03/26/2021,"21.22","22.10","20.80","21.53","2,871,184"
03/25/2021,"20.52","21.20","20.24","20.75","453,015"
03/24/2021,"21.43","22.18","20.58","21.20","1,245,845"
03/23/2021,"22.18","22.32","21.34","21.69","938,571"
03/22/2021,"23.68","24.00","22.22","22.92","774,303"
03/19/2021,"24.18","24.45","23.62","23.67","812,712"
03/18/2021,"24.16","24.45","23.65","24.09","582,601"
03/17/2021,"24.20","24.39","23.40","24.00","664,837"
03/16/2021,"25.10","25.30","23.99","24.31","474,991"
03/15/2021,"25.00","25.31","24.29","24.81","808,576"
03/12/2021,"24.00","25.34","23.72","25.00","492,077"
03/11/2021,"24.86","25.03","24.00","24.40","1,098,335"
03/10/2021,"24.87","25.33","23.45","24.26","766,957"
03/09/2021,"23.86","25.45","23.86","24.59","739,226"
03/08/2021,"25.92","26.50","22.72","22.93","1,327,169"
03/05/2021,"27.62","28.13","26.00","26.70","1,442,657"
03/04/2021,"28.21","29.54","26.24","27.88","1,890,904"
03/03/2021,"28.98","29.70","28.50","29.20","1,098,993"
03/02/2021,"28.00","28.66","27.27","28.59","807,699"
03/01/2021,"27.62","28.20","27.27","28.05","1,061,623"
02/26/2021,"27.92","27.94","25.75","26.67","953,195"
02/25/2021,"30.63","31.00","27.06","27.18","1,638,229"
02/24/2021,"29.67","29.82","27.84","28.09","1,129,617"
02/23/2021,"28.80","30.30","27.64","29.71","890,138"
02/22/2021,"29.10","31.13","28.53","30.37","809,906"
02/19/2021,"32.20","32.70","29.32","29.54","994,305"
02/18/2021,"32.00","32.50","30.30","31.75","843,532"
02/17/2021,"34.00","34.38","32.75","33.39","561,574"
02/16/2021,"34.64","34.64","32.90","33.05","739,921"
02/12/2021,"32.02","34.14","32.02","33.64","264,582"
02/11/2021,"32.90","33.26","31.81","32.25","381,197"
02/10/2021,"34.48","34.99","32.22","32.59","904,022"
02/09/2021,"34.51","35.21","33.16","34.10","712,112"
02/08/2021,"29.79","35.19","29.58","34.77","1,100,069"
02/05/2021,"30.70","30.71","29.34","30.30","676,946"
02/04/2021,"31.49","31.49","30.10","30.43","509,576"
02/03/2021,"30.17","31.39","29.81","31.12","663,722"
02/02/2021,"31.21","31.32","29.80","30.04","692,159"
02/01/2021,"32.14","32.35","30.20","31.21","792,450"
01/29/2021,"30.82","32.32","29.75","31.50","489,741"
01/28/2021,"29.30","31.66","29.04","31.02","864,208"
01/27/2021,"29.62","29.75","28.10","29.31","1,693,896"
01/26/2021,"33.75","33.75","30.31","30.79","1,108,957"
01/25/2021,"31.52","34.99","30.55","33.99","2,351,125"
01/22/2021,"30.10","30.62","29.51","30.38","1,066,488"
01/21/2021,"31.91","31.95","28.68","30.33","1,392,262"
01/20/2021,"31.28","32.66","31.28","32.14","1,326,416"
01/19/2021,"29.19","30.98","28.89","30.32","852,338"
01/15/2021,"29.06","29.35","28.20","28.59","757,607"
01/14/2021,"30.98","31.11","29.05","29.48","772,889"
01/13/2021,"30.78","31.43","29.62","30.59","1,442,519"
01/12/2021,"29.10","31.21","29.02","31.09","1,848,762"
01/11/2021,"27.16","29.31","26.25","29.05","1,217,957"
01/08/2021,"28.28","28.65","27.24","27.90","893,410"
01/07/2021,"28.61","29.50","27.77","28.50","1,907,682"
01/06/2021,"26.54","29.25","26.54","29.00","1,503,043"
01/05/2021,"25.42","26.88","25.42","26.74","547,487"
01/04/2021,"26.42","26.70","25.22","25.42","942,361"
12/31/2020,"26.39","27.38","26.18","26.39","679,405"
12/30/2020,"26.81","27.40","25.64","26.37","1,367,895"
12/29/2020,"26.83","27.26","26.00","26.68","937,491"
12/28/2020,"29.59","29.66","24.33","25.63","2,710,064"
12/24/2020,"29.93","31.60","29.55","31.04","1,001,940"
12/23/2020,"27.50","30.24","27.37","29.54","1,786,359"
12/22/2020,"27.85","28.50","26.80","27.74","1,787,514"
12/21/2020,"23.99","28.80","23.83","27.85","2,623,846"
12/18/2020,"24.40","24.69","23.01","23.90","2,643,674"
12/17/2020,"23.50","24.40","23.43","24.20","2,162,962"
12/16/2020,"23.20","23.99","22.22","22.99","1,380,736"
12/15/2020,"22.10","23.33","21.22","23.18","1,327,164"
12/14/2020,"23.33","23.35","21.86","22.17","894,795"
12/11/2020,"21.80","23.11","21.80","22.84","837,011"
12/10/2020,"21.51","23.19","21.32","21.94","1,758,760"
12/09/2020,"21.03","21.83","20.81","20.93","876,504"
12/08/2020,"20.55","21.75","20.50","20.79","784,897"
12/07/2020,"21.77","22.10","20.04","20.30","732,443"
12/04/2020,"20.17","22.08","20.16","21.96","878,346"
12/03/2020,"19.60","20.20","19.42","19.94","387,888"
12/02/2020,"19.98","19.99","19.28","19.70","260,149"
12/01/2020,"19.94","20.54","19.75","20.10","582,760"
11/30/2020,"20.10","20.18","19.11","19.94","332,770"
11/27/2020,"20.00","20.34","19.02","20.10","1,114,854"
11/25/2020,"18.08","20.44","18.05","20.00","1,653,190"
11/24/2020,"18.42","18.42","17.98","18.02","1,027,102"
11/23/2020,"19.15","19.35","18.35","18.37","691,707"
11/20/2020,"19.71","19.73","18.94","19.01","593,591"
11/19/2020,"19.86","19.89","18.85","19.73","404,960"
11/18/2020,"20.00","20.18","18.80","19.95","412,890"
11/17/2020,"20.20","20.33","19.84","20.00","414,933"
11/16/2020,"20.50","20.70","20.02","20.46","803,236"
11/13/2020,"20.29","20.63","19.99","20.11","576,273"
11/12/2020,"20.72","21.00","19.91","20.03","937,572"
11/11/2020,"21.08","21.43","20.57","20.72","697,823"
11/10/2020,"22.74","22.74","20.72","21.07","1,491,005"
11/09/2020,"22.54","24.79","21.98","22.91","3,168,764"
11/06/2020,"20.15","20.67","19.57","20.45","449,086"
11/05/2020,"20.40","20.79","19.95","20.39","631,325"
11/04/2020,"20.24","21.20","19.16","20.45","882,239"
11/03/2020,"19.05","20.65","18.99","20.24","552,307"
11/02/2020,"19.00","19.31","18.70","19.30","881,524"
10/30/2020,"18.80","19.16","18.80","19.10","508,621"
10/29/2020,"19.06","19.31","18.75","19.00","893,699"
10/28/2020,"18.50","19.69","18.50","19.00","1,045,038"
10/27/2020,"18.45","19.05","18.45","19.04","849,992"
10/26/2020,"19.27","19.27","18.34","18.45","1,881,572"
10/23/2020,"20.30","20.30","19.00","19.42","1,367,450"
10/22/2020,"21.30","21.30","20.01","20.15","700,507"
10/21/2020,"20.30","22.50","20.28","21.05","2,718,086"
10/20/2020,"21.60","22.12","19.46","20.00","2,263,556"
10/19/2020,"23.76","23.89","20.65","20.88","4,074,151"
10/16/2020,"22.01","24.49","21.78","23.18","7,598,618"
10/15/2020,"24.40","24.90","20.65","20.88","21,652,900"
