Date,Open,High,Low,Close,Volume
08/20/2021,"4.0500","4.1750","4.0500","4.1750","1,234"
08/19/2021,"4.2000","4.3000","4.0100","4.0200","22,820"
08/18/2021,"4.2000","4.3000","4.0100","4.3000","23,151"
08/17/2021,"4.2500","4.3000","4.1500","4.2000","25,726"
08/16/2021,"4.2800","4.2800","4.1500","4.1800","8,796"
08/13/2021,"4.2000","4.2900","4.1700","4.2700","12,122"
08/12/2021,"4.2630","4.3000","4.2200","4.3000","5,503"
08/11/2021,"4.2000","4.2700","4.1500","4.2600","31,322"
08/10/2021,"4.3700","4.4700","4.1500","4.2900","22,069"
08/09/2021,"4.4150","4.5000","4.2636","4.4300","2,648"
08/06/2021,"4.4600","4.5100","4.1900","4.5000","26,740"
08/05/2021,"4.3100","4.4400","4.2750","4.4400","3,074"
08/04/2021,"4.4599","4.4599","4.1700","4.3200","9,477"
08/03/2021,"4.1300","4.4300","4.1300","4.2400","29,665"
08/02/2021,"4.4300","4.4300","4.0600","4.1000","23,415"
07/30/2021,"4.5300","4.5300","4.3200","4.4700","20,532"
07/29/2021,"4.4700","4.5300","4.4400","4.5100","3,457"
07/28/2021,"4.6000","4.6000","4.4500","4.4500","10,865"
07/27/2021,"4.5000","4.6800","4.4900","4.6200","10,670"
07/26/2021,"4.5500","4.7100","4.4500","4.4800","10,758"
07/23/2021,"4.4500","4.7426","4.3700","4.5500","11,485"
07/22/2021,"4.7000","4.7500","4.3001","4.4100","44,089"
07/21/2021,"4.7870","5.2900","4.6600","4.7000","519,607"
07/20/2021,"4.7300","4.8100","4.6700","4.7000","41,517"
07/19/2021,"4.8000","5.0300","4.7200","4.7200","7,087"
07/16/2021,"4.8000","4.8000","4.6200","4.8000","20,374"
07/15/2021,"4.8100","4.9250","4.7000","4.8000","20,450"
07/14/2021,"5.0300","5.0300","4.8614","4.9400","4,719"
07/13/2021,"4.8000","5.2000","4.8000","5.0500","48,420"
07/12/2021,"4.9900","4.9900","4.8285","4.9900","5,011"
07/09/2021,"4.8600","5.0100","4.8200","4.9900","49,864"
07/08/2021,"5.0900","5.0900","4.8400","4.9000","12,073"
07/07/2021,"5.1100","5.1800","4.7000","4.8300","37,987"
07/06/2021,"5.3500","5.3800","4.8503","5.1100","40,430"
07/02/2021,"5.0900","5.6900","5.0900","5.4000","113,690"
07/01/2021,"5.0900","5.1000","5.0400","5.0800","7,900"
06/30/2021,"4.9400","5.1000","4.8500","5.0900","41,476"
06/29/2021,"4.8640","4.9500","4.8500","4.9100","8,291"
06/28/2021,"5.0200","5.0200","4.7010","4.9900","81,149"
06/25/2021,"5.0000","5.0800","4.6800","5.0200","73,097"
06/24/2021,"4.7900","5.1500","4.5900","5.0000","74,280"
06/23/2021,"4.6100","4.7900","4.4100","4.5900","117,275"
06/22/2021,"4.8950","4.9000","4.5200","4.6800","76,811"
06/21/2021,"4.9600","4.9600","4.8300","4.8900","49,257"
06/18/2021,"5.1800","5.1800","4.8000","4.8100","153,148"
06/17/2021,"5.0600","5.2100","5.0500","5.1700","49,845"
06/16/2021,"4.9100","5.1000","4.7500","5.0000","178,844"
06/15/2021,"5.1800","5.1900","4.9000","4.9500","105,413"
06/14/2021,"5.2000","5.2000","5.0500","5.1400","62,317"
06/11/2021,"5.0300","5.1816","5.0300","5.1500","22,161"
06/10/2021,"4.9700","5.0900","4.9000","5.0300","88,091"
