Date,Open,High,Low,Close,Volume
08/11/2021,"30.26","31.45","29.90","30.07","1,728,627"
08/10/2021,"30.06","30.75","29.19","30.11","821,406"
08/09/2021,"28.31","30.35","27.85","30.17","1,634,213"
08/06/2021,"27.73","27.80","27.16","27.28","238,047"
08/05/2021,"27.99","28.05","27.41","27.54","260,842"
08/04/2021,"26.66","28.75","26.18","27.84","963,784"
08/03/2021,"27.18","27.43","26.40","26.60","1,414,182"
08/02/2021,"27.00","27.52","26.44","27.18","1,427,068"
07/30/2021,"27.74","27.96","25.82","26.83","1,918,521"
07/29/2021,"27.52","28.23","27.37","27.68","974,551"
07/28/2021,"26.73","27.68","26.62","27.19","1,002,255"
07/27/2021,"26.00","26.59","25.40","26.56","1,218,944"
07/26/2021,"26.70","26.79","25.72","26.00","400,570"
07/23/2021,"26.79","26.93","26.30","26.77","491,311"
07/22/2021,"26.55","26.99","26.36","26.79","452,506"
07/21/2021,"26.07","26.63","26.07","26.60","396,506"
07/20/2021,"26.37","26.75","25.83","26.07","786,606"
07/19/2021,"25.75","27.18","25.12","26.18","691,879"
07/16/2021,"25.90","26.67","25.80","26.53","633,474"
07/15/2021,"25.00","26.30","24.54","25.94","1,323,389"
07/14/2021,"26.39","26.39","24.01","25.09","2,142,957"
07/13/2021,"25.50","27.45","23.83","26.39","3,629,083"
07/12/2021,"26.94","27.00","25.58","25.64","1,219,976"
07/09/2021,"27.10","27.37","26.75","26.78","1,414,032"
07/08/2021,"27.25","27.78","25.70","27.03","2,536,254"
07/07/2021,"29.00","29.20","27.40","27.91","891,163"
07/06/2021,"29.64","29.68","28.15","28.70","1,114,570"
07/02/2021,"28.68","29.83","28.40","29.69","1,224,637"
07/01/2021,"27.87","29.90","27.86","28.10","2,508,196"
06/30/2021,"28.23","30.38","27.72","28.07","1,638,091"
06/29/2021,"28.31","28.39","27.52","28.15","1,067,729"
06/28/2021,"29.06","29.06","27.33","28.12","1,193,165"
06/25/2021,"30.19","30.19","28.16","28.50","1,453,828"
06/24/2021,"29.45","30.27","29.14","30.08","2,232,637"
06/23/2021,"29.35","29.56","29.04","29.25","557,404"
06/22/2021,"29.87","30.18","28.88","29.20","936,808"
06/21/2021,"30.49","30.56","29.74","30.00","1,520,599"
06/18/2021,"29.50","30.30","29.37","30.20","1,133,614"
06/17/2021,"30.14","30.85","29.02","29.70","1,521,525"
06/16/2021,"31.57","31.68","29.52","29.97","1,573,473"
06/15/2021,"32.27","32.27","30.30","31.99","5,372,516"
06/14/2021,"31.56","32.54","31.08","32.00","2,916,759"
06/11/2021,"30.89","31.98","30.20","31.50","3,558,627"
06/10/2021,"31.13","31.49","28.90","29.90","6,395,311"
06/09/2021,"32.50","32.75","28.62","30.52","29,495,320"
