Date,Open,High,Low,Close,Volume
08/20/2021,"58.75","60.93","58.49","60.62","836,012"
08/19/2021,"56.93","59.48","55.51","58.31","650,768"
08/18/2021,"59.20","60.17","57.21","57.35","802,595"
08/17/2021,"55.00","59.20","54.45","58.86","1,635,154"
08/16/2021,"57.79","57.98","54.80","55.21","697,029"
08/13/2021,"55.21","57.98","55.21","57.70","1,173,219"
08/12/2021,"50.08","55.30","50.08","55.12","1,543,257"
08/11/2021,"56.68","56.68","49.28","50.00","2,111,715"
08/10/2021,"52.92","53.32","48.24","50.04","2,067,607"
08/09/2021,"54.05","54.17","52.50","53.02","1,600,984"
08/06/2021,"53.24","54.07","52.05","53.78","601,664"
08/05/2021,"51.61","53.37","50.28","53.37","834,990"
08/04/2021,"48.04","52.37","48.01","51.96","1,399,390"
08/03/2021,"44.50","48.10","44.19","47.72","1,772,399"
08/02/2021,"44.31","45.12","43.18","44.32","801,250"
07/30/2021,"42.97","44.05","42.90","43.97","590,107"
07/29/2021,"42.79","43.33","42.54","43.02","309,551"
07/28/2021,"41.60","43.12","41.50","42.78","503,050"
07/27/2021,"41.41","41.98","40.33","41.30","439,609"
07/26/2021,"42.06","42.37","41.25","41.54","396,036"
07/23/2021,"41.73","42.16","41.03","42.00","427,228"
07/22/2021,"40.97","42.30","40.56","41.76","746,888"
07/21/2021,"39.90","40.95","38.57","40.76","1,064,357"
07/20/2021,"37.99","40.58","37.99","40.13","1,523,983"
07/19/2021,"36.27","38.37","36.13","37.81","991,678"
07/16/2021,"37.16","37.66","36.06","36.80","599,651"
07/15/2021,"36.90","37.54","36.32","37.24","815,346"
07/14/2021,"38.13","38.32","36.89","37.00","534,903"
07/13/2021,"39.35","39.47","37.36","37.95","859,945"
07/12/2021,"38.50","39.56","38.32","39.39","851,223"
07/09/2021,"38.89","39.40","37.84","38.51","1,010,119"
07/08/2021,"37.39","39.09","37.25","38.75","931,435"
07/07/2021,"39.84","39.99","37.18","38.18","1,730,467"
07/06/2021,"39.35","40.63","39.29","39.61","1,636,516"
07/02/2021,"40.26","40.72","38.96","39.27","2,006,384"
07/01/2021,"41.88","42.50","39.71","40.01","2,297,742"
06/30/2021,"43.00","43.00","41.58","41.73","764,271"
06/29/2021,"42.14","43.11","41.89","42.79","1,143,659"
06/28/2021,"42.91","43.79","41.83","42.32","1,657,898"
06/25/2021,"43.15","43.17","42.42","42.70","1,817,505"
06/24/2021,"43.08","44.13","42.78","43.17","818,408"
06/23/2021,"45.19","45.22","42.67","42.86","1,416,267"
06/22/2021,"44.62","45.02","44.26","44.93","940,019"
06/21/2021,"44.78","45.01","43.21","44.55","752,238"
06/18/2021,"44.85","45.19","44.15","44.85","2,431,882"
06/17/2021,"43.25","45.50","42.41","44.89","2,033,855"
06/16/2021,"44.28","45.35","43.99","44.47","1,563,144"
06/15/2021,"45.17","45.27","43.93","44.00","851,562"
06/14/2021,"45.25","45.79","44.17","45.00","1,116,611"
06/11/2021,"43.74","44.80","42.56","44.72","1,188,799"
06/10/2021,"42.08","44.22","41.78","43.65","2,069,667"
06/09/2021,"42.03","42.69","41.97","42.00","1,436,366"
06/08/2021,"41.92","42.67","41.40","41.74","1,001,361"
06/07/2021,"42.99","43.72","40.77","41.59","1,365,891"
06/04/2021,"40.67","43.24","40.67","42.71","2,088,012"
06/03/2021,"38.35","40.55","38.31","40.24","1,421,904"
06/02/2021,"37.93","39.07","37.51","38.54","819,175"
06/01/2021,"37.58","38.50","37.03","38.02","909,880"
05/28/2021,"37.68","38.46","37.22","37.54","654,814"
05/27/2021,"37.50","38.39","37.07","37.60","2,017,497"
05/26/2021,"36.53","37.88","36.14","37.70","726,434"
05/25/2021,"36.31","36.88","35.19","36.63","1,139,976"
05/24/2021,"37.55","37.60","36.01","36.20","1,131,646"
05/21/2021,"39.68","40.12","37.07","37.18","1,160,891"
05/20/2021,"38.97","39.62","38.58","39.25","735,749"
05/19/2021,"37.89","39.43","37.12","38.55","1,116,564"
05/18/2021,"38.75","41.00","38.01","38.45","1,127,838"
05/17/2021,"38.38","39.23","37.90","38.40","1,115,743"
05/14/2021,"37.01","38.30","37.01","37.93","861,954"
05/13/2021,"36.44","37.40","36.32","36.76","755,914"
05/12/2021,"34.80","36.39","34.28","36.18","1,235,461"
05/11/2021,"35.99","36.04","33.53","35.35","1,514,318"
05/10/2021,"37.34","37.80","35.01","35.82","1,570,796"
05/07/2021,"36.12","37.64","35.47","37.15","738,739"
05/06/2021,"36.96","37.20","34.99","35.58","609,658"
05/05/2021,"36.64","37.86","36.53","37.36","810,403"
05/04/2021,"38.75","39.00","36.20","36.31","1,147,196"
05/03/2021,"39.30","39.85","37.13","39.03","1,056,123"
04/30/2021,"37.89","39.22","37.51","38.91","1,208,475"
04/29/2021,"38.28","38.44","37.11","38.10","920,828"
04/28/2021,"37.94","38.28","37.21","37.87","1,531,230"
04/27/2021,"37.50","38.17","37.11","37.96","1,538,490"
04/26/2021,"36.66","38.47","36.66","37.55","1,376,043"
04/23/2021,"36.19","36.94","35.84","36.80","799,820"
04/22/2021,"35.42","36.75","35.11","35.83","499,826"
04/21/2021,"35.22","35.96","34.85","35.46","601,728"
04/20/2021,"36.71","37.20","35.00","35.49","1,046,305"
04/19/2021,"36.66","36.84","36.07","36.68","1,662,900"
04/16/2021,"36.63","37.16","36.24","36.68","750,862"
04/15/2021,"37.05","37.55","36.41","36.63","2,174,951"
04/14/2021,"37.13","38.59","36.27","36.95","1,423,441"
04/13/2021,"35.13","37.59","35.13","37.51","1,597,933"
04/12/2021,"34.44","35.35","33.24","34.98","2,740,772"
04/09/2021,"33.88","35.46","33.23","34.66","4,883,161"
04/08/2021,"33.97","34.30","32.97","33.25","6,333,681"
04/07/2021,"32.70","33.42","31.85","32.46","1,520,122"
04/06/2021,"32.61","33.92","32.00","32.82","1,365,113"
04/05/2021,"34.60","35.14","33.60","34.58","361,309"
04/01/2021,"36.00","36.48","34.04","34.17","563,397"
03/31/2021,"34.42","35.75","33.85","35.64","1,835,481"
03/30/2021,"32.07","34.12","31.29","33.99","1,240,978"
03/29/2021,"33.26","33.78","31.96","32.03","1,097,395"
03/26/2021,"33.99","34.49","32.30","33.44","1,319,416"
03/25/2021,"33.78","34.87","33.01","33.96","798,806"
03/24/2021,"36.54","36.75","34.09","34.55","787,653"
03/23/2021,"36.86","36.90","35.80","36.37","607,947"
03/22/2021,"35.41","37.20","35.20","36.82","694,203"
03/19/2021,"35.50","36.03","35.16","35.36","8,430,731"
03/18/2021,"36.92","37.50","35.11","35.15","1,193,992"
03/17/2021,"36.73","38.31","36.50","37.48","1,397,730"
03/16/2021,"38.32","39.50","37.17","37.50","1,157,704"
03/15/2021,"35.95","38.58","35.94","38.49","1,504,565"
03/12/2021,"35.56","36.68","35.31","36.05","938,892"
03/11/2021,"36.32","37.33","36.05","36.52","1,148,407"
03/10/2021,"36.03","37.40","35.09","35.50","1,180,730"
