Date,Open,High,Low,Close,Volume
08/12/2021,"29.20","30.11","28.62","29.58","112,517"
08/11/2021,"30.07","30.99","29.02","29.23","357,684"
08/10/2021,"29.39","30.29","29.30","30.00","38,253"
08/09/2021,"29.05","30.32","28.53","29.42","100,587"
08/06/2021,"29.29","29.33","28.94","29.32","44,194"
08/05/2021,"28.61","29.50","28.00","29.25","64,332"
08/04/2021,"29.91","30.30","28.68","29.00","270,095"
08/03/2021,"29.65","30.20","29.21","30.19","62,619"
08/02/2021,"29.00","30.40","28.75","29.92","94,570"
07/30/2021,"28.95","29.90","28.75","28.84","197,637"
07/29/2021,"29.38","30.08","29.19","29.46","65,594"
07/28/2021,"28.86","29.14","28.53","28.90","97,141"
07/27/2021,"29.02","29.20","28.12","28.85","148,132"
07/26/2021,"30.06","30.42","28.55","28.82","165,880"
07/23/2021,"30.75","30.75","29.65","30.24","76,698"
07/22/2021,"30.33","30.39","29.45","30.38","125,026"
07/21/2021,"29.55","30.39","29.45","29.80","103,761"
07/20/2021,"28.01","29.21","27.56","29.11","120,270"
07/19/2021,"28.00","29.25","27.39","27.81","138,922"
07/16/2021,"29.03","29.42","28.21","28.72","139,727"
07/15/2021,"29.76","30.51","28.79","28.79","178,629"
07/14/2021,"31.27","31.75","29.99","30.17","214,355"
07/13/2021,"31.17","31.50","30.75","31.30","124,622"
07/12/2021,"30.74","31.49","30.11","31.40","158,334"
07/09/2021,"29.37","30.97","28.85","30.79","294,649"
07/08/2021,"29.41","30.64","28.46","29.22","386,598"
07/07/2021,"31.69","32.03","29.72","29.98","269,745"
07/06/2021,"31.43","32.29","30.85","31.62","305,694"
07/02/2021,"30.47","32.25","30.20","31.81","543,675"
07/01/2021,"30.71","30.93","30.05","30.68","479,569"
06/30/2021,"30.89","30.89","30.15","30.43","404,539"
06/29/2021,"31.10","31.35","30.35","30.71","192,816"
06/28/2021,"31.07","31.29","30.41","30.69","219,284"
06/25/2021,"31.06","31.42","30.76","30.86","222,754"
06/24/2021,"30.40","31.13","29.92","31.00","239,700"
06/23/2021,"29.92","30.89","29.80","30.28","202,800"
06/22/2021,"30.95","30.95","29.80","29.99","171,657"
06/21/2021,"30.99","31.08","30.11","30.78","496,975"
06/18/2021,"31.02","31.73","30.20","30.78","211,885"
06/17/2021,"30.15","31.49","30.03","31.47","272,630"
06/16/2021,"30.31","30.83","29.70","30.50","581,444"
