Date,Open,High,Low,Close,Volume
08/30/2021,"21.71","22.17","21.51","22.03","334,909"
08/27/2021,"21.46","22.06","21.09","21.84","223,272"
08/26/2021,"21.18","21.66","20.84","21.37","221,515"
08/25/2021,"20.71","21.15","20.41","20.92","394,039"
08/24/2021,"20.60","20.84","20.19","20.60","192,358"
08/23/2021,"20.25","20.72","19.93","20.55","190,719"
08/20/2021,"20.01","20.46","19.55","19.75","209,860"
08/19/2021,"20.19","20.37","19.91","20.13","256,285"
08/18/2021,"20.15","20.64","20.01","20.28","132,834"
08/17/2021,"21.17","21.45","20.07","20.30","277,026"
08/16/2021,"21.79","22.08","21.10","21.43","251,748"
08/13/2021,"21.96","22.14","21.02","22.00","143,329"
08/12/2021,"22.42","22.80","21.58","21.68","162,968"
08/11/2021,"22.89","22.95","22.44","22.52","252,473"
08/10/2021,"23.56","23.77","22.29","22.69","259,884"
08/09/2021,"22.96","23.79","22.96","23.44","585,998"
08/06/2021,"23.04","23.47","22.45","22.85","241,910"
08/05/2021,"23.95","24.00","23.03","23.05","218,703"
08/04/2021,"23.06","24.47","23.06","23.90","519,361"
08/03/2021,"22.90","23.19","22.19","23.12","161,705"
08/02/2021,"22.18","23.24","22.03","22.83","232,354"
07/30/2021,"23.19","23.28","21.89","21.97","205,221"
07/29/2021,"22.91","23.66","22.65","23.38","192,182"
07/28/2021,"22.94","23.46","22.51","22.85","214,878"
07/27/2021,"23.30","23.33","22.21","22.70","307,576"
07/26/2021,"23.00","23.96","22.80","23.35","267,514"
07/23/2021,"22.95","23.60","22.01","23.11","351,601"
07/22/2021,"21.83","23.74","21.75","22.69","721,148"
07/21/2021,"22.77","22.88","21.20","22.04","799,810"
07/20/2021,"20.63","23.79","20.42","22.65","1,118,707"
07/19/2021,"20.10","20.70","19.85","20.18","355,237"
07/16/2021,"20.07","20.42","19.81","20.23","207,914"
07/15/2021,"19.89","20.02","19.25","19.95","329,333"
07/14/2021,"20.26","20.39","19.85","20.07","138,336"
07/13/2021,"20.94","21.14","19.86","20.15","484,229"
07/12/2021,"21.15","21.24","20.47","20.96","242,462"
07/09/2021,"21.24","21.37","20.46","21.17","340,764"
07/08/2021,"21.20","21.39","20.53","21.36","491,646"
07/07/2021,"20.46","21.57","20.46","21.33","417,899"
07/06/2021,"21.01","21.22","20.25","20.57","373,248"
07/02/2021,"21.53","21.59","20.92","20.96","191,419"
07/01/2021,"22.10","22.11","21.45","21.61","275,540"
06/30/2021,"21.54","22.28","21.20","22.06","244,271"
06/29/2021,"21.93","21.93","21.09","21.47","476,333"
06/28/2021,"21.71","21.97","21.50","21.85","226,680"
06/25/2021,"22.51","22.72","21.75","21.87","2,745,292"
06/24/2021,"22.65","22.73","22.04","22.40","378,089"
06/23/2021,"23.95","24.20","22.59","22.60","614,688"
06/22/2021,"23.71","24.55","23.63","23.77","791,691"
06/21/2021,"24.02","24.48","23.45","23.70","762,246"
06/18/2021,"23.86","24.18","23.73","24.00","1,367,387"
06/17/2021,"23.94","24.02","23.56","23.91","524,327"
06/16/2021,"23.23","24.14","23.20","24.01","681,166"
06/15/2021,"22.98","23.34","22.50","23.32","380,809"
06/14/2021,"22.54","23.50","22.40","22.98","808,168"
06/11/2021,"22.53","22.82","21.82","22.14","576,428"
06/10/2021,"21.48","22.59","21.45","22.55","579,559"
06/09/2021,"22.12","22.28","20.73","21.35","519,315"
06/08/2021,"19.50","22.47","19.15","22.05","1,583,890"
06/07/2021,"19.17","19.22","18.68","18.93","333,368"
06/04/2021,"18.92","19.20","18.70","19.17","240,644"
06/03/2021,"19.23","19.28","18.50","18.82","265,544"
06/02/2021,"19.12","19.55","19.02","19.35","209,593"
06/01/2021,"18.71","19.10","18.24","19.02","257,344"
05/28/2021,"18.52","18.71","18.14","18.18","190,829"
05/27/2021,"18.95","18.95","18.45","18.50","167,608"
05/26/2021,"18.77","18.95","18.38","18.84","438,058"
05/25/2021,"18.78","19.08","18.60","18.67","229,080"
05/24/2021,"19.17","19.60","18.73","18.74","295,110"
05/21/2021,"18.61","18.98","18.61","18.66","141,267"
05/20/2021,"18.55","18.90","18.55","18.59","223,059"
05/19/2021,"18.41","18.78","18.27","18.67","265,128"
05/18/2021,"18.34","18.85","18.06","18.64","159,339"
05/17/2021,"17.13","18.64","16.75","18.31","416,406"
05/14/2021,"16.50","17.04","16.29","17.00","960,145"
05/13/2021,"16.92","17.15","16.16","16.41","450,997"
05/12/2021,"16.97","17.47","16.78","16.80","392,244"
05/11/2021,"17.41","17.54","16.93","16.99","333,777"
05/10/2021,"18.25","18.26","17.43","17.55","161,934"
05/07/2021,"17.67","18.27","17.41","18.25","123,754"
05/06/2021,"19.22","19.26","17.40","17.49","331,950"
05/05/2021,"19.47","19.49","19.21","19.22","95,056"
05/04/2021,"19.31","19.70","19.22","19.43","199,141"
05/03/2021,"18.71","19.32","18.71","19.31","268,067"
04/30/2021,"18.48","18.74","18.40","18.71","221,689"
04/29/2021,"18.22","18.68","18.22","18.58","306,828"
04/28/2021,"18.01","18.39","17.95","18.23","279,571"
04/27/2021,"18.20","18.24","17.90","18.03","148,519"
04/26/2021,"17.85","18.27","17.77","18.08","189,302"
04/23/2021,"17.91","17.99","17.70","17.77","194,332"
04/22/2021,"17.86","18.15","17.71","17.89","201,961"
04/21/2021,"18.17","18.28","17.87","18.12","212,136"
04/20/2021,"18.23","18.85","18.20","18.35","329,555"
04/19/2021,"18.38","18.44","17.97","18.41","718,475"
04/16/2021,"17.93","18.45","17.61","18.25","519,682"
04/15/2021,"18.16","18.22","17.70","17.85","225,597"
04/14/2021,"18.32","18.57","18.01","18.03","233,631"
04/13/2021,"18.80","18.83","18.10","18.32","604,840"
04/12/2021,"18.40","18.81","17.64","18.77","596,663"
04/09/2021,"17.88","18.98","17.69","18.90","300,921"
04/08/2021,"17.84","18.10","17.50","18.08","497,713"
04/07/2021,"17.74","17.74","17.20","17.59","611,806"
04/06/2021,"17.55","17.73","17.22","17.54","192,078"
04/05/2021,"17.50","17.75","17.12","17.52","359,948"
04/01/2021,"16.79","17.73","16.78","17.48","558,634"
03/31/2021,"16.98","17.48","16.74","16.78","573,774"
03/30/2021,"17.29","17.48","16.51","16.81","773,061"
03/29/2021,"17.80","17.98","17.05","17.28","664,403"
03/26/2021,"17.52","17.91","17.04","17.75","1,109,421"
03/25/2021,"18.25","18.25","16.40","17.50","1,371,801"
03/24/2021,"20.00","20.50","18.53","18.60","1,954,613"
03/23/2021,"19.55","20.06","19.24","19.78","1,897,793"
03/22/2021,"19.99","20.73","19.02","19.40","996,852"
03/19/2021,"17.48","19.05","17.20","19.00","2,489,440"
03/18/2021,"18.60","19.39","16.99","17.18","11,906,430"
