Date,Open,High,Low,Close,Volume
08/20/2021,"13.76","14.21","13.00","14.09","133,444"
08/19/2021,"12.52","14.16","12.17","13.49","66,041"
08/18/2021,"12.38","13.67","12.38","13.13","60,123"
08/17/2021,"13.25","13.25","11.80","12.21","52,749"
08/16/2021,"14.10","14.10","12.60","13.15","43,130"
08/13/2021,"12.77","14.48","12.58","14.19","20,103"
08/12/2021,"13.00","13.00","12.30","12.90","19,558"
08/11/2021,"12.36","13.80","11.49","12.84","123,325"
08/10/2021,"10.78","13.47","10.78","12.46","79,762"
08/09/2021,"10.20","10.74","10.17","10.55","63,918"
08/06/2021,"10.74","10.79","10.41","10.63","6,282"
08/05/2021,"10.97","10.97","10.53","10.78","6,213"
08/04/2021,"10.49","10.99","10.39","10.39","7,356"
08/03/2021,"10.55","10.72","10.34","10.70","7,721"
08/02/2021,"10.92","10.92","10.10","10.32","22,129"
07/30/2021,"10.69","10.84","10.68","10.68","7,151"
07/29/2021,"10.69","11.23","10.69","10.92","14,400"
07/28/2021,"10.18","10.78","10.12","10.74","14,159"
07/27/2021,"11.26","11.26","10.13","10.38","36,640"
07/26/2021,"10.67","11.56","10.67","11.44","32,383"
07/23/2021,"12.00","12.51","10.53","10.67","30,805"
07/22/2021,"12.60","13.14","11.76","11.98","18,015"
07/21/2021,"12.93","13.38","12.15","12.73","18,450"
07/20/2021,"12.28","13.00","12.09","12.22","20,813"
07/19/2021,"12.03","12.48","11.50","12.48","32,922"
07/16/2021,"13.11","13.25","11.92","12.14","61,049"
07/15/2021,"12.77","12.99","12.41","12.99","11,955"
07/14/2021,"13.42","13.54","12.85","13.25","10,292"
07/13/2021,"13.27","14.04","13.21","13.24","11,898"
07/12/2021,"13.73","13.98","13.12","13.31","29,470"
07/09/2021,"14.46","14.65","13.22","13.94","19,447"
07/08/2021,"14.25","14.31","13.74","14.31","19,065"
07/07/2021,"14.30","14.54","14.00","14.02","26,549"
07/06/2021,"15.97","15.97","13.91","14.39","24,357"
07/02/2021,"15.31","15.75","15.08","15.11","22,848"
07/01/2021,"16.65","16.75","15.12","15.51","37,317"
06/30/2021,"16.35","16.48","15.90","16.32","12,974"
06/29/2021,"16.00","16.36","15.98","16.35","29,575"
06/28/2021,"16.06","16.39","15.89","16.30","30,686"
06/25/2021,"15.68","16.35","15.34","16.18","105,570"
06/24/2021,"15.09","15.81","15.09","15.73","10,472"
06/23/2021,"15.71","15.71","14.84","15.14","19,913"
06/22/2021,"15.05","15.85","14.50","15.09","71,243"
06/21/2021,"16.31","16.93","14.61","14.98","77,905"
06/18/2021,"17.20","17.49","16.00","16.00","116,772"
06/17/2021,"17.92","18.00","17.24","17.72","53,382"
06/16/2021,"17.78","18.00","17.39","17.96","63,537"
06/15/2021,"17.78","18.49","17.62","18.00","34,227"
06/14/2021,"17.94","18.00","17.56","17.64","47,197"
06/11/2021,"17.78","17.80","17.18","17.21","24,790"
06/10/2021,"17.98","18.01","17.49","17.83","17,611"
06/09/2021,"18.70","18.70","17.98","17.98","19,549"
06/08/2021,"18.70","18.70","18.47","18.64","20,844"
06/07/2021,"18.50","18.71","18.50","18.70","20,431"
06/04/2021,"19.27","19.27","18.63","18.63","28,440"
06/03/2021,"18.46","19.37","18.19","19.14","13,197"
06/02/2021,"18.77","18.77","17.77","18.56","34,354"
06/01/2021,"18.50","18.95","18.31","18.35","16,586"
05/28/2021,"18.94","18.94","18.58","18.58","6,097"
05/27/2021,"18.86","19.50","18.31","19.20","6,513"
05/26/2021,"18.00","19.17","18.00","18.55","16,937"
05/25/2021,"18.97","19.22","18.52","18.86","12,400"
05/24/2021,"18.72","19.00","17.68","19.00","25,473"
05/21/2021,"19.07","19.12","18.63","18.82","7,472"
05/20/2021,"18.29","19.20","18.09","18.78","34,029"
05/19/2021,"18.50","18.75","18.00","18.56","18,561"
05/18/2021,"18.03","18.33","18.03","18.10","14,031"
05/17/2021,"17.85","18.08","17.61","17.98","11,840"
05/14/2021,"17.36","17.87","17.15","17.80","13,295"
05/13/2021,"18.53","18.82","17.13","17.15","37,836"
05/12/2021,"18.39","19.21","18.15","18.47","46,098"
05/11/2021,"18.13","18.55","18.13","18.36","35,190"
05/10/2021,"19.58","19.58","18.11","18.55","22,462"
05/07/2021,"19.90","19.90","18.80","19.59","20,369"
05/06/2021,"18.53","19.81","18.34","19.81","18,459"
