Date,Open,High,Low,Close,Volume
08/11/2021,"54.76","56.50","53.62","55.96","75,894"
08/10/2021,"54.38","54.88","53.72","54.70","39,235"
08/09/2021,"53.21","54.80","52.44","54.29","27,551"
08/06/2021,"53.07","54.34","52.32","53.20","38,536"
08/05/2021,"52.19","53.45","51.91","53.11","72,420"
08/04/2021,"50.02","52.73","50.02","52.13","73,773"
08/03/2021,"50.19","50.98","48.43","50.04","55,603"
08/02/2021,"49.14","50.89","48.34","50.05","49,198"
07/30/2021,"46.66","48.58","46.66","48.25","49,979"
07/29/2021,"50.90","50.98","46.43","46.67","64,183"
07/28/2021,"50.62","51.07","49.05","50.44","169,699"
07/27/2021,"50.68","51.79","47.83","49.98","81,268"
07/26/2021,"51.69","53.17","50.57","50.71","33,422"
07/23/2021,"52.60","53.23","50.76","51.35","47,612"
07/22/2021,"53.02","53.23","51.45","52.35","45,293"
07/21/2021,"52.48","53.85","52.00","53.24","82,635"
07/20/2021,"49.99","52.04","48.54","51.56","101,145"
07/19/2021,"49.14","50.10","47.38","49.47","90,481"
07/16/2021,"53.42","54.47","49.58","50.02","69,844"
07/15/2021,"53.97","53.97","51.39","52.73","69,155"
07/14/2021,"56.69","56.69","53.73","54.15","52,521"
07/13/2021,"58.77","58.84","55.24","56.01","99,019"
07/12/2021,"59.24","59.76","58.26","58.82","62,474"
07/09/2021,"59.09","59.68","58.23","59.33","54,186"
07/08/2021,"57.79","59.11","56.37","58.27","49,899"
07/07/2021,"60.00","61.96","56.01","59.12","99,610"
07/06/2021,"62.43","62.45","58.65","59.45","69,444"
07/02/2021,"61.00","61.48","59.27","61.17","64,583"
07/01/2021,"61.00","62.06","60.40","61.00","61,011"
06/30/2021,"61.51","62.23","60.46","61.47","63,040"
06/29/2021,"61.43","62.19","60.89","61.58","74,972"
06/28/2021,"61.16","61.81","59.83","61.55","122,743"
06/25/2021,"63.67","63.69","59.62","61.29","287,731"
06/24/2021,"65.70","66.08","63.57","64.13","212,433"
06/23/2021,"69.62","69.62","64.34","65.46","173,433"
06/22/2021,"70.20","73.54","67.76","69.73","337,959"
06/21/2021,"68.31","71.89","66.86","69.96","165,782"
06/18/2021,"68.32","69.57","66.50","67.87","144,018"
06/17/2021,"69.55","71.63","68.14","68.73","131,259"
06/16/2021,"68.08","71.07","67.20","70.40","118,889"
06/15/2021,"67.74","68.87","66.43","67.99","139,346"
06/14/2021,"70.60","70.98","66.89","68.12","199,506"
06/11/2021,"66.39","70.63","65.21","70.60","108,149"
06/10/2021,"71.05","71.37","65.52","66.20","107,296"
06/09/2021,"73.41","73.43","69.93","71.05","344,619"
06/08/2021,"67.70","72.39","66.06","71.98","316,396"
06/07/2021,"63.00","68.55","63.00","67.35","280,444"
06/04/2021,"61.60","63.33","59.68","62.78","196,117"
06/03/2021,"65.75","65.77","57.77","60.78","700,205"
06/02/2021,"61.56","70.39","60.54","68.38","1,704,331"
06/01/2021,"64.00","67.42","62.45","62.65","585,768"
05/28/2021,"59.24","65.38","58.35","64.10","474,225"
05/27/2021,"57.66","60.63","56.00","59.24","408,999"
05/26/2021,"56.66","59.24","55.18","57.56","268,816"
05/25/2021,"51.95","57.27","51.86","56.86","359,594"
05/24/2021,"48.95","51.88","47.02","51.67","336,193"
05/21/2021,"48.49","50.27","47.76","48.30","213,626"
05/20/2021,"46.84","48.29","45.88","48.18","100,279"
05/19/2021,"44.73","46.27","41.21","46.04","318,373"
05/18/2021,"47.17","49.79","46.63","47.08","140,762"
05/17/2021,"47.51","49.62","47.23","47.62","134,908"
05/14/2021,"44.99","47.01","43.51","46.04","184,108"
05/13/2021,"44.04","44.97","40.92","41.90","78,260"
05/12/2021,"45.36","46.69","43.42","44.13","110,497"
05/11/2021,"46.04","47.12","45.09","45.97","240,023"
05/10/2021,"48.83","49.16","45.94","47.23","117,902"
05/07/2021,"48.97","49.99","48.63","48.88","49,749"
05/06/2021,"49.62","49.70","47.40","48.58","145,481"
05/05/2021,"50.34","51.99","48.52","49.69","108,745"
05/04/2021,"47.73","50.08","45.39","49.54","169,668"
05/03/2021,"49.19","49.21","47.32","48.51","96,055"
04/30/2021,"48.42","49.85","46.53","49.09","90,187"
04/29/2021,"47.25","48.50","45.26","48.01","99,670"
04/28/2021,"45.58","47.65","45.58","47.34","70,462"
04/27/2021,"43.25","45.23","43.25","45.01","75,565"
04/26/2021,"40.74","43.39","40.23","42.95","79,536"
04/23/2021,"41.04","41.94","40.08","40.92","81,302"
04/22/2021,"41.18","41.95","39.88","40.66","66,259"
04/21/2021,"38.29","42.00","38.29","41.40","200,512"
04/20/2021,"37.32","38.31","36.36","38.18","115,516"
04/19/2021,"36.77","37.81","35.24","37.48","165,724"
04/16/2021,"37.25","38.00","35.96","37.04","101,255"
04/15/2021,"36.18","37.46","35.12","37.02","83,186"
04/14/2021,"35.84","36.09","35.07","35.91","35,119"
04/13/2021,"35.50","36.36","34.80","35.92","52,639"
04/12/2021,"36.31","37.98","34.32","35.54","50,027"
04/09/2021,"36.86","37.04","35.57","36.37","39,778"
04/08/2021,"36.28","38.21","34.31","36.94","114,863"
04/07/2021,"37.63","37.77","35.34","35.98","55,448"
04/06/2021,"36.61","38.31","36.61","37.47","149,834"
04/05/2021,"36.17","37.36","35.36","36.70","59,966"
04/01/2021,"36.28","36.67","35.74","36.08","98,039"
03/31/2021,"33.43","35.98","33.40","35.77","268,174"
03/30/2021,"32.20","34.43","31.52","33.22","113,444"
03/29/2021,"35.03","36.42","32.44","32.46","135,763"
03/26/2021,"37.69","38.50","34.58","35.06","196,092"
03/25/2021,"35.57","40.14","35.45","37.40","246,841"
03/24/2021,"42.68","42.92","35.48","36.31","321,021"
03/23/2021,"42.30","43.64","41.53","42.52","167,640"
03/22/2021,"40.73","43.60","40.50","42.79","230,365"
03/19/2021,"41.71","42.19","40.27","40.77","693,284"
03/18/2021,"39.62","42.39","39.24","40.94","247,741"
03/17/2021,"39.39","40.87","35.52","39.85","247,060"
03/16/2021,"37.87","39.98","37.22","39.01","294,644"
03/15/2021,"35.79","38.06","35.57","37.33","191,339"
03/12/2021,"33.00","35.74","32.05","35.37","256,551"
03/11/2021,"33.00","34.00","31.65","33.02","483,505"
03/10/2021,"29.89","30.38","28.86","29.98","148,663"
03/09/2021,"28.49","30.73","28.37","29.74","340,732"
03/08/2021,"28.26","30.01","28.02","28.49","180,708"
03/05/2021,"28.68","29.34","25.12","28.25","112,340"
03/04/2021,"31.50","31.50","28.11","28.48","280,540"
03/03/2021,"30.00","31.95","30.00","30.88","180,661"
03/02/2021,"30.40","30.75","29.51","30.15","77,983"
03/01/2021,"30.81","31.35","29.50","30.23","170,356"
02/26/2021,"30.85","31.99","29.81","30.33","226,859"
02/25/2021,"32.00","32.89","29.79","31.20","182,582"
02/24/2021,"31.69","34.38","31.01","32.00","295,170"
02/23/2021,"29.51","32.20","28.05","31.12","191,161"
02/22/2021,"30.92","32.80","29.03","30.80","137,135"
02/19/2021,"30.18","31.07","30.18","30.85","104,490"
02/18/2021,"30.00","31.10","29.10","30.14","98,072"
02/17/2021,"28.41","30.43","27.03","30.16","157,391"
02/16/2021,"29.81","29.81","28.02","28.31","60,030"
02/12/2021,"28.34","30.12","28.00","29.20","33,736"
02/11/2021,"29.06","29.16","27.80","28.10","58,449"
02/10/2021,"29.02","29.68","28.40","29.06","66,845"
02/09/2021,"28.56","30.42","27.14","28.91","141,493"
02/08/2021,"30.44","30.70","28.52","28.86","92,572"
02/05/2021,"28.20","30.23","27.98","29.62","242,065"
02/04/2021,"29.00","29.35","26.53","27.95","152,730"
02/03/2021,"27.95","29.40","27.95","28.79","68,835"
02/02/2021,"29.16","29.16","27.78","27.95","76,002"
02/01/2021,"29.17","29.61","27.89","28.80","120,955"
01/29/2021,"29.39","29.39","27.51","28.93","87,844"
01/28/2021,"27.88","29.64","27.48","28.88","107,028"
01/27/2021,"28.94","29.73","27.00","27.50","96,672"
01/26/2021,"29.75","30.56","28.90","28.95","157,130"
01/25/2021,"30.33","30.60","28.52","29.52","167,363"
01/22/2021,"29.47","30.47","29.18","30.00","87,006"
01/21/2021,"29.37","30.20","28.10","29.58","76,176"
01/20/2021,"29.61","30.87","28.79","29.38","65,672"
01/19/2021,"32.56","32.60","28.87","29.82","286,706"
01/15/2021,"32.70","32.70","31.17","31.95","55,939"
01/14/2021,"32.80","34.26","31.19","32.50","175,401"
01/13/2021,"31.26","32.00","30.86","31.56","60,837"
01/12/2021,"30.94","31.96","30.24","31.33","149,708"
01/11/2021,"30.35","32.34","30.35","31.23","112,889"
01/08/2021,"32.80","33.83","30.34","31.30","195,796"
01/07/2021,"35.23","36.81","33.00","33.00","134,634"
01/06/2021,"34.50","35.00","32.53","34.91","111,369"
01/05/2021,"34.75","35.90","33.69","34.32","56,312"
01/04/2021,"37.79","38.75","34.12","34.63","175,155"
12/31/2020,"34.98","38.39","33.30","37.99","260,433"
12/30/2020,"34.81","35.97","33.95","34.98","117,247"
12/29/2020,"35.27","36.17","33.25","34.46","214,049"
12/28/2020,"35.90","37.00","35.60","35.68","206,712"
12/24/2020,"34.81","36.40","33.81","35.45","234,369"
12/23/2020,"30.55","33.74","30.55","33.50","277,498"
12/22/2020,"29.33","31.71","28.85","30.79","246,005"
12/21/2020,"27.00","29.74","26.95","29.05","420,974"
12/18/2020,"24.95","27.50","24.95","27.25","579,545"
12/17/2020,"22.98","24.88","22.68","24.23","270,424"
12/16/2020,"22.47","23.75","22.06","22.63","298,393"
12/15/2020,"22.08","23.00","21.87","22.14","328,645"
12/14/2020,"20.74","22.15","20.74","21.88","360,496"
12/11/2020,"20.00","20.45","19.99","20.20","138,383"
12/10/2020,"20.50","20.74","19.91","20.10","77,924"
12/09/2020,"20.82","21.37","19.27","20.65","143,406"
12/08/2020,"21.59","21.97","20.23","20.30","165,793"
12/07/2020,"21.70","22.15","21.08","21.59","170,574"
12/04/2020,"21.88","22.50","21.02","21.74","191,001"
12/03/2020,"22.75","23.15","21.19","21.85","268,490"
12/02/2020,"23.50","23.65","22.22","22.75","225,353"
12/01/2020,"22.11","24.27","21.75","23.42","609,195"
11/30/2020,"21.89","22.41","21.50","21.92","240,738"
11/27/2020,"21.75","22.01","20.91","21.54","261,016"
11/25/2020,"20.15","22.16","20.04","20.72","257,262"
11/24/2020,"19.85","21.00","18.67","20.10","493,965"
11/23/2020,"21.00","21.24","19.71","19.94","294,358"
11/20/2020,"22.05","22.16","20.12","20.75","401,301"
11/19/2020,"21.15","22.89","19.50","21.87","2,749,774"
