Date,Open,High,Low,Close,Volume
08/12/2021,"25.65","25.71","25.17","25.66","192,073"
08/11/2021,"25.38","25.71","25.09","25.55","253,855"
08/10/2021,"25.96","26.04","25.31","25.33","94,155"
08/09/2021,"26.31","26.38","26.01","26.06","301,728"
08/06/2021,"26.75","26.82","26.17","26.37","237,531"
08/05/2021,"26.08","26.93","26.08","26.65","1,304,611"
08/04/2021,"26.24","26.71","26.00","26.03","319,261"
08/03/2021,"25.84","26.46","25.54","26.38","295,973"
08/02/2021,"26.00","26.53","25.65","25.66","714,556"
07/30/2021,"25.67","26.30","25.14","25.95","575,865"
07/29/2021,"25.25","25.77","25.06","25.65","700,533"
07/28/2021,"25.13","25.28","24.98","25.25","438,539"
07/27/2021,"25.12","25.27","24.96","25.00","314,876"
07/26/2021,"25.40","25.64","24.69","25.18","265,374"
07/23/2021,"25.46","25.58","25.32","25.40","181,020"
07/22/2021,"25.73","25.73","25.15","25.40","177,537"
07/21/2021,"25.84","26.04","25.65","25.75","495,872"
07/20/2021,"24.87","25.81","24.64","25.76","373,619"
07/19/2021,"25.03","25.13","24.52","24.70","750,808"
07/16/2021,"25.15","25.58","24.97","25.26","590,863"
07/15/2021,"25.05","25.39","24.89","25.05","311,568"
07/14/2021,"24.55","25.14","24.47","25.04","351,137"
07/13/2021,"24.95","25.22","24.36","24.44","412,862"
07/12/2021,"24.45","25.14","24.45","25.06","800,298"
07/09/2021,"24.43","24.48","23.85","24.47","511,231"
07/08/2021,"23.89","24.14","23.62","23.94","698,954"
07/07/2021,"24.21","24.42","24.00","24.05","426,483"
07/06/2021,"23.94","24.32","23.79","24.24","391,794"
07/02/2021,"23.63","24.24","23.63","24.02","392,179"
07/01/2021,"23.00","23.78","23.00","23.73","503,272"
06/30/2021,"23.32","23.47","23.05","23.06","191,884"
06/29/2021,"23.10","23.36","22.93","23.25","186,791"
06/28/2021,"23.27","23.27","22.67","22.98","222,293"
06/25/2021,"23.44","23.58","23.18","23.33","2,583,739"
06/24/2021,"23.72","23.84","23.30","23.43","209,188"
06/23/2021,"23.75","23.93","23.59","23.71","287,402"
06/22/2021,"23.62","23.77","23.32","23.64","250,299"
06/21/2021,"23.35","23.74","23.20","23.61","212,469"
06/18/2021,"23.31","23.45","23.05","23.30","591,370"
06/17/2021,"23.78","23.78","23.14","23.47","417,655"
06/16/2021,"23.78","23.97","23.63","23.80","283,854"
06/15/2021,"24.00","24.00","23.68","23.75","208,866"
06/14/2021,"23.93","24.10","23.80","23.92","250,183"
06/11/2021,"23.67","24.08","23.49","23.91","267,270"
06/10/2021,"23.73","23.83","23.53","23.70","280,126"
06/09/2021,"23.40","23.78","23.40","23.73","176,681"
06/08/2021,"23.50","23.75","23.42","23.48","375,707"
06/07/2021,"23.42","23.68","23.39","23.44","320,833"
06/04/2021,"23.62","23.71","23.15","23.29","429,075"
06/03/2021,"23.39","23.58","23.08","23.43","390,274"
06/02/2021,"22.85","23.35","22.61","23.28","439,259"
06/01/2021,"22.40","22.94","22.33","22.80","395,667"
05/28/2021,"22.67","22.85","22.08","22.32","514,012"
05/27/2021,"22.65","22.96","22.30","22.91","3,448,500"
05/26/2021,"22.31","22.89","22.11","22.63","421,646"
05/25/2021,"22.61","22.81","22.11","22.29","474,590"
05/24/2021,"22.30","22.83","22.24","22.65","452,352"
05/21/2021,"21.81","22.21","21.79","22.11","225,807"
05/20/2021,"21.48","22.00","21.29","21.86","328,668"
05/19/2021,"21.40","21.58","21.27","21.51","246,405"
05/18/2021,"21.49","21.80","21.38","21.58","270,756"
05/17/2021,"21.00","21.54","20.92","21.40","276,595"
05/14/2021,"21.15","21.35","21.14","21.27","140,001"
05/13/2021,"20.88","21.35","20.88","21.01","255,475"
05/12/2021,"20.83","21.55","20.75","20.83","388,273"
05/11/2021,"20.78","21.13","20.45","20.92","173,595"
05/10/2021,"21.30","21.55","21.03","21.10","138,818"
05/07/2021,"21.04","21.37","20.78","21.30","122,248"
05/06/2021,"20.73","21.09","20.66","21.00","228,161"
05/05/2021,"21.31","21.31","20.75","20.88","171,030"
05/04/2021,"21.14","21.37","21.06","21.29","383,263"
05/03/2021,"20.83","21.24","20.82","21.21","278,646"
04/30/2021,"20.66","21.06","20.41","20.83","317,338"
04/29/2021,"21.06","21.30","20.65","20.83","185,123"
04/28/2021,"20.90","21.06","20.78","20.93","103,608"
04/27/2021,"20.86","21.02","20.66","20.85","132,460"
04/26/2021,"21.00","21.31","20.76","20.83","343,826"
04/23/2021,"20.60","20.90","20.59","20.89","211,509"
04/22/2021,"20.82","20.90","20.54","20.75","237,504"
04/21/2021,"20.75","21.05","20.64","20.88","275,013"
04/20/2021,"20.61","20.86","20.45","20.69","506,903"
04/19/2021,"20.71","20.81","20.15","20.77","833,395"
04/16/2021,"20.87","20.87","20.56","20.62","373,331"
04/15/2021,"20.60","20.83","20.38","20.71","604,768"
04/14/2021,"20.64","20.81","20.34","20.46","522,785"
04/13/2021,"20.80","20.93","20.55","20.74","331,638"
04/12/2021,"20.50","20.93","20.21","20.86","580,406"
04/09/2021,"20.49","21.09","20.26","20.39","1,381,411"
04/08/2021,"20.25","20.76","19.94","20.16","3,721,449"
04/07/2021,"18.49","19.18","18.47","19.12","604,805"
04/06/2021,"18.25","18.81","18.20","18.49","580,479"
04/05/2021,"18.64","18.94","18.40","18.89","580,227"
04/01/2021,"18.65","18.65","18.21","18.40","256,821"
03/31/2021,"18.30","18.72","18.16","18.49","334,190"
03/30/2021,"18.22","18.28","18.04","18.24","79,835"
03/29/2021,"18.30","18.34","18.01","18.08","111,970"
03/26/2021,"18.16","18.40","18.16","18.30","363,357"
03/25/2021,"17.82","18.21","17.71","18.11","151,268"
03/24/2021,"17.90","18.34","17.82","17.90","132,199"
03/23/2021,"17.72","18.08","17.70","18.01","178,607"
03/22/2021,"17.55","17.94","17.52","17.93","279,079"
03/19/2021,"18.35","18.37","17.52","17.52","1,377,310"
03/18/2021,"18.74","18.80","18.22","18.22","477,966"
03/17/2021,"18.50","18.75","18.25","18.47","360,582"
03/16/2021,"18.52","18.53","18.32","18.45","172,202"
03/15/2021,"18.04","18.56","17.97","18.43","297,638"
03/12/2021,"17.69","18.05","17.62","17.92","166,491"
03/11/2021,"17.74","17.74","17.45","17.67","129,773"
03/10/2021,"17.76","17.85","17.47","17.74","114,851"
03/09/2021,"17.57","17.81","17.40","17.67","205,651"
03/08/2021,"17.68","17.93","17.45","17.47","177,749"
03/05/2021,"18.25","18.25","17.12","17.54","243,954"
03/04/2021,"18.11","18.20","17.72","17.84","225,748"
03/03/2021,"17.93","18.45","17.85","18.09","182,016"
03/02/2021,"18.10","18.31","17.46","17.86","148,699"
03/01/2021,"17.83","18.33","17.75","17.98","170,924"
02/26/2021,"17.94","18.31","17.57","17.57","130,105"
02/25/2021,"18.26","18.73","17.83","17.88","429,081"
02/24/2021,"18.51","18.60","18.14","18.27","166,689"
02/23/2021,"18.50","18.82","18.29","18.41","242,480"
02/22/2021,"18.37","18.67","18.36","18.49","377,473"
02/19/2021,"18.17","18.53","18.15","18.37","119,413"
02/18/2021,"18.34","18.60","18.15","18.25","142,529"
02/17/2021,"18.09","18.50","17.86","18.46","230,427"
02/16/2021,"18.00","18.46","17.76","18.12","308,997"
02/12/2021,"17.70","18.13","17.70","18.02","180,426"
02/11/2021,"18.00","18.34","17.59","17.70","178,622"
02/10/2021,"18.20","18.56","18.00","18.11","118,055"
02/09/2021,"17.77","18.09","17.62","18.03","211,720"
02/08/2021,"18.00","18.07","17.41","17.41","131,287"
02/05/2021,"17.58","17.95","17.40","17.92","105,144"
02/04/2021,"17.70","17.77","17.47","17.73","170,650"
02/03/2021,"17.58","17.69","16.95","17.66","136,582"
02/02/2021,"17.40","17.78","17.33","17.61","120,671"
02/01/2021,"17.25","17.49","17.03","17.34","214,611"
01/29/2021,"16.91","17.23","16.75","17.23","182,675"
01/28/2021,"17.05","17.21","16.82","17.02","189,873"
01/27/2021,"17.24","17.35","16.63","17.11","242,342"
01/26/2021,"17.74","17.93","17.45","17.54","117,201"
01/25/2021,"17.68","18.31","17.56","17.85","107,091"
01/22/2021,"17.51","17.79","17.48","17.77","118,821"
01/21/2021,"17.78","17.87","17.45","17.65","75,003"
01/20/2021,"17.08","17.96","17.01","17.88","180,810"
01/19/2021,"17.46","17.46","16.65","17.08","260,448"
01/15/2021,"16.75","17.37","16.65","17.30","233,079"
01/14/2021,"17.03","17.10","16.72","16.78","110,270"
01/13/2021,"16.97","17.26","16.89","17.04","105,080"
01/12/2021,"17.49","17.49","16.75","16.90","358,182"
01/11/2021,"17.93","18.05","17.25","17.28","163,862"
01/08/2021,"17.99","18.02","17.71","17.90","92,114"
01/07/2021,"18.48","18.48","17.84","17.90","95,804"
01/06/2021,"18.44","18.62","17.96","18.03","208,246"
01/05/2021,"18.92","18.99","18.35","18.40","154,906"
01/04/2021,"19.62","19.62","18.63","18.75","195,277"
12/31/2020,"19.50","19.54","18.89","19.49","108,237"
12/30/2020,"19.19","19.50","19.09","19.50","241,847"
12/29/2020,"19.11","19.32","18.77","19.30","181,775"
12/28/2020,"18.60","19.11","18.54","18.99","158,672"
12/24/2020,"18.47","18.65","18.17","18.58","90,005"
12/23/2020,"18.69","19.00","18.25","18.48","252,483"
12/22/2020,"18.18","18.75","17.87","18.70","322,514"
12/21/2020,"18.30","18.57","17.76","18.28","373,925"
12/18/2020,"18.96","19.28","18.38","18.58","935,073"
12/17/2020,"18.67","18.84","18.41","18.80","289,155"
12/16/2020,"18.75","19.06","18.40","18.65","293,869"
12/15/2020,"18.22","18.72","18.14","18.71","148,666"
12/14/2020,"18.07","18.63","18.07","18.23","162,108"
12/11/2020,"18.29","18.38","17.61","18.07","207,633"
12/10/2020,"18.27","18.60","17.95","18.48","187,048"
12/09/2020,"18.93","19.14","18.23","18.38","241,131"
12/08/2020,"18.90","19.17","18.54","18.95","226,254"
12/07/2020,"18.72","19.13","18.65","18.95","202,707"
