Date,Open,High,Low,Close,Volume
08/30/2021,"34.69","35.84","33.09","34.18","158,028"
08/27/2021,"33.01","35.96","30.76","34.69","178,288"
08/26/2021,"31.37","32.88","29.39","32.74","148,669"
08/25/2021,"29.31","32.31","28.95","30.94","138,620"
08/24/2021,"29.45","29.75","28.83","29.62","139,695"
08/23/2021,"27.46","29.72","27.33","29.00","129,523"
08/20/2021,"26.11","28.31","25.50","27.02","109,172"
08/19/2021,"26.11","27.47","25.02","26.40","157,156"
08/18/2021,"27.08","28.61","26.00","26.37","101,991"
08/17/2021,"25.00","27.93","24.30","27.25","138,613"
08/16/2021,"21.13","26.00","21.13","24.34","150,558"
08/13/2021,"21.50","23.02","20.00","22.38","90,805"
08/12/2021,"21.00","22.95","20.47","21.78","65,556"
08/11/2021,"22.50","22.82","21.25","21.35","166,103"
08/10/2021,"22.72","22.94","21.49","22.87","198,197"
08/09/2021,"22.35","24.13","20.03","21.29","86,673"
08/06/2021,"24.55","25.00","19.54","22.06","166,048"
08/05/2021,"25.55","27.20","23.83","24.84","150,357"
08/04/2021,"24.00","27.49","23.50","25.36","143,230"
08/03/2021,"21.92","23.84","19.80","23.70","102,958"
08/02/2021,"18.50","22.42","18.50","21.91","208,550"
07/30/2021,"18.75","21.39","17.54","18.25","352,557"
07/29/2021,"18.10","19.83","17.00","18.75","2,342,335"
