Date,Open,High,Low,Close,Volume
08/11/2021,"31.65","31.94","30.68","30.98","11,448"
08/10/2021,"33.31","33.31","32.32","32.32","3,177"
08/09/2021,"34.41","34.41","32.50","33.15","15,457"
08/06/2021,"32.17","37.00","31.40","37.00","5,602"
08/05/2021,"32.65","32.65","32.00","32.52","27,420"
08/04/2021,"32.70","32.70","31.72","32.32","7,964"
08/03/2021,"32.50","32.85","32.00","32.43","61,478"
08/02/2021,"32.27","32.92","32.03","32.92","17,530"
07/30/2021,"32.45","32.49","32.03","32.43","2,851"
07/29/2021,"33.00","33.00","32.40","32.50","75,754"
07/28/2021,"33.50","33.50","32.49","33.00","35,147"
07/27/2021,"32.26","33.99","31.82","32.80","50,725"
07/26/2021,"32.03","32.89","31.79","32.69","53,342"
07/23/2021,"31.39","33.85","31.39","32.99","3,126"
07/22/2021,"33.39","33.46","32.90","33.00","13,823"
07/21/2021,"32.70","33.20","32.55","33.20","1,965"
07/20/2021,"32.35","33.39","32.20","33.00","14,818"
07/19/2021,"31.90","33.20","30.85","32.92","63,995"
07/16/2021,"34.00","34.00","33.05","33.79","47,657"
07/15/2021,"36.00","36.00","33.83","34.29","47,900"
07/14/2021,"35.61","35.61","34.17","35.00","36,803"
07/13/2021,"33.95","35.55","33.95","35.50","37,111"
07/12/2021,"34.49","35.50","34.00","34.62","66,090"
07/09/2021,"34.25","35.50","32.90","35.50","91,883"
07/08/2021,"33.95","35.83","33.50","34.25","18,448"
07/07/2021,"33.00","36.99","31.81","34.83","47,412"
07/06/2021,"29.65","33.00","29.65","33.00","44,315"
07/02/2021,"30.02","34.61","30.00","30.11","179,596"
