Date,Open,High,Low,Close,Volume
08/30/2021,"17.09","17.23","16.10","17.14","269,964"
08/27/2021,"16.46","17.26","15.94","17.00","234,354"
08/26/2021,"16.46","16.65","16.05","16.45","176,169"
08/25/2021,"16.45","16.52","16.02","16.29","112,031"
08/24/2021,"16.38","16.58","16.15","16.40","196,126"
08/23/2021,"16.75","17.23","15.75","16.54","252,378"
08/20/2021,"17.24","17.24","16.58","16.58","159,530"
08/19/2021,"16.29","17.19","16.16","16.96","250,241"
08/18/2021,"17.12","17.12","15.41","16.58","262,892"
08/17/2021,"19.25","19.68","16.02","16.74","508,748"
08/16/2021,"19.60","19.64","19.00","19.09","109,122"
08/13/2021,"19.82","19.99","19.50","19.75","94,235"
08/12/2021,"19.80","20.00","19.75","19.94","72,552"
08/11/2021,"19.85","20.01","19.51","19.79","78,583"
08/10/2021,"20.10","20.29","19.73","19.76","164,552"
08/09/2021,"19.45","20.08","19.16","20.05","210,712"
08/06/2021,"19.31","19.65","19.19","19.42","61,244"
08/05/2021,"19.39","19.71","19.36","19.50","66,828"
08/04/2021,"19.01","19.65","19.01","19.39","90,260"
08/03/2021,"19.50","19.51","19.00","19.00","89,522"
08/02/2021,"19.57","19.83","19.37","19.43","67,253"
07/30/2021,"19.95","19.97","19.37","19.62","166,813"
07/29/2021,"20.07","20.11","19.81","19.95","169,531"
07/28/2021,"20.14","20.20","19.70","20.00","163,167"
07/27/2021,"20.02","20.20","19.80","19.90","338,321"
07/26/2021,"20.70","20.71","20.00","20.05","427,710"
07/23/2021,"20.00","20.99","19.90","20.00","3,945,105"
