Date,Open,High,Low,Close,Volume
08/30/2021,"34.52","34.55","34.52","34.55","2,017"
08/27/2021,"34.40","34.98","34.40","34.98","6,654"
08/26/2021,"34.16","34.50","34.16","34.50","2,001"
08/25/2021,"34.25","34.46","34.01","34.46","800"
08/24/2021,"34.01","34.39","34.01","34.25","6,351"
08/23/2021,"34.13","34.13","34.02","34.02","600"
08/20/2021,"34.25","34.49","34.01","34.02","10,084"
08/19/2021,"34.02","34.35","34.00","34.22","10,259"
08/18/2021,"34.49","34.49","34.01","34.01","5,526"
08/17/2021,"34.20","34.25","34.01","34.21","6,643"
08/16/2021,"34.01","34.25","34.00","34.19","3,901"
08/13/2021,"34.25","34.25","34.00","34.02","3,999"
08/12/2021,"34.43","34.43","34.03","34.03","2,217"
08/11/2021,"34.99","34.99","34.01","34.08","5,389"
08/10/2021,"34.23","34.89","34.00","34.21","11,796"
08/09/2021,"34.69","34.69","34.00","34.15","35,069"
08/06/2021,"34.89","34.89","34.00","34.15","35,347"
08/05/2021,"33.80","37.00","33.80","34.10","272,675"
