Date,Open,High,Low,Close,Volume
08/11/2021,"20.07","20.10","19.48","19.75","423,496"
08/10/2021,"20.00","20.36","19.64","20.10","549,849"
08/09/2021,"19.75","20.61","19.37","19.95","2,216,495"
08/06/2021,"20.78","21.00","20.25","20.60","1,216,081"
08/05/2021,"21.53","21.69","18.85","20.69","1,749,689"
08/04/2021,"21.51","22.00","21.51","21.83","659,498"
08/03/2021,"21.88","22.27","20.96","21.62","729,056"
08/02/2021,"22.51","22.55","21.67","21.97","787,839"
07/30/2021,"22.16","22.86","22.12","22.47","501,773"
07/29/2021,"21.84","22.40","21.52","22.23","346,137"
07/28/2021,"21.92","22.08","21.53","21.83","313,211"
07/27/2021,"21.42","22.03","21.42","21.82","548,505"
07/26/2021,"21.26","21.50","21.22","21.33","243,811"
07/23/2021,"20.80","21.36","20.78","21.26","427,139"
07/22/2021,"20.64","20.84","20.42","20.63","293,816"
07/21/2021,"20.98","20.99","20.24","20.64","477,407"
07/20/2021,"20.74","21.08","20.48","20.85","593,188"
07/19/2021,"20.58","21.29","20.26","20.78","512,305"
07/16/2021,"20.59","20.87","20.25","20.76","449,953"
07/15/2021,"20.37","20.91","20.02","20.50","316,170"
07/14/2021,"20.81","20.96","20.31","20.42","289,801"
07/13/2021,"21.55","21.68","20.84","20.84","264,240"
07/12/2021,"21.39","21.49","20.63","21.44","431,849"
07/09/2021,"21.09","21.70","20.77","21.32","1,058,696"
07/08/2021,"21.01","21.19","20.47","21.03","465,331"
07/07/2021,"21.51","21.54","21.06","21.31","537,346"
07/06/2021,"21.43","21.66","21.14","21.24","484,015"
07/02/2021,"21.61","21.74","21.36","21.43","361,979"
07/01/2021,"21.37","21.74","21.15","21.56","410,414"
06/30/2021,"21.72","21.72","21.11","21.41","445,136"
06/29/2021,"21.57","21.98","21.32","21.64","492,176"
06/28/2021,"21.78","22.21","21.36","21.49","462,043"
06/25/2021,"21.60","21.83","21.31","21.75","1,612,606"
06/24/2021,"21.56","21.81","21.29","21.67","400,433"
06/23/2021,"21.69","21.88","21.31","21.45","392,910"
06/22/2021,"21.37","21.87","21.21","21.62","641,702"
06/21/2021,"21.39","21.63","20.60","21.36","579,571"
06/18/2021,"21.95","22.21","21.23","21.43","2,413,474"
06/17/2021,"21.87","22.33","21.72","22.12","649,489"
06/16/2021,"22.24","22.41","21.69","21.72","633,399"
06/15/2021,"22.14","22.71","21.83","22.31","452,741"
06/14/2021,"22.25","22.99","21.91","22.21","594,994"
06/11/2021,"21.65","22.25","21.51","22.08","957,408"
06/10/2021,"20.89","21.62","20.68","21.58","314,629"
06/09/2021,"21.17","21.47","20.87","20.99","338,462"
06/08/2021,"20.95","21.72","20.73","21.16","577,144"
06/07/2021,"20.87","21.07","20.76","20.97","399,616"
06/04/2021,"20.70","20.97","20.64","20.87","422,134"
06/03/2021,"20.50","20.75","20.24","20.69","426,716"
06/02/2021,"21.28","21.28","20.13","20.63","544,935"
06/01/2021,"20.42","20.89","20.29","20.49","479,450"
05/28/2021,"20.70","21.19","20.47","20.55","649,173"
05/27/2021,"20.25","20.97","20.22","20.60","1,436,157"
05/26/2021,"20.05","20.37","19.79","20.23","739,772"
05/25/2021,"20.49","20.49","20.00","20.09","315,077"
05/24/2021,"19.93","20.15","19.72","20.06","381,011"
05/21/2021,"20.50","20.52","19.85","19.97","452,531"
05/20/2021,"20.23","20.52","20.13","20.46","509,758"
05/19/2021,"19.87","20.54","19.50","20.21","701,619"
05/18/2021,"20.62","21.07","19.80","19.84","675,101"
05/17/2021,"20.71","21.01","20.42","20.47","534,631"
05/14/2021,"21.44","21.53","20.54","20.64","801,751"
05/13/2021,"20.78","21.42","20.72","21.29","886,508"
05/12/2021,"20.95","21.49","20.74","20.75","615,315"
05/11/2021,"20.80","21.41","20.75","21.27","616,386"
05/10/2021,"21.68","21.69","20.46","21.17","1,330,603"
05/07/2021,"20.47","21.82","20.11","21.69","1,337,358"
05/06/2021,"19.75","20.56","18.90","20.49","1,301,908"
05/05/2021,"18.68","18.91","18.03","18.70","601,736"
05/04/2021,"18.97","19.13","18.30","18.62","751,730"
05/03/2021,"19.61","19.62","18.98","19.23","611,111"
04/30/2021,"19.28","19.80","19.00","19.69","667,328"
04/29/2021,"19.86","19.86","18.88","19.34","1,381,318"
04/28/2021,"20.13","20.48","19.56","19.82","526,411"
04/27/2021,"20.36","20.56","20.11","20.17","388,526"
04/26/2021,"20.29","20.67","19.88","20.35","353,478"
04/23/2021,"20.34","20.75","20.11","20.19","504,114"
04/22/2021,"20.09","20.48","19.56","20.31","748,752"
04/21/2021,"19.10","20.22","19.06","20.00","1,021,457"
04/20/2021,"18.20","19.14","17.75","19.10","1,348,733"
04/19/2021,"19.06","19.15","17.94","18.15","722,644"
04/16/2021,"18.41","18.67","17.83","18.53","1,090,607"
04/15/2021,"18.67","18.89","17.96","18.22","1,117,165"
04/14/2021,"18.29","18.62","17.91","18.52","1,249,938"
04/13/2021,"18.79","19.02","18.12","18.19","892,444"
04/12/2021,"19.49","19.76","18.50","18.64","921,173"
04/09/2021,"19.00","19.45","18.85","19.40","530,200"
04/08/2021,"18.51","19.14","18.22","19.01","609,055"
04/07/2021,"18.80","19.12","18.09","18.38","942,372"
04/06/2021,"19.20","19.49","18.77","18.81","371,954"
04/05/2021,"19.25","19.36","18.71","18.99","405,734"
04/01/2021,"19.53","20.00","19.05","19.21","636,248"
03/31/2021,"19.07","19.47","18.87","19.30","1,885,343"
03/30/2021,"17.77","19.17","17.77","19.02","784,252"
03/29/2021,"18.57","18.76","18.00","18.06","528,894"
03/26/2021,"19.98","19.98","18.02","18.49","928,835"
03/25/2021,"18.98","19.47","18.66","18.99","2,083,930"
03/24/2021,"20.27","20.43","19.07","19.53","1,027,799"
03/23/2021,"19.04","20.25","19.04","20.07","1,930,449"
03/22/2021,"18.37","20.26","18.37","19.68","2,113,514"
03/19/2021,"18.03","19.23","17.89","18.63","16,835,461"
03/18/2021,"17.53","18.00","16.37","16.92","1,630,529"
03/17/2021,"17.60","17.99","17.42","17.57","1,057,641"
03/16/2021,"17.62","18.06","17.49","17.62","971,269"
03/15/2021,"17.46","17.95","17.28","17.66","1,363,879"
03/12/2021,"16.89","17.50","16.62","17.28","891,323"
03/11/2021,"15.93","17.00","15.93","16.87","1,531,681"
03/10/2021,"16.68","16.90","15.75","15.88","1,480,402"
03/09/2021,"16.63","16.90","16.35","16.46","553,104"
03/08/2021,"16.51","16.89","16.25","16.40","851,251"
03/05/2021,"16.34","16.94","15.53","16.49","1,331,071"
03/04/2021,"17.46","18.05","15.82","16.07","1,993,342"
03/03/2021,"18.00","18.10","17.41","17.52","1,723,042"
03/02/2021,"18.00","18.15","17.55","17.57","1,596,805"
03/01/2021,"17.59","18.05","17.35","17.59","2,197,573"
02/26/2021,"17.53","17.84","17.26","17.30","1,176,989"
02/25/2021,"17.52","17.90","17.30","17.49","1,331,556"
02/24/2021,"16.90","17.68","16.83","17.47","1,497,017"
02/23/2021,"17.10","17.29","16.38","16.83","1,310,784"
02/22/2021,"17.79","17.80","17.02","17.11","2,115,776"
02/19/2021,"17.27","17.27","16.69","16.79","807,099"
02/18/2021,"17.30","17.41","16.67","16.98","931,440"
02/17/2021,"17.52","18.07","17.12","17.38","896,989"
02/16/2021,"17.97","17.99","17.57","17.64","1,079,237"
02/12/2021,"17.96","18.11","17.69","17.80","1,253,375"
02/11/2021,"17.99","18.03","17.70","17.86","910,373"
02/10/2021,"17.93","18.09","17.65","17.82","1,070,207"
02/09/2021,"18.00","18.04","17.64","17.87","1,197,432"
