Date,Open,High,Low,Close,Volume
08/30/2021,"3.0600","3.0900","2.9800","3.0300","11,038"
08/27/2021,"3.1400","3.1400","3.0296","3.0800","1,722"
08/26/2021,"2.9600","3.0865","2.9600","3.0100","5,635"
08/25/2021,"3.1400","3.1400","3.0200","3.0699","5,204"
08/24/2021,"2.9600","3.2200","2.9600","3.0844","11,529"
08/23/2021,"3.1200","3.1200","3.0000","3.0700","8,380"
08/20/2021,"3.1500","3.2800","3.0300","3.0400","25,744"
08/19/2021,"3.1200","3.1300","2.9950","3.1300","14,889"
08/18/2021,"3.1500","3.1500","2.9739","3.0200","38,463"
08/17/2021,"2.9600","3.2500","2.9500","3.2500","23,623"
08/16/2021,"3.0500","3.1300","2.9500","3.0575","21,516"
08/13/2021,"3.1600","3.1900","3.0500","3.1400","21,152"
08/12/2021,"3.2700","3.2800","3.1100","3.2347","24,112"
08/11/2021,"3.3300","3.4500","3.3300","3.3700","10,362"
08/10/2021,"3.4700","3.4700","3.3800","3.4400","6,625"
08/09/2021,"3.4200","3.5100","3.3750","3.4850","10,208"
08/06/2021,"3.5900","3.5900","3.3300","3.3700","36,396"
08/05/2021,"3.8500","3.8500","3.6129","3.6129","11,172"
08/04/2021,"3.8300","3.8300","3.6801","3.8000","31,251"
08/03/2021,"3.9000","3.9400","3.5250","3.7700","86,048"
08/02/2021,"3.3700","3.9400","3.2700","3.7900","190,707"
07/30/2021,"3.5400","3.5500","3.3700","3.4200","21,510"
07/29/2021,"3.3300","3.8500","3.3300","3.5500","184,832"
07/28/2021,"3.2700","3.4000","3.2193","3.3200","17,576"
07/27/2021,"3.2800","3.5200","3.2200","3.2300","133,757"
07/26/2021,"3.1600","3.3300","3.1000","3.2900","60,957"
07/23/2021,"3.2600","3.3300","3.1000","3.1600","94,972"
07/22/2021,"3.2700","3.3800","3.2700","3.3000","55,314"
07/21/2021,"3.1000","3.3000","3.1000","3.2500","40,918"
07/20/2021,"2.9200","3.2200","2.8700","3.0300","130,079"
07/19/2021,"2.9600","2.9600","2.7600","2.9400","108,666"
07/16/2021,"3.3700","3.3700","2.9100","3.0700","143,837"
07/15/2021,"3.3300","3.4299","3.1600","3.2600","42,969"
07/14/2021,"3.2000","3.3600","3.1500","3.3400","99,718"
07/13/2021,"3.6500","3.6500","3.2100","3.2600","183,943"
07/12/2021,"3.6000","3.6000","3.3610","3.5900","103,220"
07/09/2021,"3.4800","3.6200","3.3500","3.3500","114,635"
07/08/2021,"3.3000","3.3000","3.0000","3.2900","264,850"
07/07/2021,"3.6000","3.6500","3.3000","3.3651","105,729"
07/06/2021,"3.6700","3.6900","3.3700","3.5500","141,956"
07/02/2021,"3.9400","3.9400","3.6300","3.6600","50,657"
07/01/2021,"4.2800","4.4350","3.7900","3.8500","309,677"
06/30/2021,"4.3900","4.7568","4.2700","4.3300","486,776"
06/29/2021,"4.0500","4.2650","4.0074","4.2200","209,786"
06/28/2021,"3.8700","4.1000","3.7404","4.0000","225,242"
06/25/2021,"4.0300","4.3300","3.7700","3.7700","156,827"
06/24/2021,"3.9900","4.4800","3.9098","4.0700","277,857"
06/23/2021,"4.2600","4.3660","3.8500","4.0800","131,033"
06/22/2021,"3.9000","4.4620","3.3700","4.2600","683,290"
06/21/2021,"4.0500","4.1262","3.7800","3.8500","69,418"
06/18/2021,"4.3000","4.4400","4.1000","4.1000","71,417"
06/17/2021,"4.6200","4.6200","4.3700","4.3700","36,748"
06/16/2021,"4.7500","4.7500","4.5000","4.5000","50,794"
06/15/2021,"4.9900","5.0400","4.8100","4.8100","61,863"
06/14/2021,"5.0200","5.1073","5.0200","5.0200","27,641"
06/11/2021,"5.2300","5.2500","5.0100","5.0680","61,047"
06/10/2021,"5.4600","5.4700","5.2200","5.2700","37,692"
06/09/2021,"5.8100","5.8300","5.4400","5.4700","95,095"
06/08/2021,"5.8600","5.9700","5.8300","5.8700","22,658"
06/07/2021,"6.0000","6.0900","5.8600","5.8800","116,714"
06/04/2021,"5.8500","6.1250","5.8500","6.1000","34,275"
06/03/2021,"6.0000","6.0000","5.6700","5.8500","84,769"
06/02/2021,"6.2400","6.3200","6.0000","6.1500","176,725"
06/01/2021,"6.6000","6.6000","6.1000","6.2400","212,453"
05/28/2021,"6.5100","6.5100","6.0600","6.3600","54,602"
05/27/2021,"6.7000","6.7000","6.4000","6.5300","89,541"
05/26/2021,"6.8700","6.9000","6.5800","6.7200","88,115"
05/25/2021,"6.6500","6.8500","6.5100","6.8500","89,181"
05/24/2021,"7.0000","7.0000","6.4500","6.6500","42,781"
05/21/2021,"6.5600","6.6299","6.3950","6.5900","41,900"
05/20/2021,"6.3800","6.5900","6.2000","6.5000","63,458"
05/19/2021,"6.1000","6.4500","6.0100","6.3900","106,438"
05/18/2021,"6.2500","6.3500","6.1100","6.3500","46,530"
05/17/2021,"6.2800","6.3800","6.0100","6.3800","73,612"
05/14/2021,"6.3000","6.3500","6.1300","6.3500","89,675"
05/13/2021,"6.2500","6.3299","5.9600","6.2500","102,417"
05/12/2021,"6.3000","6.3600","5.7500","6.3000","121,912"
05/11/2021,"5.2600","6.4700","5.2100","6.3000","231,791"
05/10/2021,"6.7600","6.7600","5.6000","5.7900","418,332"
05/07/2021,"11.2100","11.7100","6.0200","7.0000","2,416,581"
