Date,Open,High,Low,Close,Volume
08/20/2021,"26.03","28.35","26.03","27.54","243,456"
08/19/2021,"25.55","27.04","24.56","26.07","311,542"
08/18/2021,"27.12","27.48","25.79","25.95","105,657"
08/17/2021,"25.93","27.29","25.60","27.00","184,812"
08/16/2021,"26.90","27.47","25.51","26.16","161,434"
08/13/2021,"27.28","28.12","26.55","26.80","221,255"
08/12/2021,"27.11","28.25","26.41","27.32","215,435"
08/11/2021,"25.69","27.62","25.60","27.21","164,165"
08/10/2021,"26.02","26.12","24.96","25.93","337,985"
08/09/2021,"26.34","27.47","25.45","26.31","220,291"
08/06/2021,"24.37","26.31","23.80","26.14","366,534"
08/05/2021,"24.25","25.37","23.89","24.05","186,075"
08/04/2021,"24.05","24.30","23.81","24.17","417,075"
08/03/2021,"24.23","24.75","23.80","24.10","369,416"
08/02/2021,"23.48","24.78","23.30","23.96","284,463"
07/30/2021,"23.32","23.80","22.60","23.48","231,149"
07/29/2021,"24.08","25.53","22.65","23.52","212,736"
07/28/2021,"23.25","24.71","22.90","23.92","165,591"
07/27/2021,"23.15","23.98","21.86","22.96","134,022"
07/26/2021,"25.87","25.87","23.05","23.43","263,055"
07/23/2021,"25.13","26.54","24.36","25.82","303,706"
07/22/2021,"26.27","27.28","24.32","24.91","552,782"
07/21/2021,"25.73","26.97","25.22","26.25","188,844"
07/20/2021,"24.85","26.10","24.44","25.45","173,089"
07/19/2021,"24.00","25.29","23.52","24.66","264,848"
07/16/2021,"25.32","25.32","24.06","24.46","221,631"
07/15/2021,"24.17","25.19","23.64","24.90","252,075"
07/14/2021,"25.87","25.87","23.74","24.30","80,330"
07/13/2021,"26.78","27.87","25.39","25.64","274,263"
07/12/2021,"26.61","27.34","25.74","27.01","89,829"
07/09/2021,"26.31","26.62","25.55","26.61","91,247"
07/08/2021,"25.24","26.42","24.17","25.86","157,083"
07/07/2021,"25.77","26.34","24.89","25.86","271,022"
07/06/2021,"26.83","26.89","25.68","25.69","75,531"
07/02/2021,"27.36","27.80","26.01","26.67","101,402"
07/01/2021,"28.22","28.22","27.09","27.17","135,075"
06/30/2021,"27.74","29.30","27.71","27.98","188,398"
06/29/2021,"29.27","29.59","27.87","27.98","89,970"
06/28/2021,"30.08","30.12","28.92","29.01","133,720"
06/25/2021,"28.26","30.06","27.71","30.06","410,084"
06/24/2021,"26.87","28.31","26.87","28.07","201,884"
06/23/2021,"26.20","26.89","25.98","26.64","81,197"
06/22/2021,"25.03","26.16","24.65","26.14","486,460"
06/21/2021,"24.68","26.04","24.35","25.39","605,279"
06/18/2021,"27.00","27.36","24.18","24.51","889,228"
06/17/2021,"29.50","30.43","26.82","27.61","487,298"
06/16/2021,"30.27","31.71","28.73","29.23","438,467"
06/15/2021,"30.26","32.77","29.22","30.51","565,765"
06/14/2021,"29.28","30.31","28.79","29.91","461,005"
06/11/2021,"29.64","29.83","28.70","28.81","160,341"
06/10/2021,"28.07","30.21","27.79","29.70","200,681"
06/09/2021,"27.98","28.86","27.51","27.66","203,158"
06/08/2021,"28.95","29.39","27.69","28.03","205,086"
06/07/2021,"28.09","29.61","27.61","28.81","347,282"
06/04/2021,"27.66","28.49","27.54","27.71","162,672"
06/03/2021,"28.04","28.40","27.43","27.63","186,388"
06/02/2021,"27.49","28.56","26.10","28.09","138,314"
06/01/2021,"28.16","28.48","26.50","27.64","227,923"
05/28/2021,"28.17","28.92","27.36","27.96","208,126"
05/27/2021,"25.76","28.30","25.17","28.28","206,246"
05/26/2021,"25.13","25.99","24.48","25.53","102,100"
05/25/2021,"25.72","25.72","24.72","24.90","114,084"
05/24/2021,"25.05","25.78","24.74","25.23","171,257"
05/21/2021,"25.60","26.06","24.68","25.05","243,443"
05/20/2021,"24.24","26.05","24.04","25.52","383,328"
05/19/2021,"23.81","25.58","23.21","24.31","126,804"
05/18/2021,"24.46","25.23","23.51","24.49","197,370"
05/17/2021,"24.90","26.07","23.58","23.93","162,720"
