Date,Open,High,Low,Close,Volume
08/12/2021,"35.88","38.11","35.81","37.13","360,719"
08/11/2021,"35.49","36.46","33.66","35.89","902,056"
08/10/2021,"38.11","39.62","37.11","37.40","767,248"
08/09/2021,"35.68","38.45","35.35","38.01","435,217"
08/06/2021,"35.71","36.00","34.33","35.71","193,423"
08/05/2021,"36.49","36.90","35.01","35.51","172,050"
08/04/2021,"35.21","36.67","35.05","36.46","163,982"
08/03/2021,"36.41","36.41","34.21","35.52","208,885"
08/02/2021,"35.71","36.49","34.70","36.02","133,724"
07/30/2021,"33.90","35.44","33.50","35.07","175,717"
07/29/2021,"35.69","36.33","34.18","34.23","213,150"
07/28/2021,"36.02","37.16","35.21","35.73","421,744"
07/27/2021,"36.97","37.22","34.52","35.33","383,191"
07/26/2021,"39.80","39.99","36.91","37.21","442,941"
07/23/2021,"40.00","40.98","38.85","39.80","304,435"
07/22/2021,"37.29","39.53","37.29","39.36","331,666"
07/21/2021,"37.18","37.19","35.77","37.15","287,658"
07/20/2021,"34.72","37.51","34.45","37.02","448,417"
07/19/2021,"33.83","34.76","33.03","34.48","273,740"
07/16/2021,"34.00","35.30","33.68","34.54","287,289"
07/15/2021,"32.69","33.83","30.64","33.61","533,778"
07/14/2021,"37.10","37.91","32.00","32.99","1,193,041"
07/13/2021,"36.49","37.92","36.03","36.91","554,255"
07/12/2021,"35.08","36.81","33.92","36.54","397,938"
07/09/2021,"34.18","34.74","33.58","34.71","188,483"
07/08/2021,"33.09","34.50","32.75","34.18","309,547"
07/07/2021,"35.13","36.96","33.96","34.39","515,573"
07/06/2021,"34.65","35.49","34.06","34.79","209,946"
07/02/2021,"34.38","35.09","33.32","34.48","213,118"
07/01/2021,"36.80","36.87","34.11","34.28","526,422"
06/30/2021,"33.50","37.66","33.45","37.39","739,101"
06/29/2021,"34.08","34.40","32.76","33.47","435,771"
06/28/2021,"35.69","36.23","32.77","34.77","1,195,882"
06/25/2021,"37.16","37.55","35.27","35.28","323,669"
06/24/2021,"36.72","37.67","36.52","37.02","272,506"
06/23/2021,"35.90","37.15","35.43","36.05","639,866"
06/22/2021,"37.49","38.00","35.20","35.55","865,998"
06/21/2021,"38.06","39.00","35.00","37.44","858,254"
06/18/2021,"38.05","41.98","37.41","37.75","1,807,806"
06/17/2021,"37.17","40.56","37.00","38.30","762,137"
06/16/2021,"37.58","37.73","36.54","37.16","762,295"
06/15/2021,"38.86","39.00","37.41","37.56","373,048"
06/14/2021,"41.58","42.12","38.50","38.98","453,731"
06/11/2021,"41.11","41.60","39.32","41.24","601,045"
06/10/2021,"40.50","43.50","40.34","41.23","549,191"
06/09/2021,"43.52","44.89","39.07","40.11","731,866"
06/08/2021,"42.20","44.62","41.96","42.87","606,742"
06/07/2021,"40.45","42.10","40.02","41.94","601,483"
06/04/2021,"36.42","40.13","36.42","40.02","459,248"
06/03/2021,"35.55","36.71","34.51","36.44","250,521"
06/02/2021,"35.18","36.99","34.21","35.95","424,638"
06/01/2021,"33.67","35.29","33.36","34.93","270,114"
05/28/2021,"34.45","35.48","33.20","33.85","262,478"
05/27/2021,"34.51","34.75","31.72","34.58","352,064"
05/26/2021,"31.45","34.44","31.25","34.00","741,102"
05/25/2021,"29.88","31.63","29.01","31.15","421,311"
05/24/2021,"29.14","30.08","28.59","29.88","296,729"
05/21/2021,"28.33","29.68","28.02","28.70","493,817"
05/20/2021,"25.76","28.30","25.76","28.05","487,206"
05/19/2021,"24.60","25.70","24.20","25.53","297,165"
05/18/2021,"24.05","25.13","23.86","24.88","201,285"
05/17/2021,"23.31","24.42","23.00","23.50","172,433"
05/14/2021,"24.46","24.60","22.88","23.31","1,323,185"
05/13/2021,"27.10","27.73","23.29","23.30","1,382,959"
05/12/2021,"26.46","28.20","26.01","26.81","562,098"
05/11/2021,"28.39","29.33","27.90","28.49","340,787"
05/10/2021,"28.67","30.58","27.46","29.76","353,186"
05/07/2021,"26.51","28.87","26.51","28.83","270,351"
05/06/2021,"27.08","27.62","26.28","26.74","433,838"
05/05/2021,"28.78","28.78","26.75","27.36","268,676"
05/04/2021,"29.34","29.34","27.80","28.47","209,302"
05/03/2021,"28.83","29.68","28.26","29.12","215,329"
04/30/2021,"29.07","29.79","28.26","28.86","200,428"
04/29/2021,"30.23","30.80","28.71","29.55","218,126"
04/28/2021,"28.99","30.25","28.70","30.12","213,905"
04/27/2021,"30.47","30.56","28.60","28.61","207,225"
04/26/2021,"29.61","30.43","29.44","30.02","366,594"
04/23/2021,"30.50","33.20","29.01","29.43","952,732"
04/22/2021,"28.41","30.19","27.95","29.90","822,811"
04/21/2021,"27.36","28.48","26.60","28.41","654,516"
