Date,Open,High,Low,Close,Volume
08/30/2021,"9.69","9.69","9.69","9.69","33"
08/27/2021,"9.66","9.69","9.66","9.69","230"
08/26/2021,"9.69","9.69","9.69","9.69","322"
08/25/2021,"9.68","9.68","9.67","9.67","153,505"
08/24/2021,"9.68","9.68","9.66","9.66","12,629"
08/23/2021,"9.70","9.75","9.69","9.69","11,812"
08/20/2021,"9.75","9.75","9.62","9.74","156,468"
08/19/2021,"9.70","9.75","9.70","9.75","3,152"
08/18/2021,"9.70","9.70","9.70","9.70","362"
08/17/2021,"9.70","9.70","9.70","9.70","549"
08/16/2021,"9.71","9.72","9.70","9.70","1,559"
08/13/2021,"9.71","9.71","9.71","9.71","121"
08/12/2021,"9.71","9.71","9.71","9.71","127"
08/11/2021,"9.70","9.71","9.70","9.71","595"
08/10/2021,"9.71","9.74","9.70","9.70","3,203"
08/06/2021,"9.71","9.71","9.71","9.71","21"
08/05/2021,"9.75","9.75","9.71","9.71","1,200"
08/04/2021,"9.75","9.77","9.75","9.75","5,144"
08/03/2021,"9.76","9.77","9.75","9.75","1,586"
08/02/2021,"9.80","9.80","9.80","9.80","69"
07/30/2021,"9.83","9.83","9.80","9.80","8,870"
07/29/2021,"9.84","9.84","9.83","9.83","1,621"
07/27/2021,"9.84","9.85","9.84","9.85","827"
07/26/2021,"9.83","9.84","9.83","9.84","3,496"
07/23/2021,"9.84","9.84","9.81","9.83","1,623"
07/21/2021,"9.86","9.86","9.86","9.86","77"
07/20/2021,"9.86","9.86","9.86","9.86","151"
07/19/2021,"9.84","9.84","9.84","9.84","194"
07/16/2021,"9.83","9.95","9.83","9.94","1,298"
07/15/2021,"9.82","9.90","9.82","9.90","8,106"
07/14/2021,"9.83","9.83","9.83","9.83","197"
07/12/2021,"9.79","9.79","9.79","9.79","52"
07/09/2021,"9.79","9.79","9.79","9.79","132"
07/08/2021,"9.83","9.88","9.80","9.83","9,308"
07/07/2021,"9.83","9.83","9.83","9.83","379"
07/02/2021,"9.95","9.95","9.95","9.95","28"
07/01/2021,"9.79","9.95","9.79","9.95","1,330"
06/30/2021,"9.81","10.00","9.81","9.95","30,253"
06/29/2021,"9.80","9.88","9.80","9.88","1,998"
06/28/2021,"9.83","9.85","9.79","9.79","5,421"
06/25/2021,"9.86","9.86","9.86","9.86","772"
06/24/2021,"9.86","9.89","9.84","9.89","1,472"
06/23/2021,"9.81","9.85","9.80","9.85","8,128"
06/22/2021,"9.95","9.95","9.90","9.90","2,121"
06/21/2021,"9.95","9.95","9.90","9.90","2,008"
06/18/2021,"9.90","10.00","9.90","10.00","210"
06/17/2021,"9.99","9.99","9.95","9.95","16,343"
06/16/2021,"9.95","9.99","9.90","9.99","17,468"
06/15/2021,"9.89","10.00","9.89","10.00","6,421"
06/14/2021,"9.84","9.90","9.81","9.81","719"
06/11/2021,"9.80","9.90","9.80","9.89","12,241"
06/10/2021,"9.90","9.90","9.80","9.90","4,943"
06/09/2021,"9.85","9.90","9.85","9.90","870"
06/08/2021,"9.90","9.90","9.85","9.90","6,886"
06/07/2021,"9.85","9.90","9.82","9.90","1,707"
06/04/2021,"9.90","9.90","9.90","9.90","6,637"
06/03/2021,"9.90","9.90","9.90","9.90","255"
06/02/2021,"9.90","9.90","9.85","9.90","2,595"
06/01/2021,"9.89","9.90","9.83","9.90","7,716"
05/28/2021,"9.81","9.87","9.75","9.87","1,731"
05/27/2021,"9.81","9.83","9.80","9.81","6,443"
05/26/2021,"9.81","9.90","9.80","9.80","78,147"
05/25/2021,"9.86","9.90","9.82","9.88","11,839"
05/24/2021,"9.80","9.89","9.80","9.88","2,122"
05/21/2021,"9.88","9.88","9.88","9.88","76"
05/20/2021,"9.90","9.90","9.88","9.88","279"
05/19/2021,"9.81","9.89","9.80","9.89","9,034"
05/18/2021,"9.90","9.90","9.90","9.90","1,497"
05/17/2021,"9.85","9.91","9.80","9.90","28,649"
05/14/2021,"9.86","9.90","9.86","9.87","13,620"
05/13/2021,"9.83","9.90","9.82","9.89","7,027"
05/12/2021,"9.90","9.96","9.90","9.90","1,869"
05/11/2021,"9.95","10.00","9.95","10.00","2,852"
05/10/2021,"10.02","10.02","9.95","9.95","3,166"
05/07/2021,"9.95","10.02","9.95","10.00","4,007"
05/06/2021,"9.92","10.05","9.90","10.00","3,092"
05/05/2021,"9.93","10.00","9.90","10.00","9,579"
05/04/2021,"9.94","10.05","9.94","10.05","2,600"
05/03/2021,"9.92","9.92","9.92","9.92","524"
04/30/2021,"10.00","10.00","9.96","10.00","1,202"
04/29/2021,"9.90","10.04","9.90","10.00","26,100"
04/28/2021,"10.00","10.00","10.00","10.00","2,180"
04/27/2021,"10.01","10.02","10.01","10.02","525"
04/26/2021,"9.97","10.02","9.96","10.02","3,523"
04/23/2021,"9.98","10.04","9.98","9.98","1,134"
04/22/2021,"9.96","9.98","9.94","9.98","2,159"
04/21/2021,"9.96","10.04","9.92","10.04","3,592"
04/20/2021,"10.00","10.05","9.95","9.95","3,011"
04/19/2021,"10.01","10.06","9.95","10.05","9,063"
04/16/2021,"10.00","10.11","9.99","10.08","2,538"
04/15/2021,"10.04","10.20","10.04","10.05","3,422"
04/14/2021,"10.09","10.15","10.02","10.11","15,916"
04/13/2021,"10.10","10.15","10.01","10.11","4,704"
04/12/2021,"10.05","10.10","10.00","10.10","23,372"
04/09/2021,"10.00","10.04","9.96","9.99","18,419"
04/08/2021,"9.97","10.01","9.97","10.00","1,752"
04/07/2021,"10.02","10.02","9.95","9.95","3,137"
04/06/2021,"9.95","10.02","9.95","10.02","22,034"
04/05/2021,"9.91","9.99","9.88","9.94","13,193"
04/01/2021,"10.00","10.00","9.82","9.82","8,865"
03/31/2021,"9.82","10.00","9.82","9.90","4,997"
03/30/2021,"9.80","9.98","9.80","9.98","833"
03/29/2021,"9.78","9.85","9.78","9.81","2,207"
03/26/2021,"9.92","9.99","9.82","9.82","13,803"
03/25/2021,"9.99","9.99","9.80","9.84","5,847"
03/24/2021,"9.98","10.10","9.95","10.00","31,272"
03/23/2021,"10.05","10.17","9.95","10.06","20,946"
03/22/2021,"10.08","10.10","9.99","10.10","4,349"
03/19/2021,"10.08","10.10","10.02","10.02","11,589"
03/18/2021,"10.04","10.15","9.96","10.02","13,415"
03/17/2021,"10.01","10.23","10.00","10.00","78,075"
03/16/2021,"10.11","10.19","10.00","10.08","73,057"
03/15/2021,"10.13","10.25","10.00","10.04","34,502"
03/12/2021,"10.14","10.24","10.12","10.13","26,712"
03/11/2021,"10.21","10.30","10.14","10.14","29,658"
03/10/2021,"10.50","10.50","10.05","10.12","380,352"
03/09/2021,"10.23","10.68","10.23","10.45","26,392"
03/08/2021,"10.44","10.58","10.38","10.38","35,341"
03/05/2021,"10.11","10.36","10.05","10.36","45,664"
03/04/2021,"10.06","10.12","10.06","10.11","23,798"
03/03/2021,"10.32","10.35","10.10","10.14","95,259"
03/02/2021,"10.44","10.45","10.32","10.35","15,236"
03/01/2021,"10.50","10.57","10.48","10.48","25,922"
02/26/2021,"10.55","10.66","10.48","10.55","42,482"
02/25/2021,"10.74","10.74","10.50","10.52","16,683"
02/24/2021,"10.58","10.88","10.58","10.78","30,505"
02/23/2021,"10.68","10.68","10.41","10.59","35,324"
02/22/2021,"10.68","11.00","10.66","10.84","117,438"
02/19/2021,"10.68","10.70","10.53","10.65","42,846"
02/18/2021,"10.47","10.59","10.43","10.45","24,580"
02/17/2021,"10.48","10.51","10.41","10.41","42,839"
02/16/2021,"10.46","10.68","10.46","10.52","31,508"
02/12/2021,"10.52","10.56","10.47","10.50","16,624"
02/11/2021,"10.68","10.70","10.50","10.56","37,986"
02/10/2021,"10.56","10.69","10.55","10.58","51,795"
02/09/2021,"10.55","10.58","10.51","10.55","22,063"
02/08/2021,"10.48","10.59","10.46","10.46","86,089"
02/05/2021,"10.61","10.65","10.42","10.50","58,370"
02/04/2021,"10.74","10.80","10.55","10.55","37,382"
02/03/2021,"10.70","10.79","10.60","10.60","48,510"
02/02/2021,"10.52","10.75","10.52","10.65","24,042"
02/01/2021,"10.57","10.66","10.51","10.63","12,981"
01/29/2021,"10.47","10.75","10.40","10.55","50,616"
01/28/2021,"10.52","10.77","10.50","10.51","38,364"
01/27/2021,"10.70","10.71","10.32","10.39","92,874"
01/26/2021,"10.70","10.89","10.70","10.79","96,103"
01/25/2021,"10.78","10.78","10.55","10.70","444,031"
01/22/2021,"10.62","10.78","10.57","10.64","40,868"
01/21/2021,"10.51","10.70","10.50","10.55","281,325"
01/20/2021,"10.60","10.75","10.60","10.60","50,238"
01/19/2021,"10.60","10.80","10.50","10.60","128,184"
01/15/2021,"10.83","10.84","10.43","10.59","157,005"
01/14/2021,"11.01","11.25","10.50","10.62","463,093"
01/13/2021,"10.60","10.74","10.50","10.69","214,108"
01/12/2021,"10.68","10.68","10.41","10.50","192,903"
01/11/2021,"10.55","10.56","10.38","10.50","125,082"
01/08/2021,"10.37","10.49","10.31","10.47","530,877"
01/07/2021,"10.31","10.90","10.31","10.34","2,078,583"
