Date,Open,High,Low,Close,Volume
08/20/2021,"22.46","22.98","21.38","21.83","49,450"
08/19/2021,"22.32","22.59","21.71","22.12","46,760"
08/18/2021,"23.26","24.29","21.78","22.06","141,925"
08/17/2021,"19.30","23.41","18.29","22.51","113,228"
08/16/2021,"19.89","19.89","18.65","19.16","42,880"
08/13/2021,"18.24","20.09","17.82","19.78","71,286"
08/12/2021,"17.43","18.50","17.25","18.46","108,276"
08/11/2021,"17.30","17.35","16.90","17.15","151,244"
08/10/2021,"16.60","17.50","16.37","17.30","189,521"
08/09/2021,"16.57","16.90","16.23","16.82","78,547"
08/06/2021,"17.00","17.00","16.08","16.58","141,798"
08/05/2021,"16.58","16.84","16.48","16.60","173,121"
08/04/2021,"16.50","16.75","16.16","16.58","180,108"
08/03/2021,"16.65","16.93","16.12","16.45","178,836"
08/02/2021,"15.50","16.75","15.50","16.75","162,840"
07/30/2021,"22.10","22.98","15.50","16.00","1,171,249"
