Date,Open,High,Low,Close,Volume
08/20/2021,"14.01","14.87","14.01","14.30","160,545"
08/19/2021,"14.88","14.88","13.79","14.14","89,036"
08/18/2021,"13.82","15.10","13.28","14.35","90,676"
08/17/2021,"14.01","14.60","13.44","13.60","104,238"
08/16/2021,"15.15","15.33","13.72","14.21","81,983"
08/13/2021,"15.50","15.60","15.00","15.23","45,654"
08/12/2021,"15.25","15.60","14.64","15.56","179,377"
08/11/2021,"15.88","15.88","14.33","15.23","101,658"
08/10/2021,"17.52","18.50","15.53","15.78","131,564"
08/09/2021,"18.28","18.92","17.32","17.53","73,018"
08/06/2021,"17.45","18.92","16.49","17.32","45,504"
08/05/2021,"16.87","17.98","16.29","17.68","77,375"
08/04/2021,"16.59","17.00","16.12","16.85","71,558"
08/03/2021,"18.19","20.00","16.37","16.55","65,950"
08/02/2021,"18.04","18.97","17.31","18.24","71,378"
07/30/2021,"17.77","18.40","16.91","18.05","90,408"
07/29/2021,"16.67","18.50","16.57","18.07","80,061"
07/28/2021,"15.78","17.00","15.78","16.36","172,616"
07/27/2021,"17.40","17.87","15.65","15.82","120,007"
07/26/2021,"19.63","19.95","17.36","17.40","92,288"
07/23/2021,"19.35","20.08","19.12","19.63","104,475"
07/22/2021,"18.04","19.25","17.50","19.20","115,561"
07/21/2021,"18.00","18.01","17.28","17.98","160,912"
07/20/2021,"20.04","20.10","16.63","17.43","528,985"
07/19/2021,"18.81","20.35","18.71","20.10","45,892"
07/16/2021,"20.89","22.18","18.53","18.91","134,100"
07/15/2021,"21.21","21.32","20.57","20.80","61,037"
07/14/2021,"23.00","23.00","20.78","21.16","57,882"
07/13/2021,"24.02","24.74","22.16","22.39","122,207"
07/12/2021,"25.09","26.07","24.15","24.27","153,127"
07/09/2021,"24.68","25.98","24.51","25.32","36,946"
07/08/2021,"25.37","26.19","24.61","24.68","57,880"
07/07/2021,"26.78","27.49","25.51","25.56","86,333"
07/06/2021,"27.57","27.57","26.24","26.31","206,057"
07/02/2021,"26.31","27.73","26.31","27.63","193,282"
07/01/2021,"27.69","27.69","25.39","26.23","238,302"
06/30/2021,"27.03","28.11","26.99","27.48","85,495"
06/29/2021,"27.47","27.97","26.90","27.23","108,444"
06/28/2021,"26.49","28.34","26.05","27.31","205,538"
06/25/2021,"26.31","26.87","25.65","26.44","278,898"
06/24/2021,"25.80","26.63","25.00","26.19","105,643"
06/23/2021,"24.60","26.19","24.60","25.34","164,060"
06/22/2021,"23.16","24.40","23.16","24.27","176,723"
06/21/2021,"24.23","24.23","23.03","23.16","155,009"
06/18/2021,"24.05","24.40","23.35","23.90","179,739"
06/17/2021,"23.69","24.57","23.00","24.24","121,242"
06/16/2021,"23.50","23.85","22.90","23.70","199,468"
06/15/2021,"24.53","24.96","23.39","23.73","136,951"
06/14/2021,"24.90","25.61","24.41","24.54","180,946"
06/11/2021,"24.83","25.25","24.50","24.87","46,302"
06/10/2021,"24.79","25.29","24.58","24.96","262,257"
06/09/2021,"24.82","25.74","24.21","25.15","169,457"
06/08/2021,"24.85","25.65","23.92","24.61","136,167"
06/07/2021,"25.28","25.85","24.37","24.86","151,276"
06/04/2021,"27.00","28.21","24.18","25.47","194,091"
06/03/2021,"30.40","30.90","25.70","27.73","1,487,435"
06/02/2021,"32.00","33.37","30.38","30.95","606,734"
06/01/2021,"26.68","31.37","26.50","31.17","1,183,372"
05/28/2021,"27.00","28.90","26.32","27.00","563,398"
05/27/2021,"29.00","32.08","25.50","25.72","4,759,744"
