Date,Open,High,Low,Close,Volume
08/11/2021,"13.36","13.45","12.71","13.14","41,236"
08/10/2021,"13.76","13.76","13.23","13.40","26,119"
08/09/2021,"13.37","14.12","13.35","13.68","31,261"
08/06/2021,"12.64","13.28","12.53","13.28","45,764"
08/05/2021,"11.95","12.71","11.90","12.64","34,726"
08/04/2021,"12.23","12.77","12.02","12.02","326,139"
08/03/2021,"12.65","12.90","12.30","12.43","41,867"
08/02/2021,"12.88","12.97","12.59","12.68","39,524"
07/30/2021,"12.56","12.91","12.15","12.82","52,390"
07/29/2021,"13.08","13.14","12.38","12.54","39,194"
07/28/2021,"13.03","13.15","12.56","12.79","40,574"
07/27/2021,"12.65","12.96","12.35","12.82","39,920"
07/26/2021,"13.02","13.30","12.70","12.74","42,918"
07/23/2021,"13.35","13.35","12.86","13.03","19,227"
07/22/2021,"12.98","13.52","12.90","13.26","63,173"
07/21/2021,"12.75","13.47","12.27","12.91","80,372"
07/20/2021,"12.77","13.39","12.66","12.80","108,072"
07/19/2021,"13.15","13.35","12.18","12.83","139,881"
07/16/2021,"12.71","13.42","12.58","13.34","67,848"
07/15/2021,"12.35","12.62","11.90","12.49","78,330"
07/14/2021,"13.22","13.22","12.28","12.38","57,796"
07/13/2021,"13.54","13.60","13.02","13.11","31,828"
07/12/2021,"13.30","13.80","13.07","13.64","64,330"
07/09/2021,"13.12","13.57","12.96","13.43","59,798"
07/08/2021,"12.17","13.18","12.11","12.94","52,879"
07/07/2021,"12.61","12.76","12.07","12.53","66,888"
07/06/2021,"13.86","14.57","12.29","12.64","214,366"
07/02/2021,"14.12","14.55","13.67","13.77","132,925"
07/01/2021,"13.87","14.52","13.87","14.27","108,085"
06/30/2021,"14.63","14.87","13.72","13.80","344,974"
06/29/2021,"15.28","15.28","14.53","14.67","94,481"
06/28/2021,"15.67","16.01","14.83","14.95","135,980"
06/25/2021,"16.18","16.18","15.50","15.60","1,938,889"
06/24/2021,"15.94","16.18","15.51","16.00","192,917"
06/23/2021,"15.68","15.85","15.23","15.45","75,239"
06/22/2021,"17.00","17.03","15.51","15.75","197,857"
06/21/2021,"17.04","17.04","16.47","16.87","146,667"
06/18/2021,"16.38","17.10","16.38","16.99","120,471"
06/17/2021,"16.48","17.11","16.23","16.76","114,834"
06/16/2021,"16.85","16.95","16.26","16.55","116,759"
06/15/2021,"17.07","17.30","16.45","16.79","58,894"
06/14/2021,"17.46","17.46","16.83","17.11","112,245"
06/11/2021,"16.88","17.46","16.86","17.30","79,592"
06/10/2021,"17.07","17.59","16.92","17.05","61,685"
06/09/2021,"17.26","17.60","17.08","17.26","77,010"
06/08/2021,"17.24","17.41","16.77","17.26","91,324"
06/07/2021,"16.56","17.55","16.25","17.10","170,164"
06/04/2021,"15.79","16.50","15.67","16.36","82,272"
06/03/2021,"16.78","16.78","15.55","15.79","131,364"
06/02/2021,"16.68","17.19","16.12","16.79","222,828"
06/01/2021,"17.25","17.25","16.32","16.68","147,716"
05/28/2021,"16.87","17.65","16.87","17.20","76,520"
05/27/2021,"16.61","17.79","16.50","16.86","168,649"
05/26/2021,"16.41","16.70","16.33","16.59","79,946"
05/25/2021,"16.20","16.67","15.84","16.38","104,985"
05/24/2021,"16.28","16.71","16.00","16.25","138,687"
05/21/2021,"15.72","16.51","15.25","16.17","98,816"
05/20/2021,"14.88","16.00","14.82","15.83","163,930"
05/19/2021,"14.60","14.97","14.41","14.86","61,835"
05/18/2021,"15.00","15.16","14.57","15.00","213,923"
05/17/2021,"14.42","14.94","14.41","14.94","102,178"
05/14/2021,"14.50","14.88","14.03","14.51","50,922"
05/13/2021,"14.64","15.14","14.24","14.47","77,795"
05/12/2021,"14.60","15.06","13.84","14.70","74,876"
05/11/2021,"14.00","15.30","13.15","14.67","80,134"
05/10/2021,"15.71","15.71","14.40","14.49","71,958"
05/07/2021,"14.18","15.96","14.04","15.65","592,390"
05/06/2021,"14.91","15.39","14.20","15.39","161,218"
05/05/2021,"15.11","15.79","14.71","15.07","98,460"
05/04/2021,"15.97","15.97","14.95","14.99","431,346"
05/03/2021,"16.07","16.24","15.72","16.03","104,649"
04/30/2021,"16.72","16.87","15.55","16.05","217,336"
04/29/2021,"16.56","17.12","15.60","17.04","266,509"
04/28/2021,"14.80","16.86","14.41","16.55","778,927"
04/27/2021,"15.00","15.08","14.66","14.94","78,225"
04/26/2021,"14.72","15.00","14.50","14.88","126,578"
04/23/2021,"14.60","14.90","14.02","14.58","92,894"
04/22/2021,"14.00","14.95","13.81","14.44","230,149"
04/21/2021,"13.54","14.05","12.85","13.89","66,846"
04/20/2021,"13.21","13.65","12.94","13.63","83,182"
04/19/2021,"13.79","13.79","12.69","13.30","99,526"
04/16/2021,"14.20","14.25","13.00","13.68","206,983"
04/15/2021,"14.19","14.34","13.58","14.16","110,799"
04/14/2021,"13.77","14.63","13.77","14.08","97,271"
04/13/2021,"13.41","14.36","13.34","13.97","118,099"
04/12/2021,"14.16","14.28","13.29","13.45","131,952"
04/09/2021,"14.03","14.35","13.89","14.16","110,980"
04/08/2021,"13.88","14.42","13.65","14.25","100,726"
04/07/2021,"14.93","15.17","13.47","13.76","211,681"
04/06/2021,"14.20","15.18","14.09","15.03","330,201"
04/05/2021,"14.14","14.35","13.52","14.24","199,869"
04/01/2021,"13.98","14.05","13.24","14.05","196,117"
03/31/2021,"12.42","14.02","12.42","13.92","211,823"
03/30/2021,"12.06","12.61","11.53","12.38","170,893"
03/29/2021,"12.50","12.65","11.50","11.89","317,338"
03/26/2021,"14.10","14.10","12.18","12.50","520,835"
03/25/2021,"13.21","14.06","12.70","13.78","171,593"
03/24/2021,"14.40","14.76","13.08","13.13","220,748"
03/23/2021,"15.00","15.02","14.16","14.21","126,157"
03/22/2021,"15.40","15.71","14.74","15.00","81,908"
03/19/2021,"15.78","16.34","15.33","15.37","273,945"
03/18/2021,"16.14","16.38","15.53","15.68","92,479"
03/17/2021,"16.42","16.63","15.70","16.38","85,937"
03/16/2021,"16.96","17.25","15.87","16.70","162,213"
03/15/2021,"16.30","16.55","15.59","16.39","93,039"
03/12/2021,"16.07","16.32","15.59","16.29","102,230"
03/11/2021,"15.75","16.24","15.43","16.00","142,518"
03/10/2021,"14.81","15.64","14.32","15.40","286,345"
03/09/2021,"14.48","15.16","14.06","14.80","178,112"
03/08/2021,"14.00","14.92","13.58","13.96","188,700"
03/05/2021,"14.45","14.81","13.05","14.11","361,287"
03/04/2021,"14.85","14.94","13.57","13.91","395,500"
03/03/2021,"15.33","15.72","14.84","14.94","208,003"
03/02/2021,"15.85","15.89","15.05","15.38","150,198"
03/01/2021,"15.83","16.50","15.51","15.85","104,449"
02/26/2021,"16.65","16.98","15.21","15.80","228,583"
02/25/2021,"17.00","17.10","16.03","16.44","197,916"
02/24/2021,"17.09","17.46","16.85","17.08","113,498"
02/23/2021,"18.35","18.35","16.23","16.81","305,565"
02/22/2021,"17.56","19.19","17.08","18.51","373,760"
02/19/2021,"17.48","18.24","17.14","17.55","574,292"
02/18/2021,"16.80","16.87","15.90","16.19","290,650"
02/17/2021,"17.44","17.94","16.20","16.84","443,306"
02/16/2021,"17.97","18.29","17.35","17.44","271,969"
02/12/2021,"18.37","18.78","17.30","17.40","956,491"
02/11/2021,"24.07","24.75","20.88","20.97","164,043"
02/10/2021,"22.53","24.75","22.53","23.95","79,326"
02/09/2021,"23.80","24.42","22.89","24.00","81,500"
02/08/2021,"24.08","25.18","23.80","23.85","80,185"
02/05/2021,"24.81","25.27","23.35","24.00","26,216"
02/04/2021,"22.62","24.68","22.27","24.25","44,083"
02/03/2021,"22.83","23.50","22.12","22.78","46,620"
02/02/2021,"22.95","23.42","22.00","22.82","31,811"
02/01/2021,"21.98","23.00","20.69","22.70","35,522"
01/29/2021,"22.74","23.51","21.73","22.25","33,810"
01/28/2021,"22.86","23.80","22.30","22.99","40,773"
01/27/2021,"22.82","23.91","21.51","23.29","71,414"
01/26/2021,"25.51","25.89","22.54","23.28","138,242"
01/25/2021,"26.37","26.77","24.43","25.42","45,983"
01/22/2021,"26.09","26.76","25.60","25.85","31,466"
01/21/2021,"27.50","28.81","25.26","26.20","48,383"
01/20/2021,"29.56","29.84","26.63","27.34","76,783"
01/19/2021,"29.07","29.81","28.24","28.78","34,616"
01/15/2021,"27.66","29.15","27.16","28.80","102,181"
01/14/2021,"30.00","30.67","27.46","27.73","42,187"
01/13/2021,"29.13","30.21","26.04","29.29","68,175"
01/12/2021,"31.08","32.00","29.29","29.69","41,331"
01/11/2021,"35.65","37.00","29.28","30.41","193,622"
01/08/2021,"35.62","36.69","33.95","35.53","26,068"
01/07/2021,"34.56","36.90","33.82","35.55","47,563"
01/06/2021,"36.17","36.90","33.72","34.50","47,185"
01/05/2021,"33.64","37.86","32.62","35.55","91,039"
01/04/2021,"32.53","33.96","30.46","33.10","48,763"
12/31/2020,"31.40","34.00","31.40","32.33","36,106"
12/30/2020,"34.61","34.61","30.02","31.85","182,962"
12/29/2020,"35.10","36.59","33.53","33.90","53,253"
12/28/2020,"34.61","35.18","33.53","34.46","35,231"
12/24/2020,"35.15","36.93","34.04","34.11","19,368"
12/23/2020,"32.32","37.08","32.00","35.15","89,669"
12/22/2020,"30.80","33.31","30.80","32.33","126,263"
12/21/2020,"32.58","32.86","28.75","30.47","171,584"
12/18/2020,"29.80","35.29","29.80","32.46","1,095,403"
12/17/2020,"26.33","31.43","26.33","29.80","325,360"
12/16/2020,"28.69","28.85","26.00","26.58","121,529"
12/15/2020,"28.06","29.80","27.15","28.25","55,226"
12/14/2020,"25.47","29.73","24.20","28.07","64,331"
12/11/2020,"25.83","27.96","24.57","26.00","53,830"
12/10/2020,"27.70","27.74","25.51","25.84","21,337"
12/09/2020,"28.27","28.41","26.28","26.60","31,199"
12/08/2020,"27.99","29.45","27.00","27.99","32,901"
12/07/2020,"29.22","29.45","25.93","27.99","57,327"
12/04/2020,"29.27","29.89","28.24","29.56","65,598"
12/03/2020,"29.00","29.50","28.56","29.28","87,637"
12/02/2020,"28.36","31.24","28.24","29.00","129,214"
12/01/2020,"27.97","30.79","27.86","28.80","93,315"
11/30/2020,"25.57","28.10","25.08","28.08","85,561"
11/27/2020,"25.27","26.04","25.00","25.13","34,921"
11/25/2020,"25.98","26.18","24.83","25.17","93,212"
11/24/2020,"25.65","26.47","25.26","25.77","78,052"
11/23/2020,"26.17","26.32","25.11","26.00","101,464"
11/20/2020,"26.58","27.25","25.02","25.89","290,465"
11/19/2020,"25.05","26.47","25.00","26.00","82,422"
11/18/2020,"25.12","26.69","24.40","25.28","203,513"
11/17/2020,"23.54","25.00","22.73","24.52","57,000"
11/16/2020,"25.16","25.48","22.00","23.83","250,651"
11/13/2020,"22.38","25.20","21.62","24.49","110,384"
11/12/2020,"22.00","24.59","21.09","22.00","93,885"
11/11/2020,"20.37","21.28","20.37","21.28","54,999"
11/10/2020,"20.25","20.93","19.22","20.55","70,934"
11/09/2020,"20.75","21.01","19.76","20.34","41,046"
11/06/2020,"20.53","21.51","20.01","20.22","75,707"
11/05/2020,"19.95","21.00","19.07","20.25","155,660"
11/04/2020,"18.04","22.50","17.69","20.00","161,258"
11/03/2020,"17.20","18.32","17.20","17.78","53,141"
11/02/2020,"16.85","17.78","16.54","17.11","37,172"
10/30/2020,"16.67","17.34","16.24","16.61","71,418"
10/29/2020,"17.12","18.00","16.43","16.71","49,443"
10/28/2020,"17.91","18.85","17.61","17.77","57,994"
10/27/2020,"17.00","18.18","16.25","17.82","62,448"
10/26/2020,"15.51","16.40","15.51","16.40","67,486"
10/23/2020,"15.11","15.90","15.10","15.51","21,674"
10/22/2020,"15.12","15.92","15.00","15.28","74,153"
10/21/2020,"15.49","15.52","14.62","15.00","69,677"
10/20/2020,"15.79","16.11","15.15","15.54","33,558"
10/19/2020,"16.09","16.38","15.67","15.97","22,760"
10/16/2020,"17.29","17.68","15.31","15.84","150,950"
10/15/2020,"18.46","18.46","16.50","17.27","99,279"
10/14/2020,"15.28","19.30","15.20","18.55","611,535"
10/13/2020,"15.50","15.80","15.00","15.01","38,022"
10/12/2020,"16.01","16.50","15.50","15.50","39,597"
10/09/2020,"15.85","16.38","15.45","15.66","84,622"
10/08/2020,"15.50","15.86","15.00","15.40","75,359"
10/07/2020,"15.78","17.74","15.23","15.23","208,200"
10/06/2020,"15.90","16.18","15.52","15.52","46,022"
10/05/2020,"16.35","16.62","15.40","15.68","150,414"
10/02/2020,"15.50","17.05","14.60","16.00","729,786"
