Date,Open,High,Low,Close,Volume
08/12/2021,"15.04","15.48","14.47","14.66","838,976"
08/11/2021,"15.04","15.20","14.55","14.84","638,068"
08/10/2021,"15.34","15.48","14.93","15.09","758,789"
08/09/2021,"15.13","15.57","14.87","15.35","578,052"
08/06/2021,"15.76","15.76","15.05","15.15","311,716"
08/05/2021,"15.25","15.64","14.74","15.60","566,906"
08/04/2021,"15.38","15.78","15.16","15.25","458,870"
08/03/2021,"16.15","16.17","15.36","15.50","740,171"
08/02/2021,"16.99","17.00","16.17","16.20","574,484"
07/30/2021,"17.32","17.64","16.92","16.93","255,261"
07/29/2021,"18.49","18.49","17.25","17.44","722,202"
07/28/2021,"17.95","18.55","17.89","18.32","457,126"
07/27/2021,"18.56","18.56","17.69","17.92","1,025,526"
07/26/2021,"19.14","19.39","18.44","18.77","162,389"
07/23/2021,"20.19","20.29","19.10","19.12","147,261"
07/22/2021,"20.55","20.77","20.13","20.15","196,882"
07/21/2021,"20.00","20.57","20.00","20.54","355,432"
07/20/2021,"19.44","20.39","19.42","20.00","466,572"
07/19/2021,"19.05","19.44","18.70","19.31","438,444"
07/16/2021,"19.49","19.56","19.05","19.38","438,161"
07/15/2021,"18.84","19.54","18.69","19.40","1,050,142"
07/14/2021,"19.17","19.27","18.16","18.81","882,294"
07/13/2021,"19.38","19.48","18.91","19.07","259,878"
07/12/2021,"19.58","19.88","18.91","19.46","329,264"
07/09/2021,"19.82","20.00","19.32","19.60","489,424"
07/08/2021,"20.23","20.41","19.42","19.77","674,862"
07/07/2021,"20.77","20.90","20.29","20.44","280,937"
07/06/2021,"21.18","21.18","20.57","20.78","473,903"
07/02/2021,"21.20","21.42","20.81","21.18","317,785"
07/01/2021,"21.58","21.58","21.07","21.25","678,841"
06/30/2021,"21.91","22.01","21.43","21.50","712,288"
06/29/2021,"22.24","22.55","21.71","21.90","605,328"
06/28/2021,"22.25","22.52","21.73","22.42","627,906"
06/25/2021,"23.26","23.26","22.01","22.24","1,806,484"
06/24/2021,"23.44","23.73","23.19","23.26","497,656"
06/23/2021,"23.45","23.92","23.30","23.35","429,873"
06/22/2021,"23.38","23.75","22.91","23.56","477,107"
06/21/2021,"24.03","24.03","23.13","23.40","850,085"
06/18/2021,"24.10","24.54","23.81","23.86","2,871,289"
06/17/2021,"24.54","24.86","24.07","24.35","688,235"
06/16/2021,"24.49","24.66","24.05","24.46","883,453"
06/15/2021,"24.75","25.07","23.86","24.36","496,543"
06/14/2021,"25.39","25.64","24.90","25.00","574,971"
06/11/2021,"26.53","26.58","24.85","25.24","804,693"
06/10/2021,"28.01","28.23","26.09","26.29","620,250"
06/09/2021,"28.99","29.59","28.22","28.39","540,182"
06/08/2021,"28.11","29.53","26.84","28.68","1,685,392"
06/07/2021,"25.99","29.70","25.96","29.25","2,296,998"
06/04/2021,"25.95","25.95","25.29","25.70","188,168"
06/03/2021,"25.35","25.94","25.07","25.69","222,680"
06/02/2021,"25.41","25.73","25.15","25.54","428,093"
06/01/2021,"25.26","25.84","25.00","25.30","643,227"
05/28/2021,"24.79","25.40","24.45","25.24","385,696"
05/27/2021,"23.99","24.74","23.56","24.54","271,748"
05/26/2021,"23.04","24.30","23.04","23.87","260,361"
05/25/2021,"23.85","24.08","22.80","23.20","300,003"
05/24/2021,"24.35","24.40","23.40","23.95","321,661"
05/21/2021,"24.78","24.98","23.85","24.28","279,766"
05/20/2021,"23.85","25.00","23.65","24.70","574,535"
05/19/2021,"22.49","23.49","22.43","23.49","336,968"
05/18/2021,"23.73","23.80","23.00","23.08","418,859"
05/17/2021,"22.60","23.71","22.32","23.62","510,347"
05/14/2021,"21.92","23.27","20.02","22.94","1,924,021"
05/13/2021,"22.19","22.74","19.78","20.51","1,193,854"
05/12/2021,"22.78","23.52","22.05","22.14","1,231,659"
05/11/2021,"21.89","22.98","21.74","22.92","533,574"
05/10/2021,"22.29","23.10","21.80","22.61","734,793"
05/07/2021,"21.97","23.15","21.87","22.51","516,828"
05/06/2021,"23.44","23.78","20.85","21.87","1,396,478"
05/05/2021,"24.01","24.01","23.05","23.61","260,410"
05/04/2021,"22.58","23.82","22.29","23.73","331,840"
05/03/2021,"22.88","22.99","22.47","22.75","229,294"
